nama,rating,isi_review
Nana Fiisa,1,"Nah, kampnya ada di sana"
Wachid Hasim,4,🤩 …
Suyamto Dinamo Agung,4,
Mohamad Irfan,4,
Adi enamlimasepuluh,5,Getaran yang luar biasa....
Bang Iwan,5,
Andita Kirana Dewi Asmara,5,
bramanto habibi,5,
Joko Triono,5,
Nyenyep Dwi,5,Tempat bersejarah yang bagus
PERMATA music entertainment,5,
Bintoro Gandi,5,
Muhammad Nur Firmansyah,5,"Sejarah yg terlupakan. Merupakan warisan dari the real ""raja Jawa"""
Muhammad Nur Azza,5,"Pesanggrahan milik Kasunanan Surakarta. Sayang sebagian besar bangunan lenyap karena taktik bumi hangus saat Agresi Militer Belanda
Semoga secepatnya di revitalisasi karena merupakan peninggalan yang sangat …"
ibnu kholiq,5,Terlihat hebat
Kusumo Wardoyo Cahyo Nugroho,5,Pesanggrahan Pracimoharjo didirikan sekitar tahun 1804 oleh Sunan Pakubuwana VI. Fungsinya sebagai rumah tetirah setelah anjangsana ke wilayah barat Solo dan keraton kecil di luar keraton kasunanan. Kondisi pesanggrahan kala itu terkesan asri sekarang terlihat kurang perawatan
David Prabowo,5,
anwar Khoirul mustofa,5,"Tempat bersejarah, nyaman adem"
Beny Trihastant,5,
R.sadmoko Suharjono,4,Cocok utk pertemuan ritual jumlah banyak dan lokasi parkir luas
Ardhimas Indra Wijaya,4,
Munadi,5,"Belum pernah, bagus apa ya???"
Novi Ani,5,
Febri Prasetyo,4,Pesanggrahan kurang terawat. Ada batu-batu candi di sini.
Hiddenstore Watches,5,"Setiap sebulan sekali katanya ada wayang kulit, tempatnya idum"
Deo prakasita Damarjati,5,
Tri saryanto,3,Tempatnya jauh
Suwarno Abelh Abelh,5,
mama carel,5,"Ini tempat parkirnya bis telolet kalo mo naik ke cheese park,nanti udah ada shuttle yg jmput penumpang disini gaes"
Rediono Kusumo Harindro,5,
trianbarbershop91 Boyolali,5,
Suta Tarso,5,
Fence AB,4,Bagus
Awan Her TV,5,pemandangannya bagus banget.
tantowi tanto,5,
riyan sitfa,5,ramai
6. SAKTI SINAYANG,5,Keren
Wahyu S Purwanto,5,
Tutik Riyani,5,
Nizam Yahya,4,Sangat cocok buat ngademke pikir
Jhoni Sosro,5,Perlu di Jaga Kelestarianny juga Aset2 yg tdk Bergerak atau pun Bergerak dari Mafia Tanah. @gulokelopo.
Bang Udin,4,lapangan paras
Harini Darmastuti,3,Tempat bersejarah peninggalan dinasti jawa yang masih tersisa di paras cepogo boyolali. Cukup menarik untuk ditelusuri karena pasti banyak cerita di dalamnya..suasana memang agak sedikit bikin mrinding kalo baru pertama kesana apalagi lewat di malam hari. Suasana mistis masih agak kental.
FAHRI MADAN,5,mantap
Arif W,5,
anas anas,5,Istimewa
Adi Wibowo,5,
runik rahayu,4,
Aris Darmawan,5,Mksh
Toni POPT,4,
Isal,5,
Parji Gufron,5,
Joko Santoso,4,
Bangukat Bang,5,Pelayanan ramah mie ayamnya rasanya tak terkalakan
Islam Neverdies,5,Mksh
R LOSO JENAR,5,
Jacko Eza,2,
yayuk darmawan,5,
Mr Ratno,3,"Tidak terawat, terkesan mangkrak...sayang sekali"
Totok sudaryanto,5,
Ayu Wijayadi,3,"Bekas tempat peristirahatan dan merenung Raja Surakarta
Sayangnya kurang terawat dan sudah banyak yang rusak"
Indra Gunawan,5,
Waluyo Jati,1,
Jaso Jangan Soto,4,"The shadow of its former glory. Pesanggrahan ini dulunya adalah pesanggrahan favorit susuhunan pakubuwana x. Pesanggrahan dibuat sebagaimana keraton atau pura. Di sini juga Sunan menjamu tamu-tamunya, mulai dari tamu dalam negeri hingga …"
Istika mci,5,
Soni Susilo,5,
Siti Mahmudah,1,
Frizkhy Kiky,5,Mksh
Chandra Aryawidarma,5,
Heri Budhiyono,4,
X connan777,5,"Jelajah Javanica Solo.
..
Bisa Follow instagram Javanica Solo yang mau ikut tour sejarah Solo Raya.
.."
erna t.s,5,"obat"" dan treatment dari dokter wahyudi memang sangat manjur. langsung sembuh anabul"" saya kalau sakit .💛 …"
J.S Budi Utomo,3,Sebenarnya bagus cuma kurang terawat
mas Sei,5,
Kang Atmo,3,
Dion Allvin,5,
