nama,rating,isi_review
Nur indah Fitria,5,
Uus Nopitasari,5,
ST Wahyudi,5,Harap berhati-hati tetap siaga 😨😅 …
Ratno Deno,5,
Romantiretno Halimah,5,Suasananya cukup nyaman hanya kurang terawat
Suparni Enni,5,"dulu tahunya menara gantole,pas mau kesana pake Yamaha vega R thn 2004,kesitu pas anak masih kecil,boncengan bertiga,th 2014. gigi 1 gk kuat,kukira posisi gigi 2,ku oper mundur malah netral,motor mundur gak bisa di rem,bisa berhenti kuarahkan ke tebing. Sport jantung."
Ahmad Bisroy,5,ngabuburit
Bayu Lone Tiger,5,"View Keren.. Dikelola BUMDES

Zona Terbang Gantole.. …"
Muhammad Qomarudin,5,
Tri Haryo,5,Gowes puncak paralayang joglo
Anak Mami,5,Tenang untuk menenangkan suasana hati.
pak iwan mojolaban,5,"Terima kasih untuk official crew paralayang.
Ikut terbang paralayang, menyenangkan,"
Bayu E Wijaya,5,"Mantab,suasana sejuk dan cocok untuk mencari udara segar"
kades trijoko pamilih,5,
Eko Hartanto,5,Tempat yang sangat indah dan penghuninya ramah bikin nyaman
Taufiq R,5,"syahdu banget soalnya ga terlalu ramai, bisa liat pemandangan Wonogiri dan sekitarnya"
abimanyu lintang,5,"Tempatnya bagus sejuk, cocok buat santai santai. Walaupun jalananya lewat desa desa tapi sudah full aspal 👍 …"
Pesona Fragrance,5,Rute nanjak seru. Asyik buat gowes. View waduk kelihatan kecil. Penduduk ramah.
Kuadi Mangi,4,"Tanjakannya agak extrim,tp terbayarkan dengan view yg mantap pas sore hari,bisa liat kota wonogiri dari puncak"
Dirgajanto Danyto,5,"Alhamdulillah bisa kesini pas pagi hari, jadi bisa menikmati matahari terbit"
Danyto Dirgayanto,5,"Kesini pas pagi, Alhamdulillah ...., angin semilir dan ada nuansa sunrise nya, indah banget, next kalau ke wonogiri, harus kesini lagi, apalagi kalau kesini pas dengan rombongan alumni SD/SMP, duh gak kebayang deh ..... 👍👍👍👍 …"
Viki Erlangga,5,"Pemasangan indah suasana segar, langsung melihat waduk Gajah Mungkur"
Faris Muzakki,5,
Bad Beard,5,"Bisa camp tipis2 😁
Pemandangan malam bagus gemerlip lampu dan bintang, sunrisenya bagus banget, view landskap siang juga oke. Angin di atas sangat kencang dan dingin jadi …"
Sri Sumarsih,5,"Pengalaman pertama,nganter anak tandem.."
Umi Nurjannah,4,"Jalan kesana sudah aspal bagus, tpi tetap harus hati2 karena tanjakan curam dan tikungan tajam. Harus cek kondisi kendaraan anda dulu pastikan prima. Tiket masuk 5k perorang dan parkir 2k. Ada toilet, musholla juga. Pemandangan waduk gajah mungkur, sepertinya kalau sunset akan bagus sekali"
Yohana,5,"Melihat landscape Kabupaten Wonogiri khususnya Waduk Gajah Mungkur dari sini indah sekali. Pas kesini sore jam 4-an jadinya sepi, tapi anginnya kencang dan dingin. Akses jalannya udah bagus tapi cukup ekstrem, pastikan punya skill nyetir …"
Eko Rudianto,5,"Tempat yang sangat cocok untuk yang memilimi hobby extrime dan menantang. Lokasinya sangat setrategis. Berada tepat diatasnya waduk gajah mungkur. Hanya membutuhkan waktu 15 menit, sudah sampai dipuncak ini dan kita bisa melihat hamparan …"
arka az-zahra,5,"Halo, apakah ada kontak yang bisa dihubungi?"
mahfud abdullah,5,View mantab
kuncoro mukhti,4,Indahnya wonogiri dari sini
Adhi Nugroho,5,Mantap
Ageng Ismail,5,
yoga pratama,5,Oke
Riku Shiki,5,"Asik buat menikmati pemandangan alam pagi hari dan sore hari,,,"
Akhir Cahyadi,5,"Manteb banget Sunrise nya, tetep jaga kebersihan ya kalo kesini biar tetep asik menikmati Sunrise sambil ngopi 👍 …"
Dyah Winahyu,5,
azkhaLif,5,
Anggita Kesya ainaya Chanel,5,"Tempat dketinggian dengan panorama waduk gajah mungkur
Tempatnya penggila terbang paralayang"
Rafi Naufal Ahnafi,5,"Pemandangan nya benar benar bagus
Disarankan kalo kesini pas cuaca cerah/musim panasss, jangan kesini pas musim hujan karena full berkabut …"
Anisa Maharani,5,Indah
Safira Difani50,5,"Puncak Joglo menjadi salah satu andalan destinasi wisata di Kabupaten Wonogiri
."
Siti Norhikmah,5,"tempat nya sangat indah dan bersih, bagus banget"
Danda Sbvd,5,Bagus
DIKY K,5,bandara Wonogiri
Rizki Andhika,4,minta evaluasi ke 1001🙏🏻 …
Noris Roby Setiyawan,5,Tempat wisata puncak joglo merupakan salah satu lokasi terbaik untuk menikmati keindahan sunset maupun sunrise sembari menyaksikan keelokan waduk gajah mungkur dari ketinggian. Untuk menuju puncak joglo dapat diakses dengan menggunakan …
juli anto,5,
Putra Wijaya,4,Jalan menuju puncak joglo menyenangkan..😁 …
candra si saputra,4,Mestio panas tp syahdu kayane yen Rene pas sore
RezVada 04,5,"Walaupun jalannya cukup menantang, setidaknya terbayarkan dgn pemandangan yg indah bila kita telah sampai di puncak joglo. Kita bsa melihat waduk gajah mungkur dan bukit atau gunung yg mengelilingi kota Wonogiri 😍🥰
The best View in Wonogiri …"
Muhamfad_1,5,berangin diatas
Ruly jiwan Tama,5,"Tempat yang sangat indah di saat melihat sunset dan sunrise, dan tempat paling asik ketika mengajak pacar atau sahabat ke sini 😆 …"
Samsul Bahri,5,
Tabib Adriyanto,4,Oh
Nurul Dyah,4,"Pemandangan dari puncak yang bagus
Kembali ke alam"
Sahrul sawaliah,5,Suatu tempat yang tidak meragukan untuk menenangkan diri😁 …
Pariman Harmini,4,"Tempatnya tidak terlalu ramai, akses jalan halus cuman tanjakan nya tajam , tiket masuk lumayan mahal, pemandangan nya bagus suasana nya masih asli asri pegunungan"
joko purwanto,5,"Jozz
jalur menantang"
didik didik,4,Indah bangetsangat indah
ely yustisi ihsani,5,
Sri Rahayuningsih,5,subhanallah. ...begitu indahnya ciptaan Allah SWT. Wonogiri is the best
Ferry Sujianto,2,Belum pernah kesini
Risca Widyaningrum,5,
indra geni22,5,
Sataji,5,"Kenangan sihh, 😆 …"
Evi Kinkin,5,"Meskipun jalannya ekstrim karena tanjakan dan kelokan tajam tapi setelah sampe dipuncak sungguh disuguhkan pemandangan yg sangat indah. Dari atas sini kita bisa lihat betapa luasnya Waduk Gajah Mungkur, pemukiman dibawah, dan kota Wonogiri …"
NurulKhoirIstiqomah _,5,
Bengkel tv sinar servis,5,bagus juga
Hartono Saji,4,
Abdullah M.A,5,Puncak yang indah dari atas bisa melihat waduk Jatiluhur dan Wonogiri
anton terdim,5,tempat yang indah sekali
Kholid Saino,3,
Amar Makruf,5,Spot sunset terbaik
Indah Purwanti (Indah),5,
mita,5,
Agung kopikopi,5,Saya sering kesana .tempat terfavoritlah pokoknya   apalagi kalau berkabut
Ari Kurniawan,5,
Genteng Keramik Bojonegoro,5,Recomended untuk healing tipis2
Nugie,5,"Pemandangannya bagus, tapi hanya bisa diakses dengan sepeda motor atau mobil kecil. Minibus tidak disarankan karena jalannya kecil dan memiliki tanjakan curam dengan kemiringan lebih dari 20% di beberapa bagian."
Muchliz Classic,5,Indah...
Rendy Firmansyah Haris R,4,
Zaffa Rachmady,5,"Tempatnya mantapp. Bisa untuk ngecamp.

Kalau yang mau ngecamp usahakan jangan datang setelah maghrib. Agar bisa bertemu …"
Hafid Hapid,5,2009 pertama kesini
YNWY shk,5,nyaman buat nyantai soree...
Topan Anyar,4,"Puncak joglo gantole Wonogiri
Tempat yg wajib dikunjungi"
Age Ge,5,
Dwi Luhur,5,
Titik Nuryati,5,Kalau pas bejo bisa lihat ganthole
koemis dian,5,t4 nya lumayan extrem untuk gowess..siip pokonya..yang pentimg hati2 n jaga keselamatan..
GATOT KACA,5,Bagus
Finda Indri,5,"Yang suka holiday berbau alam, cocok bangt nih kalok kesini pemandangannya bener2 bagus dan sejuk apalagi kalok pagi atau sore pasti pemandangannya akan jauhh lbh bagus heheh"
Wahyu Giyanto,5,
Ria Novikasari,5,Melihat Waduk Gajah Mungkur dari ketinggian...
Nada Juwita,5,"Waktu kesana sepi banget. Tapi recommended buat refreshing, bisa ngeliat pemandangan dari ketinggian"
Raka Nur Sanjaya,5,
Dani Ansyah,5,Mantap gan
sunardi utomo,3,
Hermawan Wawan,5,Gowes ke puncak joglo..tanjakannya perihhh
