nama,rating,isi_review
yogi namaste,5,Pura di Karanganyar Solo
Wayan Nupiantara,5,"Puranya keren, Jro Mangkunya sangat ramah dan informatif. Matur suksma pencerahannya Jro Mangku"
Dewi Maha,5,Kuil yang menakjubkan
adi darsila,5,Rahayu
indra rahadiyan,5,
Gunadi Ibnu sutopo,5,"Bagus, nuansa bali"
MAZ JEMBLUNG,5,View bagus
Adyatmika Karmendriya,5,
rudi ricus eustachius suranto dirgantoro se map,5,Pura Pamecakan Petilasan Gusti Mangku Kasta Agung tempat wisata religi yang indah
SARILOGAM TEKNIK,5,
Tri Muryani,5,
tri yanta,5,Terima kasih
Ketutsuperfrog Frog,5,Pura nya bersih dan tempat nya sangat indah. Deket dengan gunung
Mai Simpang,5,
I Made Kasa Astawa,5,Tempat suci
Nd Reee,5,
tri martanti,5,
Radit Dm,5,
Andi Kvrn!awan,3,"Pemandangan bagus,"
I gede hermawan Nang ello,5,keren habis
icha santi,4,
Tugita Lotus,5,
Budi Waryanto,5,
Dwi Indah Pujiastuti,5,suka sekali disana kelihatan teduh dihati dan segar udara
Hadi Aljufri,5,
PUTRA LAWU NURSERY,5,Pemandangan indah persawahan
sufi alas,5,Tempatnya Mempunyai Pemandangan Yang Indah Menghadap Gunung Lawu Di Sebelah Timurnya..
Shty,5,Semesta selalu menuntun kita ke arah kebajikan. Lakukan transformasi diri dan pupuk pikiran positif. Maka realita yang kita tempati akan selaras dengan pikiran yang kita hasilkan. Ketenangan diri bisa kita dapatkan ketika Alam dan Jiwa kita …
Jero Mangku Suwono,5,Om Swastyastu
Puput Pegassus,5,Semedi
Hari Drajad,5,Tempat ibadah umat Hindu yang sangat indah dibangun dibelakang patung Semar karang pandan Karanganyar
Fry Vreydinand,5,"Pura Pasekan Agung di Karangpandan, Karanganyar, memikat pengunjung dengan keindahan arsitektur tradisional Bali yang megah. Dikelilingi oleh hijauan dan hamparan sawah, pura ini memberikan pengalaman spiritual yang mendalam. Suasana damai …"
Zulfa Abdurrahman,1,
Unie Sriwahyuni,5,
Sigit Basuki,5,"Pure buat ibadah umat Hindu di daerah Karangpandan, parkir cukup 8 mobil"
Bayu Sri Setya Dharma,5,
Adhiwa Inovation,5,Pura yg bagus dan indah
Samber Nyawa,5,"Mengantar orang dari Bali, sekalian nginap disini nyaman"
Princheta Anastasia,5,
Tri Haryo,4,Tempat ibadah ummat Hindu yg relugius
clarista cantik,5,indah tempatnya
Seno Broto,5,Serasa di pulau Dewata
PO.RESTYMULYA Official SOLO,5,
Jro Jarot,4,
yuni anto,4,Pura masih taraf pembangunan
Jonny Tagor,1,"Iahrajow6yqwp73n273tjeihsfsngsehegve

Hdoiudueuywy2ywgwggw twuhwgsh3"
Tarjono Tarjo,5,Sejuk
ALBAIT' ATYQ ASY'ARY,5,Pura pasekan karang pandan. Tempatnya agak tersembunyi dari jalan raya. Tidak ada penjaganya. Terkadang ada orang yang angon kambing disekitar dan ialah yang menjaga lingkungan tersebut dan terkadang ia menghampiri dan menarik dana kepada pengunjung seiklasnya.
yenni merlani Jembrana,4,
Joko Waluyo Hadi,5,
Pak Putra,5,Pura di lereng gunung Lawu.
Agung Aribudi,5,Pertama kali menginjakan kaki dikaki gunung lawu auranya sedikit terasa kita rombongan datang ke tempat ini dan bersembahyang semoga mendapat anugrah keselamatan
nimade ratmini,5,Pura yg sangat megah
Waozi Duhu tb,2,Oke
LOESDARWANTO,5,MATOH
Hafidz Lukman Hakim,4,"Satu satunya Petilasan hindu yang ada di karangpandan cukup terkenal, tempatnya nyaman, bersih, aja juga juru kuncinya, rumahnya di samping petilasan, jadi apabila mencari tidak perlu kesusahan, yang unik setiap bulan tertentu(saya lupa) …"
Adnan Rizki Ramadhani (Rama),5,"Salah satu pura yang berada di Karanganyar. Bangunan pura ini mirip banget sama yang di bali. cocok banget buat foto-foto baik itu swafoto maupun grup foto. penjaganya ramah banget, letaknya dekat sama patung semar. kalau ke Karangpandan …"
RENATA AIKO,4,"Penjaganya ramah, bangunan megah latar belakang gunung Lawu yang indah"
Sri Hartati,5,
Richard,5,
yunan morfosis,5,"Salah satu pura di kawasan karanganyar untuk warga pasek. Tempat parkir tersedia jika memang membawa bus sedang maupun minibus. Tersedia tempat untuk berganti baju, toilet dan ada warung untuk menjual jerigen jika memang ingin membawa tirta …"
jojoseng jojoseng,2,Itu ada penduduk lokal...bapak2 umur akhir 40 sd 50 sekian... yg rumahnya sisi kiri...kl ada orang yg ke situ foto2 kok minta uang ...pungli atau gimana nih
kitok Teknik,5,Asri banget puranya.senang menelusuri jejak leluhur kwpasekan.
Ag,5,
i wayan Miasa,5,"Luar biasa tempatnya di lereng gunung lawu , meskipun umatnya minoritas namun saat upacara piodalan semua hadir untuk berdoa bersama"
trip.nusa.penida trip.nusa.penida,5,Astungkare polih tangkil ring pura kepasekan karang pandang
mbah tris,5,"Pengempon pura (Pak Yono) membimbing sembahyang dengan baik, ramah.
Lokasinya sejuk diperbukitan arah Tawangmangu."
Kadek Sudiartawan,5,"Tempat ibadah umat Hindu yang sejuk, nyaman, dan asri alami"
Pungki Yulian,5,
Anton Eko Haryadi,5,Pura yang sungguh keren. Layak dikunjungi untuk ibadah umat Hindu di Solo Raya.
Chandra Andre nugroho,5,Suasananya sangat enak buat berdoa
Reynald_m-da G_jah,5,
rafif arfan,5,Aku merindukanmu
Antonius Susanto,5,"Tempatnya berasa bali banget, cuman spot fotonya sedikit"
Alpha Beta Charlie Delta,1,
Gede ketut Astawa,5,"Om Swastiastu, saya dari Pasek Batukau. Semoga beruntung di Pura Kepasekan"
Danendra Aryadewa,5,"Selain salat, pemandangannya juga bagus saat matahari terbenam"
Didietweh,5,
Nita Murtia,5,"Bagus, tempatnya bersih dekat dengan jalan raya juga jadi akses jalannya mudah"
denkemet 07,4,
Muchtar Ady Pamungkas,4,
Djokone Bara,3,
Hendro Utomo,5,Tempat yang bagus...
Dwi Wida,4,
Dimas Candra,5,
rama ayu argani,5,
Indratama,5,
Adhiayu Friska S.D,5,"tempat sembahyangan umat Hindu aktif, sering utk dijadikan tempat berfoto karena nuansa Pura seperti di Bali, tempatnya di dekat bukit jd hawanya dingin dan sejuk. sayangnya akses jalan menuju ke Pura masi kecil dan hanya muat utk 1 mobil saja tidak bisa berpapasan."
Cemara Teduh,5,
Marjana Putu,5,"Pura dengan pemandangan alam yang indah,"
alim,5,"Rasakan nikmatnya, dipagimu"
Debora Yunita,5,"Lokasinya dekat jalan utama Tawangmangu. Candinya kecil tapi cantik dan artistik. Memang tidak tampak di pinggir jalan persis, harus masuk gang sedikit. Parkirnya lumayan besar. Ada tempat duduk-duduk di depan candi bisa untuk istirahat. …"
heri jafpra,5,Tempat untuk beribadah juga bisa buat kunjungan wisata.
Galuh Mas,5,Tempatnya bagus lhoo wajib dateng tapi harus jaga perilaku yha soallnya ini tempat ibadah
Stefanus Kristiyanto,4,Pura Hindu yang ada di Karangpandan ini sangat eksotis.
Donga Indo,4,Meski kecil tpi tetap bagus
karma 888,5,
Noa Hadiid,5,"Spot foto murah meriah, tapi ingat harus jaga tindakan, kata kata dan juga perbuatan ya, karna ini tempat ibadah"
Putu Ananta,5,
Irvan Maulana,5,"Pagi pagi ke sini view-nya bagus, bisa liat gunung Lawu,"
Wijaya Jati,4,"Tempat ibadah umat Hindu, msh berfungsi & srg  digunakan untuk upcra keagamaan,  lokasi masuk sedikit dr jln raya, suasana adem, nyaman bersih."
Giyanto Gareng,5,"Tempat beribadah yg bersejarah, d lokasi harus jaga sopan santun."
Hi Ngr,4,
putut agung kurnianto,4,"Tempat pemujaan yg bersejarah, jalan akse masuknya tidak terlihat jelas, sehingga jarang orang tahu, bangunan dan lokaso bernuansa bali banget"
Antonius Ferry,5,
eliana G,5,
