nama,rating,isi_review
nada anisa,5,"Barusan banget dtg ke tempat ini, milih tempat ini karena pengen ngajak anak2 naik kuda.. memang sepi tempatnya tapi rekomendasi banget kalo untuk quality time sama keluarga bersama kuda, banyak tempat duduk tersedia untuk bersantai, toilet …"
Adi Rohmawanto,5,Pemasangan yunit ac seken
Aini Syaini,5,"Ini klo terkenal pasti rame sihh.. krna emg tempatnya luas, nyaman, kuda²nya terawat semua.
Klo sekedar mau main & liet² kuda sm kambingnya free pula 😭
Semoga kedepannya semakin dikenal & banyak pengunjungnya 👍🏻 …"
danang nang,5,"Tempatnya bagus dan edukatif
Pengurusnya RAMAH. Kemarin sempat ngobrol di kandang kambing.
Pengin kesini lagi"
Gita Santhika,5,"Aku jatuh cinta😭
Tempat sebagus ini harusnya udh viraaaal✨
Kudanya sehat2 cantik2 gede dhuwur, tempat bersih, guide ramah dan passionate …"
Ayah De Ibra,4,"Sebenarnya g ada sama sekali niatan k tempat ini, kita dr alaska kemudian otw pulang tp coba jalur berbeda, eeh alhamdulillah malah ketemu tempat ini, baru tahu ada tempat yg bagus. …"
ning uswiyatun,5,Tempat nya sangat menarik. Seru. Koleksi kudanya banyak. 10 an lebih. Bisa naek kuda start from 25k. Udah keliling2 kampung. Ada domba juga disini. Next time maen sini lagii. Anak2 seneng bgt bs ketemu kuda sm domba. Mas mas nya juga sangat ramah
BENGBENG ARINN,5,untuk mancing ikan
Kuswatun Kasanah,5,
Hendrik Priyo Utomo,4,Kandang kuda bagus
sugianto yanto,5,menarik
Wirasejati Group,5,Berkuda ngga mahal² banget cuma 20k
askafabiyan Fabiyan,5,Top markotop
yogi setyo,5,Tempat sejuk nyaman .. Bebas kebisingan.. Cocok untuk mnghilngkan suntuk karena hiruk pikuk perkotaan..
eri aji setiawan,5,
Liantony Azzuri,3,
Suya Anto,5,"Semakin hari semakin  BAGUS RAPI dan INDAH

MACHO ada kudanya"
Beni Pratama,5,
masmoe wahyoe,3,"Bagus sih tempate, kuda ada 7 ekor"
Dwi Susilo,5,Saya mau jual rumput kalau mau wa083150026077
Rafa Alyamukhbita,4,😊👍 …
Budy Santoso,4,Dekat rumah ternyata ada wisata 🐎🐴 …
Suprii Yadiii,5,Tempat yang enak untuk nyantai
Chrysan Lim,4,"Salah satu wisata naik kuda yang memuaskan. Selain harganya yg sesuai, pemandangan juga menunjang. Kuda peranakan dari Sumba & Menado (kata mas-nya 😁). Untuk naik kuda ada 2 pilihan paket : Keliling desa kecil sekitar 10 menit, 25K dan …"
Hermansyah,5,
Crelo Design,5,
Ghozy Wawaky,5,"Belajar kuda ya disini tempatnya.!
hanya setengah jam udah bisa menguasai kuda Pembimbing yang ramah dan kudanya juga jinak Semoga bisa kesini lagi. …"
Erfan Ramaditya,5,"Tempatnya Bagus ,cocok untuk wisata Buat Keluarga ,Top"
Agung Supriyanto,5,👍👍👍 …
i iyum,4,"Bisa naik kuda. :) Ada tempat makannya juga, tapi kalo pagi -jam 11 belum buka. Mungkin sore ya bukanya.
Ada mushola + kamar mandi yang bersih jugak."
Rosyied Azwar,5,"Lumayan asyik tempatnya

Ada peternakannya juga"
M yt (She Mhoet),5,
Drg Ika Bayu,5,"mantabbbb,udah beberapa kali ke sini"
Tuti Sri,4,
Ramadhan zone,4,
Tri Widiyaningsih,5,"Masuk gratis, parkir gratis, tarif naik kuda murah 25.000/org keliling kampung , pelayanan ramah dan menyenangkan."
Fendika Wahyudi,4,
Fiki Andika wahyu pratama,5,Syahdu tempatnya enak..👍👍👍👍👍 …
Dheni Daryatmo,5,
antox,5,
KAI imut,5,
Putut W,4,Kandang kambingnya bersih
de skyline,5,"suka sekali,pengen naik kuda disini"
Key Photography,4,Spot foto yang keren
UMAM,5,
Yoyok RPHM,5,
suwarno suwarno,4,
Hapsari Mutia,4,Pengalaman berkuda yang seru ...
Toto Rock,5,Wisata lokal dengan harga terjangkau untuk memanjakan buah hati dan cocok buat edukasi anak... 👍🏼👍🏼👍🏼 tambah lagi hewan2 ternaknya 😁🙏🏼👍🏼 …
Dewa Alfa,3,Sejuk
Rika Wardani,4,
herypur,4,Cocok latihan berkuda pemula...
Setyo Rudito,5,Tempat yang nyaman untuk berwisata naik kuda
Dwi Paryanti,4,"Salah satu tempat rekomen untuk melepas penat setelah 1 minggu bekerja,  harga tiket berkuda @20k keliling kampung, menurut saya termasuk murih gurih 20k bisa naik kuda keliling kampung lagi, pemandunya juga ramah"", tinggal kita pinjam i hp kita, itu galeri sudah penuh video dan foto kita😀 …"
agus wijayanto,5,
Tri Sulistiyono,5,Gaya traveling kekinian dan anti mainstream.  Lokasi strategis dengan pemandangan alam yang hijau
Oktivia Naya,5,
Benni Setiawan,5,
Wijaya Jati,5,"Wisata berkuda yg cukup asyik di wilayah Sukoharjo, lokasinya di dekat alas karet, harga cukup murah, cm 20rb aja, ada kelas untuk latihan jg, ada taman bunga & saung2 untuk foto2 & istirahat, beberapa properti jg disediakan seperti baju & …"
agus ridwan kurniawan,5,Jooss hiks
Windi Sumanto,5,Recomended untuk edukasi anak-anak dan melepas penat di akhir pekan
Yusuf Center,4,
Master Sales,4,Lumayan murah buat latihan berkuda
Willdan Dimas,4,Lumayan buat hiburan anak2
Ogah Lumut,5,"Tempatnya nyaman...
Naik kuda menyenangkan..

Murah meriah bikin hati senang.."
ainnur febriyanti,5,
esjahesusu,3,"Pernah mampir sini, lihat kuda di istal, kuda disini bener² mirip dengan jaran..."
Intiyas Dian,5,"Tempatnya menyenangkan,  edukasi ke anak2,  masuk free..."
Tommy Darling,5,Tempat indah sejuk luar biasa
Nurhani kusuma dewi,5,👍👍 …
lastari lastari,4,Menunggang kuda sambil melihat-lihat lingkungan sekitar adalah pengalaman yang menyenangkan. Terima kasih atas sambutan hangat dan panduan ramah.
shiembah 881709,5,
beti wulandari,5,"Bagus, semoga makin berkembang"
DnR,5,"Kuda² yg energik,makanan ndeso yg recomen singkong presto,tempat berkuda yg nyaman"
alfian huda,5,
Abdil Rafif,5,
Halimi Mustofa,4,"Kuda-kudanya terlihat sehat. Pemandu ramah dan selalu siap. Saya akan memberikan lima bintang jika memiliki lebih banyak ruang untuk duduk, bersantai, dan menikmati pemandangan."
benz ino,5,
Ka-A channel,5,
Garuda 08,5,Tempat yang bagus
Jenn Iva,5,terima kasih
Sri Handayani,5,Siip
Tom Myfirman,5,Pelayanannya ramah ramah
Fauzi,5,Mantap
Akasy Sansss,5,
Angesti Palupi,4,Seruu... Stlh dr sini bs langsung Ke Alaska (Alas Karet) yg Ada d dkt ny
lencana xcom,5,"Tempat yang nyaman untuk berkuda dan bersantai. Instruktur ramah, kudanya sehat dan fit. Cocok untuk wisata keluarga. Sangat worth it.."
Wikan Roso Mulyono,5,Pokoknya seru
afriyana purnamasari,5,terima kasih
Dian Megawati,5,keren...selain bs bljar brkuda...ada spot selfienya jg lhu...
Julianto Dono,5,
Afdriawan Saputra,5,
Ganendra Adhy Kusuma,5,Rekomendasi sekolah berkuda
