nama,rating,isi_review
Aprilia Ayu Pratama,5,"Berlokasi di Tawangmangu, Rumah Atsiri menyediakan pengalaman yang unik dan berbeda dalam traveling saya. Tempatnya sangat luas, sejuk, tenang & asri—di dalamnya ada berbagai tempat seperti museum, taman aromatik, dll. Tempatnya sangat …"
Ika Fadhilah A,5,
Fajar Alfalaq,5,Harum Harum
Rakhmat Darmawan,5,
Google Bisnis UMKM,5,Sangat bagus untuk penyembuhan.
Widyayu Kurniasari S,5,ke rumah atsiri karena ada special access dari glampingnya. ikut aromatic dan museum tour. guidenya cukup informatif dalam menjelaskan dan memberikan waktu untuk wisatawan foto-foto bahkan bantu wisatawan untuk foto (alias difotoin). selain …
Budihardja,5,
MasDah Driver Kece,5,"Liburan Bersama Telkomsel Ke Rumah Atsiri Indonesia

Lokasi Bersih Indah Nyaman Edukatif …"
rumpoko didit,5,
Zahra Dahlan,5,"Saran jika kesana saat pagi hari jam 10.00, jadi masih tidak ada antria dan tidak panas"
chandra setiaji,4,
Thomas Bayu Wijaya,5,
Faisal Nafis,5,Edukatif
Ignatius Adhitya,5,"Semua hal di tempat ini worth it: arsitekturnya cantik, layout tempat tertata, makanan di resto enak, dan tempat untuk foto banyak sekali. …"
Oliver Stearn,3,"Lumayan. Sebotol air putih 23rb. Saya tidak boleh vape di kebun karena itu 'akan merusakan tanaman' dan tidak boleh masuk museum sendiri, harus pakai tour guide (yang sebenarnya ok sih)."
Nur Wiryanti,5,"Salam Aroma Nur Wiryanti,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
yu ka,4,Tempatnya enak buat tenangin pikiran
Salty,5,"Salam Aroma Salty,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Cahyo Dwi N,5,"Salam Aroma Cahyo Dwi N,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Bening Lintang,5,"Dateng agak kesorean tapi memang worth it banget untuk dikunjungi. Awal masuk bayar 50rb, waktu kita pulang 50rb ini bisa dipake untuk mendiskon barang yang kita beli. …"
Rini Karlina,5,Mempelajari tentang tanaman Atsiri dan manfaatnya
Fitri Noviyanti,5,Dateng kesini pas long weekend jadi ruame bgt dan parkirannya full. Akhirny dapet parkir agak jauh dan disediakan shuttle sama pihak atsiri. …
Elsa Aurora,5,"Salam Aroma Elsa Aurora,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Subkhan Suryoadi,5,Super Keren Top
Sintia Sulistia Ningsih,5,"cakepp, estetik. di setiap sudut wangi aromatic. cocok untuk healing"
Doni Oyonid,5,Tempat wisata dan edukasi pembuatan minyak Atsiri yg sangat recommended
Ngas Nanda,5,"Salam Aroma Ngas Nanda,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
hida seila,5,Pengalaman pertama main. Cantik pol pemandangan nya. Untuk tiket seharga 50k buat aku worth it banget sih. 50k itu isinya voucher bisa masuk dibeberapa tempat seperti museum atau edukasi membuat parfum. Untuk masuk tamannya free.
anrida Kapu,5,
Steffie Nadyne,5,"Bagus & menyenangkan❤️ Kesini waktu libur lebaran tapi tetep buka jadi cocok buat dijadikan destinasi wisata👍🏻 Dari kota Solo kesini kurang lebih 1 jam, enak buat refreshing💯 …"
Wendy Aprelian,5,"Rumah Atsiri Indonesia adalah tempat wisata yang unik dan menyegarkan. Taman aromatiknya luas dan tertata rapi, penuh tanaman beraroma yang jarang ditemui. Museumnya menarik, menampilkan sejarah dan proses pembuatan minyak atsiri dengan cara yang interaktif."
Gigih Tirta,5,"Salam Aroma Gigih Tirta,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Otto Kilimanjaro,5,"Salam Aroma Otto Kilimanjaro,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Ayu Ryzki,5,"Salam Aroma Ayu Ryzki,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Widisa Tris Santiana,5,Seru banget. Ga cuma healing tapi dapet ilmu yg edukatif.
Adisss,5,"udh ke 5xnya kesini ga prnh bosen buat ngajak tamu2 aku dari luar kota kesini, krna bener2 bagus, bersih, makanan minumannya enak2, pelayanannya ramah, tempatnya luas, bisa jalan2 sambil belajar, bisa beli berbagai produk2nya jugaa."
Dhani Kuswardhani,5,"Salam Aroma Dhani Kuswardhani,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
"Hi, June",5,"Masuknya 50ribu dikasih voucher dan bisa dituker sama aktifitas disana kayak ke museum (ada jadwal tournya), taman aromatik, workshop. …"
Gatya Pararti Tisanoga,5,"Salam Aroma Gatya Pararti Tisanoga,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Intan Nur Sumampauw Anggraeni,5,Wangi & estetik bgt tempatnya
Debby Ratna Dewi,5,"Pengalaman yang unik, karena tempat wisata yg menyuguhkan pengetahuan juga. Tempat nya cukup luas. Banyak spot foto, tanaman yg belum pernah dilihat. Kemarin sih cukup padat pengunjung. Parkiran juga dapat di pinggir jalan agak jauh, tapi tenang ada jasa shuttle nya.jadi gak perlu jalan."
Ida Kurnianingsih,5,"Pelayanan glamping yang sangat personal dimulai dari penjemputan di loby, dinner sudah disiapkan di room karna sudah malam. Saat breakfast juga sudah diatur per meja dan pesanan diantar ke meja masing2. …"
Vitradesie Noekent,3,"Suka bangets, tapi pengalaman buruk saat mau bayar di kasir. Gak siap nerima pembayaran jika pembeli buanyakkkkk …"
Billy Joe,5,Pengalaman ya menyenangkan. Makanannya juga enak
Imanuel Sutopo,5,"Dari tahun lalu sudah aiming tempat ini. selain posisinya yang tidak terlalu jauh dengan Solo (±1-1,5 jam dari Solo).
Saat sampai di tempatnya kita beli voucher minimal 50rb /pax dengan tujuan …"
dwi setiahaRdi,5,"Salam Aroma Dwi Setiahardi,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Fahrul Mukti Wibowo,1,"Resto disini benar2 perlu dirombak sdm nya, bisa2nya ada kertas di tepung ayamnya, waitress jg kurang kooperatif, tolong menjadi perhatian pimpinan atsiri"
Dhanar Adi Dewandaru,5,"Salam Aroma Dhanar Adi Dewandaru,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
gisel gisel,4,"Saat masuk diminta deposit 50rb/orang.
Bisa dibuat belanja/tour museum/ikut workshop/makan/dll. Tidak dapat diuangkan kembali. Tour dan workshop ada kapasitasnya dan ada jamnya jd tidak bisa …"
Ignatius Probo,4,"Tempatnya bagus, ada storenya yg jual berbagai olahan tanaman yg punya wangi enak. Hand sanitizer, essence oil, parfum, sabun dan lain2. Ada taman, museum, tempat makan. Bagus untuk foto2"
Irfan Arridho,5,"Wisata edukasi. Tempat sangat nyaman, hawa sejuk, juga ada berbagai produk untuk di beli"
teguh restu,5,"Salam Aroma Teguh Restu,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Nurul Hidayah,4,"Sejuk, sambil workshop juga.. harum tempatnya. Cuma mungkin sedikit gersang"
Simon Rendy Irawan,5,"Tempat e sejuk karena dataran tinggi , haha.
Taman bunga cuantik2 bunganya , bau wangi bunga semerbak ..
Dan join ke tour indoor ( lupa nama tournya ) dah incld guide yang jelasin step by step sejarah dari Rumah Atsiri ini. Nambah wawasan ya gaes ya.."
Teguh Prihantoro,3,"Salam Aroma Teguh Prihantoro,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Uang kuno Prambanan,5,"Salam Aroma Uang Kuno Prambanan,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Sasmita Anjani,5,"Salam Aroma Sasmita Anjani,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Antok Wiryo,5,"Masukan buat pengelolanya..mohon di buatkan ruang tunggu buat driver,"
Wahyu Ratna,5,"Salam Aroma Wahyu Ratna,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Irfan Veka,5,"Nyaman buat refreshing, makanan nya enak enak ❤️"
nety romy aditya,5,"Salam Aroma Nety Romy Aditya,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
Michelle Eka Putri,5,"Sistemnya disini tiket masuk berupa voucher yang bisa digunakan untuk aktivitas lain

Tempat yang free hanya kebun marigold, sisanya berbayar sesuai lokasi yang ingin dikunjungi

Workshopnya seru banget, kemarin iktu aromatic balsam dan kita bisa buat aroma produknya sesuai kemauan kita"
Johnny Pramadya,5,"Salam Aroma Johnny Pramadya,

Semoga waktunya yang dihabiskan di Rumah Atsiri menyenangkan & meninggalkan kesan baik. Sampai jumpa di kunjungan berikutnya 🌿 …"
