nama,rating,isi_review
Putri Annisa Rahmawati (Onist),4,"Situs bersejarah yang ada di tepi jalan Matesih-Tawangmangu. Tidak ada tempat parkir khusus, sehingga parkir di pinggir jalan dan agak kesulitan bila membawa mobol. Tempatnya terlihat bersih dan juga terawat namun sepi. Di bagian dalam ada pos penjaga, namun ketika kesana pos penjaganya kosong."
Esti Winarni,5,
Toni Yuliarto,5,jaga dan lestarikan cagar budaya milik bangsa ini
Agung Yunarso,5,Tempat yang bagus 👌 …
birrul walidain pro,1,Tidak ada perkembangan apapun monoton
Adi Wibowo,5,
Putri Rupu,4,
ruscahyono,5,"Lokasi di tepi jalan . .
Terawat . .
Menarik tuk diketahui keberadaan nya . ."
Valentino Amare,5,
Gunarso Drivet,5,"Situs corak budaya asli jawa jaman prasejarah, megalitikum kata ahli purbakala."
Wakid Hartanto,5,
Johanes Sean Buddy Hutomo,4,Warga disekitar biasa menyebutnya situs watu kandang - berupa batu yang ditata sedemikian rupa.  Ini merupakan peninggalan budaya megalitikum .
Selva Setiawan,3,
mugosa arwon (MUGOSA),5,"ini tmpat study sejarah yg pnting buat anak2 generasi skrg,
tmpatnya jg mudah dijangkau & strategis
perlu dikelola serius agar bs dikenal nasyarakat luas semacam candi cetho, sukuh atau situs sangiran Sragen"
Nanga Parbat,5,"Lereng barat Gunung Lawu diketahui memiliki beragam tinggalan arkeologi yang dimulai sejak masa Pra Sejarah sampai dengan masa Kemerdekaan. Tinggalan arkeologi masa Pra Sejarah berupa watu kandang, istilah tersebut diberikan oleh masyarakat …"
Cahyo Sejarah Pribumi,5,
nanda mustaqim,4,
Sri Romdhoni Warta Kuncoro,3,"Lokasinya persis ditepi jalan Matesih-Tawangmangu. Tempatnya bersih, cuma kalau pengunjung mau kesini parkirnya ya dipinggir jalan. Karena belum punya tempat parkir khusus. …"
teguh wahyudi,5,Watu kandang
Beni Sutanto,4,"kenapa tidak banyak orang tahu dan tidak banyak disebut di buku pelajaran, semoga kedepan lebih banyak lagi pengunjung dan teredukasi"
Tiwix Imoet,5,
Dudunk,5,Gak rugi kalo ke sini dh
Ryan finishing & furniture 234,5,Alam
pram pro,5,Peninggalan sejarah
Hoko NM,4,
Doni Santoso,5,Destinasi wisata sejarah yg wajib di kunjungi
Lukman Huda,5,Bersejarah
Ayukku Green,3,sebenernya bagus buat studi. Tetapi karena tidak begitu populer jadinya sepi
Sri Yanto,4,
Mulyani86 Yani86,5,Tempat prasejarah
masviki_,5,
Aryana Aryana,5,Asik
Lukman Hakim,5,
Muntahâ Makhtûm,4,"di pinggir jalan, sekitar situs bersih"
Dadan Rohendana,4,Bisa belajar sejarah
Doni Kriswanto,5,Silahkan kunjungi
Febriyanto Adi,5,Mantab
Handono Han,1,
Firdha Nur,5,"Tempatku menambah ilmu, beautiful place deh pokoknya"
sugi Arti,5,
Nur Rokhiem,4,
Alvin - ROBLOX,5,
Alani A C,1,
iki aku,5,Selamat pagi pak indra ke dalam hati mereka dengan cara yang baik dan lebih baik lagi dari awal hingga akhir 🔚 yang 2 ⚁ dan tidak ada ✅ dan aku akan tetap ada ✅ dan aku akan tetap menjadi prioritas dalam hidup ini dengan senyuman yang tidak pernah merasa cukup dengan satu orang yang …
Kunthet Farm,3,
atox reuw,5,
Novian TPurwasto,4,Perlu perhatian lebih untuk menarik perhatian masyarakat
azka doyojetis,4,
danur kinalis,5,
Riyanto Anto,5,Lumayan
Se Yool,4,"tempat yang bagus, sayangnya dikunci"
Bayu Setiadi,5,
psikolog klinis,5,Tempat yang indah
Andhika Prasetya,1,
arie dst,3,Sayangnya kurang terawat
