nama,rating,isi_review
Rini Fatimah Fatimah,5,"Suasana yang bagus, pengalaman yang baik, pelayanan yang baik, nyaman dan sepadan"
asifa neha,5,"""Semarang Edupark menawarkan pengalaman edukatif dan hiburan yang menyenangkan! Wahana interaktif, taman bermain, dan area edukasi membuat anak-anak belajar sambil bermain. Lokasi strategis, harga tiket terjangkau. Cocok untuk keluarga dan rombongan. Pengalaman tak terlupakan di Semarang Edupark!"""
Tasya Syifakh,5,"Restoran nya bagus ,makanan nya enak ,yang di dalam resto orang nya ramah"" ,dan di Semar eduprak ada mini zoo yang di bukak di hari weekend dan tanggal merah ,di mini zoo nya ada stall yang menyediakan berbagai makanan gorengan dan ada …"
Ni. Wzyx,5,Tempat nya bagus banget ada activity buat anak kaya minizoo
birul walidaini,5,tempatnya bagus worth it banget buat keluarga me time sama pacar maupun sama teman teman banyak wahana san permainan nya makannya dan minumannya rekomended semua buat ngopi maupum nyore tempatnya bagus banget selalu jadi tujuan pertama kalo ke tawangmangu pertahankan excellent service nya
Kalluka,5,Semar edupark sangat bagus dan sangat direkomendasikan untuk dicoba maupun untuk tempat bermain main serta berekreasi bersama keluarga/teman/rekan kerja/partner atau apapun itu dan Semar menyediakan untuk booking
Novia Jayanti,5,"tempatnya bagus,menunya banyak pilihannya,tempatnya bersih,tempatnya luas,banyak tempat foto yang bagus,harganya murah murah,staffnya ramah ramah, makanannya enak enak, makanannya cepat keluar,pokoknya rekomendasi banget tempatnya,buat family time, quality time bareng pacar,dan lain sebagainya."
nur ayn,5,"semar edupark, nyaman buat kumpul keluarga, masakannya enak"
Frisca Kalya,5,Semar edupark sangat bagus bersih sopan pelayanan nya baik bagus banget tempat Resto nya
Gus Mandradinica,5,Cerita menyenangkan dari semar eduparak dan staffnya yang ramah tamah
Siti Istiqomah,5,"view bagus,makanan enak,staff ramah,fasilitas resto lengkap"
Ririt Trisnawati,5,"tempatnya sejuk, waitersnya ramah ramah sekali, makanannya juga enak, rekomendasi buat liburan sama keluarga disini"
Kesyha Vara,5,
yunia wulannn,5,"sangat rekomded buat liburan bersama keluarga apalagi di weekend karena terdapat minizoo,jadi disana anak kecil senang bermain dan bisa berinteraksi dengan hewan-hewan yg ada disana"
Aditya Andi,5,"pusat oleh2 terbaru di kawasan tawangmangu
lumayan lengkap, toilet mushola jg ada
parkir luasss
jos🔥🔥 …"
Vinzzz,5,sangat bagus untuk ber akhir pekan dengan Keluarga
Fais,5,"tempat nya bagus, orang nya seru seru"
Selfaumi Hafidha,5,"Sangat bagus ,tapi harga dikit mahal ya 😂🙏🏻 …"
Tri Wi,3,"- Tempat luas , sejuk, bagus utk salah 1 objek Wisata, parkir sangat luas
- Utk Makanan: Cenderung mahal (krn mgkn tempat bagus) hanya saja rasa nya sgt kurang...Pesen Sop Manten (rasa kurang), Nila bakar (lumayan), Kwetiau (terlalu …"
Agus bayu Aji,5,
Hanifah Nursalasah,5,"Tempanya bagus, makanannya enak enak, pelayanan bagus, cepat. Cocok untuk kumpul keluarga"
Sekar prtw,5,"makanan nyaa enakkk😋
tempatnya bagussss😍 …"
laode Jamel,5,tempatnya bagus dan makanannya enak enak cocok banget buat yang mau liburan atau date sama pasangan
Rizki Vian Arizal,5,"Saya datang kesini hari minggu jam 9 pagi dan membawa keluarga besar saya, pelayanan sangat ramah ramah, dan menurut saya sangat recomended untuk wisata bersama keluarga.. …"
Sumarno Adi,5,"Restaurant recomended di area karangpandan tawangmanggu
Makanan enak, pelayanan bagus staff jg ramah"". Rasa makanan pass dan wort it jg untuk harga segitu. …"
Fauzan helmi aziz zaki,5,Untuk yang ingin suasana adem..tenang .mari kesini..sueegerrrrr
Arif dangdingdung,5,"Tempat yang bikin kembali lagi..lagi..dan lagi.
Asri..ramah..recomended..mantabbb"
Wahyu Handri,5,Tempat sangat Bagus ... All staf sangat membantu banget dan ramah² ... View-nya TOP .... Bersih dan anak² sangat seneng
Agus tri Raharjo,5,"Pertama kali ke semar edupark tempatnya sangat asri dan luas dan fasilitas luar biasa
Ada mini zoo,Mini glof,pemancingan,ruang meeting dan bisa buat kegiatan OUTBOUND …"
Christina Nawangsih,5,Menarik dikunjungi & makanan enak
Big L,5,"bersih, pelayanannya good, cocok untuk keluarga"
Nafan Anugrah,5,"bagus tempat nya,cocok buat keluarga"
Fiki Hidayat,3,"Astaga Pelayanannya ngeri banget.

pesan buat 3 orang  yang 1 ga keluar2 sejam lebih blm datang datang, minumannya …"
Sagitha litany Demastuti,5,"Sangat menyenangkan berada di semar edupark, staff ramah ramah, pelayanan juga cepat, makanan juga enak harga yaa standart..
Recomended lah untuk keluarga kecil saya.."
Alif Fitriaddin Anugrah Pakerti,1,"Pesan makanan lama diantarnya, 1 jam baru datang makanan. Nasi goreng charsiu gak enak. Pelayanan lama, petugas gak ramah. Pesan nasi goreng gak dikasih sendok. Tolong dibenahi lagi pelayanannya"
Aisyah Uma,5,"Sudah dua kali kesini. Pertama bulan Januari lalu selanjutnya bulan mei.
Tiket masuk 10k, dan ada makanan untuk hewan juga. Kalau mau mancing bayar sewa pancing 20k."
Revira Cahya,5,"Dari luar terlihat biasa tapi pas didalem tempat nya bagus, estetik sekali banyak bgt spot foto, ada mushola dan toilet, ada juga Mini Zoo buat anak2 tiket masuk sekitar 10-15 feeding animal. untuk Makanan lumayan worth it, tempat nya rindang nyaman bgt buat kumpul-kumpul keluarga. Pelayanannya ramah dan baik."
mahendra budi,5,
eddy endrawan,5,"Ok
Makanan enak, pesan mudah, ga lama nunggu ready. Pelayanan ramah. Harga sesuai.
Apa lagi ya. Tempat nyaman juga bersih,
Pertahankan dan selalu upgrade."
Ummu Nufaisah,5,"Pelayanan ramah,makanan minuman jg enak harga standar resto...
Tempatnya nyaman ada area outdoor dan indoor...
Ada playground buat anak2..."
A Rochmah,5,"tempat nyaman, bersih, pemandangan bagus, makanan dan minumannya enak2 semua, pelayanannya top markotop, tempat sholatnya bgus, bersih banget, ngg bauu, kamar mandi jg bersih.. 😍😍😍😍 …"
Yeni El (YeniEl),5,"Makanan dan minuman enak, tempatnya jg nyaman.."
Ninie Veronika,5,"Tempatnya cozy... makanan nya enak².. pelayananannya bagus.. top lah..
recomended utk keluarga dr luar kota di ajak kesini"
Kinanthi Retno putri,5,Nice experience spend time with family in this place. Good makanan nya pelayanannya ramah
ERIKA ANGGRAINI S,5,"Lokasi cukup 5 menit dari hotel anaya azana, bisa naik gojek kalo gocar agak susah nyantolnya,
Kl mau ke resto tanpa htm, klo mau ke mini zoo park bayar 15rb free makanan …"
Ari Ramadhanis Hy,5,"Mantap bgt tempat ini, buat nyantai oke. Buat momong anak oke. Masuk parkiran sampe masuk tamannya untuk ksh makan hewan2 ketemu sama crew yg bertugas semuanya ramah👍 semoga bs ekspansi untuk bikin villa atau yg sejenis dlm satu area taman & restonya❤️ …"
Utik Sumaryani,5,"Tempatnya oke bagus buat merenung dan brsantai,untuk viewnya juga bagus ,untuk pelayanan nya baguss, makasih untuk mas ongkik atas pelayanannya dan dibantu fotokan juga pkoknya ga kapok buat kesini lagi😍 …"
Bayu Prihasto,5,👍 …
Rafaela Caroline,5,"Keren sih tempat ini. Seperti menjual seni yang tinggi. Ada restaurant d dalam nya dan ada taman yang cocok untuk anak2. Dari memberi makan beberapa hewan, memancing, naik kuda, mini playground, dan juga tempat yang menarik untuk spot foto. Semoga pembangunan patung semar cepat selesai,  dan bisa ke sana lagi."
Pras,5,"Restaurant dengan view pegunungan, tempat luas bisa buat rombongan maupun keluarga.
Ada byk permainan indoor buat anak anak dan wahana outdoor mini zoo …"
dewi wulandari,5,"Tempat nya luas,memiliki view yang bagus,ada mini zoo  dan playgroundnya juga cocok untuk kids friendly,untuk rasa makanan enak,untuk pelayanan cepat dan staff yg  ramah.Terimakasih buat kak ongky atas pelayanannya dengan baik🤩 …"
Agus Setiawan,5,Joss
chemistry for us,3,"Tempat bagus, hanya makanan minuman kurang oke dgn harga segitu.
Hal yg sederhana saja masak sih sambal dabu2 kok disamakan dgn sambel matah? Hanya beda di irisan daun jeruk saja??"
Fiqieh Zan Bachtiar Haqie,5,"Spot tujuan baru untuk mengajak buah hati. Ada minizoo, bisa naik kapal kano, naik kuda, ngasih makan domba, rusa, kelinci. Ada beberapa spot yang masih dalam perbaikan. Untuk masukan kamar mandi di dekat spot kotak pasir lebih dijaga kebersihannya."
Agus Wartono,5,"Nilai keseluruhannya bintang lima.

Kalau ada yang mau di-improve lagi mungkin eksekusi menu tertentu yang mungkin …"
Kai,5,Lokasi strategis di pinggir jalan raya Solo - Tawangmangu. Parkiran luas dan berbayar. Tempat ini cocok untuk liburan bersama keluarga maupun berkumpul bersama teman-teman. …
panggilan hidup,5,Tempat nya bagus nyaman
Hafidh Herwinadi Putra,5,"Tempatnya bagus bgt, rapi.
Bersih.
Parkirannya luas.
Menu makannya lengkap."
Yuanita Sigit,5,"Tempatnya luas & bagus enak buat nyantai dan foto2, Cafe bagus, edu park buat anak2 banyak banget hewannya dan permainan anaknya."
josse verra,5,"Tempat nya luas, ada playground nya, ada mini zoo nya banyak ikannya juga, makanan resto enak enak bintang 5🥰🥰 …"
Kantong Catatan,4,Lumayan untuk beristirahat sejenak..
Andhie Wirawan,5,Trio semangat mancing dapat banyak murah happy
pramesti larasati,4,Pelayanan yang di berikan cukup baik dan ramah
refan handono,4,"Suasana oke, untuk makanan biasa saja"
Adhysta Putri,4,"Gak sengaja ke sini karena nyari tempat ngadem, ternyata bikin betah. Area restonya nyaman dan ada mini playground di dalam. Harga lumayan terjangkau, tapi rasanya standar. Sayang servicenya kurang cekatan, perlu ditingkatkan untuk handle …"
Olwan,4,"parkir luas, dari segi fasilitas area playgorund dan mini zoo bagus. belum sempat merasakan makanan restonya karena  sangat disayangkan resto sebesar ini belum bisa menerima pembayaran via qris. harus cash dan konsep bayar resto juga ribet, pake kupon senilai 5000/kupon."
Ryo Juara,5,"Semua komplit tersedia, menu makanan seNusantara ada, playground indoor ada, arena bermain anak bersama satwa juga seru banget, mushola bagus, parkiran luas"
daryo st,5,
Agnes DA,5,"Makanan enak-enak, suasana juga nyaman 👍🏻 …"
johan kurniawan,5,Tempat yang cocok untuk tamasya
Riris rach,5,
Adk Esthi,5,"Ngga mahal kok,,sesuai dengan pelayanan,rasa dan kenyamanan.sangat cocok untuk keluarga,datang disore hari biar ngga terlalu panas."
Mila Savora Qurrota A'yun,5,
linda lindu,2,"Makanan B aja, sedikit menunya mungkin krn temptnya luas jadi repot klo menunya banyak. Banyak menu yg diluar signature resto, spt stand makanan pihak lain, sperti jomplang bgt. …"
Fakhria Itmainati,5,"Bagus banget !! Anak saya puas memancing di sini. Seru banget, makanan juga murah2 , fasilitas dan taman hijau menyejukkan mata dan terawat banget, mushola nyaman 👍👍👍👍👍 semoga kapan2 bisa ke sini lagi …"
Alvito,1,"Kami sudah ke sini 3x, 2x ke sni its okeey.makanan cepat, rasa trgolong okey lah 85, bersih,ramah anak nyaman utk anak maupun batita..pelayanan oke …"
Daffina Pranabella Aswara,5,"bukber di sana dengan harga 55/pax sangat worth it makanan rasanya enak porsi cukup dan pelayanan dan fasilitas bagus, ada photo booth juga"
erna irawati,5,Masyallah indah bgt restonya bersih sejuk pelayanannya ramah cepet bgt  makanan nya enak. Rugi bgt gak sering2 kesini
raffa putra,5,"terimakasih untuk kak birul atas pelayanan yang sangat memuaskan, dan terimakasih untuk semar edupark untuk tempat yang cukup nyaman dan tenang🙏🏻 …"
Rasahka Keanbacot,5,
Yustika Muharastri,5,"Semar Edupark di Yogyakarta merupakan destinasi menarik dan mendidik bagi keluarga, terutama bagi mereka yang memiliki anak. Taman ini menawarkan perpaduan menyenangkan antara pameran interaktif, permainan, dan aktivitas yang mendorong …"
Dwi Rowiyati,5,
E Disti Y,4,Bintang 4 dulu ya karena ke sini weekdays dan nggak semua area bisa dieksplore — jadi ke sini cuma dine in aja sama walking around. …
Rudy S,4,
Irfan Irfan,4,
Mutiara Intan.r.d,5,"Tempat nyaman, sejuk ada mini zoo permainan anak yang menyenangkan"
Bonny Asmara,3,
Andrean Adhi Susanto,5,"Dear Mr. Andrean Adhi Susanto,

Terimakasih telah memilih Semar Edupark sebagai destinasi pilihan Anda. Kami … Lainnya"
sinatriya santoso (deda),5,"tempatnya bagus & aesthetic, pelayanannya ramah&good, makananya enak, pemandangan disini kalau sore bagus banget, aku recommended kalian dateng kesini pas sore!!,"
