nama,rating,isi_review
Hesti Hapsari,5,
MIDAS Yagami,5,
Alberto John Light,5,
Fachri Reza,5,"gratis untuk masuk. ada area kecil untuk parkir mobil, tapi gerbangnya tidak dibuka. Anda bisa melihat banyak sekali formasi batu, bahkan banyak yang memanjang hingga keluar kompleks yang dibatasi pagar. menurut mereka, hal itu diatur sehubungan dengan keyakinan bahwa jiwa pergi ke bukit dan gunung."
Ihwan Shobirin,5,Bisa dibilang bagus dikarenakan sudah diperbaiki dan juga diperbarui
fitri setia,5,
beo Petualang,5,"Tempat sejuk adem, bersih terawat, jalan juga Aspal Mulus deket makam pak Harto"
Kopi Si Ndoro,5,
Tasimin Simin,3,
Rachmad K,4,"Situs cagar budaya wilayah Matesih, tempat bersih terawat &udara yg sejuk, menjadi bukti bahwa kebudayaan wilayah Matesih khususnya di jaman dahulu(pra sejarah/megalitik)yg luar biasa"
Mustaqim Esteka,5,
Sugiyono,5,
Canggih Sastrawan,5,
Kania Aulia,5,bapak penjaga nya ramah
Suwarno Bg,5,
taufik ansari (Ahmad),2,"Watu kandang yang terletak di Kabupaten.  Karanganyar tempat wisata yang menarik untuk di kunjungi "" situs megalitik"
Brehita Prihati Puspita,5,
Reno Budi Santoso,5,
alfin adinata,4,
Febri Prasetyo,5,"Salah satu situs megalitik masa prasejarah di Karanganyar. Situs berada di area persawahan, tepat di pinggir jalan. Di sana terdapat batu-batu besar yang disusun membentuk lingkaran."
Nengah Kusumowardhani,5,
Pupung Evtariana,5,
agus tri,5,
Ahmad Amiiruddien,5,"Betah bgt di sini... Sejuk, nyaman, tenang dan damai
Musim kemarau waktu subuh bisa 8-10°"
Yosua Gongming,5,
JOKO WIDIYANTO,5,
Airin Putri,4,
Rein Na,4,"Peninggalan purba jaman megalitikum, masuk gratis"
Sri Widodo Ari Saputro,5,
Brantas Kahuripan,5,
Irul Thembem,5,
Raymond Valiant,5,"Situs Watu Kandang Matesih terdiri dari pagar batu yaitu kumpulan batu (menhir) yang disusun membentuk formasi gelang yang saling bertautan. Situs ini terletak di Ngasinan, Karangbangun, Matesih, Kabupaten Karanganyar, di kawasan persawahan …"
F Huda,5,
hendri nugroho,3,
Agus Surajiman,5,Benda² bersejarah di Matesih
ruscahyono,5,"Lokasi tepi jalan . .
Terawat dengan baik . ."
Joko Wi,5,
Bayu Setiadi,4,
Wijaya Jati,5,"Situs jaman pra sejarah, cukup terawat,penjaganya ramah, tempatnya bersih,view gunung Lawu."
Puji Galak,5,
Tiyang Jaler,3,
Yt Kajian,5,Kurang minat pengunjung
Syahrul Munir Pahlevi,4,
Tamzis AL Mubaladin Raya,5,
andhi jawa,5,
Vincentius Surya Nugraha,5,
Prihartanto 0022,5,Merupakan salah satu peninggalan era megalitikum
Rachman Syaid,4,
Pohon Tin Solo Official,5,
Alif Hamizan,5,
Erick Lorenza,5,
Heru d'Santos,4,
agung lawu,5,
Erna R-Na,5,
deff januar,5,"Tempatnya asik, dipinggir jalan"
Purwanto 1,5,
Astiya P,5,
Sutarwo Tarwo,4,sangat bagus bersih tempatnya
Liantony Azzuri,4,
D W,5,
Sasa Pitaloka,5,
Yenny Ernawati,5,"Situs watu kandang adalah situs megalitikum di Karanganyar, terletak di kecamatan Matesih..."
Ella rayyan,4,
mimin ceria,3,
Kinderjoy,5,Bisa
Warso Warso,4,
fanfan Official,4,
Tita Septiana,5,"Nyaman,rapi,bersih"
ammir khomarudin,5,"Good , cocok buat edukasi"
Jhony Badak JR,4,"Tempat rapi, buat area bermain anak² juga bisa.."
giyatno,5,"Mudah di jangkau dekat jalan raya matesih-tawangmangu, situs megalitikum matesih"
Magur Mantan Guru,5,Situs peninggalan nenek moyang dari zaman megalitik. Semoga lestari
SOESANTO NURUDIN SUMOKARTO,5,
Wahyu Pamungkas,5,
Yanto Yatmi,5,
Isa Maryati,5,
sadayuki matsuoka,5,"Situs Watu Kandang; Jawa Tengah Kabupaten Karanganyar, Jawa Tengah Dari hasil penelitian dapat disimpulkan bahwa reruntuhan ini merupakan kuburan, desa pembuatnya letaknya relatif tidak jauh dari reruntuhan Watu Kandang, dan faktor …"
Agustina Putri Pratiwi,5,Sangat cantik
Herry Kiswa,5,
Khaerul Huda Nurkholis Nurkholis,5,"Situs WT. Kandang tempat oke viunya dapat apalagi pas pagi hari atau sore hari, bikin kangen!!!"
Fadhli Kurnia,5,
Tlatah Bocah,5,Nenek
Lilik purnomo,4,
Noval Avianto,5,
Agung Hartanto,5,Tempatnya keren
Rizky Ichi (Sayang),3,Bagus
mugosa arwon (MUGOSA),5,
Tika Anggraini,4,
Wardi Gundul,1,
Sugimin 2019,5,
Hery Juni,5,
Muhammad AletheA,5,JasMerah
Akang Shofi,4,
Febrina nurdina,5,Walaupun tempatnya terbatas tapi pemandangannya bagus
Tubing Muslim,4,tempat ya bersih nyaman
Yogas Anunga,1,
wm setiawan,5,Mantap
Rizky Nur Diana,4,
Wahyu Ibenk,5,situs watu kandang
Akhmad Muis Hidayat,5,Luar biasa
Mas Kebon,5,"Tempatnya deket rumahku, peninggalan bersejarah"
Maselawu Wahyuagung,3,Situs sejarah...sayank tdk ada fasilitas pengunjung
Johari Wahyudhi / Joe James Bon,5,"Situs prasejarah yang berada di barat kaki gunung lawu, masuk kawasan Matesih.

Dan di sebelah timur situs ini, ada warung es teler ""Samara"". Saking mantapnya harus antri dulu. Tapi begitu tersaji es teler dan es buahnya, wow segernya."
niko alamsyach,5,"Bersih rumputnya rapi, depanya ada es teler samara enak bgt!!!"
Whybas Tyan,5,
Hermawan Whan,5,
Mas Wasit Agatha,5,
Redstonist PE,4,
Agos Sumarjono,5,Dekat jalan raya mateseh-tawangmangu
Fahmi Nugroho art,5,Mungkin makam / kubur batu.
Mei Yanti,4,"Bagus tempatnya , refresh bangett"
ring ri,5,Dekat watu kandang ada yang jual es teller enak banget
wahyu hd,5,
isnaini widi a,4,lokasi tepat dipinggir jalan dan mudah diakses. tempat yg cocok digunakan untuk menambah wawasan tentang sejarah peninggalan zaman dulu.
Aditya Mahendra Putra,5,Pemandangan syahdu
hartanto tanto,2,
Mas gop,5,Situs Batu Sangkar Matesih
kristiarso seno,5,
Whendy Chips,5,
Edy Mantep Mantep,4,Situs watu kandang merupakan cagar budaya yg berada di kecamatan natesih gaes...  Temoat mudah dijangkau...Terletak dijalan raya Matesih Tawangmangu.....
Sofyan hanafi (SFYNHNFI),4,
Ruliana Putri,4,Gak tau itu wisata apa bukan cuma terletak dipinggir jalan dan selalu digembok gerbangnya bagus sih kalo diliat
Nikolas Dyas Kristian,5,Nyaman
Alamsyah Saputra (Alamsyah),5,"Tempat bersejarah berada d tepi jalan,,,,
Bisa d jadikan tempat istirahat dr perjalanan"
Thomas IPT,5,
Triska Abdee,5,"Tempatnya bagus,syg gk ada fotonya😁 …"
Ketisr Lestari,5,
Djokone Bara,3,
Yogi Sambodo (Arunika Surakarta),4,
Suwarni Azis,4,
Satria Fu,5,Peningalan sejarah harus di jaga
Hasan Shodiq,4,
Febriyanto Adi,5,Bangga dengan MATESIH
Alex Harianto,5,Sip
Dian Spd,5,
praharas _setya,5,
RHODJAX SHANTANA,4,Nyaman untuk keluarga
Denna Pramesti,5,
Galih Setiawan,3,"Bersih & terawat, situs prasejarah zaman megalitik yang berorientasi pada gunung tempat suci dan sudah didaftarkan sebagai situs cagar budaya."
Agung Rudianto,5,Situs bersih
Siti Marfuah,4,
alfi yulianto,5,
Elisabeth Sitanggang,4,Kurang menarik
Anggun Danisha,5,
inggil muktihasmari,5,
Septiara dr,5,
raja wahib,5,
Budi wahyono,5,Salah 1 situs sejarah dikarang anyar
Dafa Gaming,5,Aku pernah rono le
Ritma Filani,5,tempat yang sangat instagramebel untuk mengambil foto yang bagus
Riski Romansyah10,5,
Januari Safitri,5,
Bentoel Bentoel,1,
Primastyo Faris,5,Situs didaerah matesih karanganyar
Hudzaifah Noor,4,Berada di pinggir jalan raya.. situs ini jarang pengunjung. Yang rame.. warung bakso dan mie ayam di sebrang jalan.. enak.
ricky dwi,3,
Daryanto Dar,2,
anis safitri,3,
Didik_ Yusuf,4,Jgn lupa mampir makn disini murah meriah
Dika Setiawan,5,
Koco Fangoestu,4,
Damartejo tejo,5,situs purbakala.. tempat main saya  dulu waktu masih SD sekarang di rawat sama pemkab kra.. makin bagus dan terjaga kebersihan nya..
yunita anggra,4,"Situs purbakala, tempatnya terawat, bersih"
Billal Square,5,
Danur Kinalis,5,
Gunadi Ibnu sutopo,3,Situs yg menarik...tapi kurang perhatian dari pemerintah...😥😥 …
Rendy Setiawan,3,
Abdulloh Rosyidi,5,Ada umat manusia bertahun-tahun yang lalu di sini
Setyanto Nelvansyah,3,Bagus
Sih Maryono,5,
Lukman Huda,5,Instagrameble
Devi Indriastuti,4,
abang sayur,3,
minarno minarno,5,
ARI KRISTONO,5,
Dwi Wiyono,5,Lestarikan.
Wahyu Setiawan,3,
