nama,rating,isi_review
Putri Agustia,5,
Junedi Prastyo,5,
Amalia Nofitasari,1,"Untuk makanan, di list menu 10rb giliran bayar 15rb
Untuk kolam, kebanyakan kaporit, sampe berbusa, pdhl bahaya juga buat anak anak
Untuk pemandangan nggak bisa dipungkiri, emang cakep poll …"
initeh botol,4,Lokasinya ada diatas bukit jadi naik nya jalan kaki kalo pake mobil kalo motor bisa naik tapi curam tiket masuk 10k per orang sama parkir 2k kalo mau renang bayar lagi 10k disana ada makanannya juga mau snack atau minuman
Hadi Nor Rohman,5,Luar Biasa
Hanung Surya Saputra,5,
Yanuar Bukhori,4,"Tiket Masuk 10K / Orang | 3K / Motor | Rekomen Untuk Dikunjungi, View Alam & Ada Kolam Renang, Macam Makanan & Minuman | Minus Kurang Terawat"
フォーザン エコ ラクソノ,4,
Maria Sulis79,5,
Rifai Achmad Anshari,5,Instagram saya @rifaiachmadanshari
Barap Hadi,5,
dedi anggoro,5,
Andy Sukmawan,5,
nazmu zaqib,5,
Braman Tyo,5,Mengaayikkan.  Sangat recomendet buat liburan akhir tahun
Farhan Shidqi M,5,"Wisata yang sangat amat luar biasa pemandangannya!
Ga siasia dari jakarta kesini!
Tiket masuk kolam cuma 10k …"
Febrianto Eka Prastyo,5,
Atman,5,
Noris Diana Lusferiyanti,5,"Kesana pas weekday, berasa milik pribadi. Meskipun agak sembunyi, i recommend u all to go here"
Rina Aprisa,1,Sangat terkesan....bagus tempatnya...akses jln masuk sempat dibuat susah oleh mbah gogel
Toefa 111,5,
/rief,5,"Capek,tanpa ojeg..tp istimewa.adem.sejuk."
Kang Tarso,5,
Coach Erwin,5,Keren
A Zainudin S,5,"Asri, sejuk, nyaman suasana alam nya ..bisa camping jg disini, alat2 camp dah disedian kok ..."
Rahmat Tri Priharyadi,5,
wahyudi wahyudi,5,Sayangya untuk playing fox dah gak fungsi
Sigit Wibisono,5,
nur ardhi,4,
Mala Azizah0610,5,"Baru pertama kali kesini,dan blum tahu ini tempat wisata apa.
Ternyata diatas ada kolam renang nya Kayak di vila. Cakep pemandangan nya. Ada Pohon jeruk juga yang berubah lebat. …"
sugeng samodra,4,
Mohammad Pratama Ardyansyah,5,"Tempat bersih, tapi ada beberapa bagian kurang terawat, kolam nya bersih air nya seger, tanpa kaporit. Ada jaringan wifi menu nya juga cukup terjangkau, sayang sekali sekarang jadi sepi karena efek pandemi dan tempat wisata lain yg lebih tenar"
Eddy rhedap,5,Mantap kolam renang diatas bukit
Music Project WONOGIRI,4,
Rayhan AP,4,"suasananya bintang 5 pokonya, cuma jalannya juga lumayan nanjaknya pastiin motor fit. akses jalan jg beragam aspal beton jadi mayan aman. kolam renang tidak sebesar yg dikira tapi ya still worth it dgn view gunungnya …"
Parwianto Menggolo,5,
Rio Borsalino1,4,
D v n o z y,3,
Sri niati,5,"Suasana bagus,nyaman untuk berenang"
Ciu Boedi,4,"Suasana pegunungan lereng Lawu sebelah Selatan dg infinity pool nya yg sangat menawan... Sistem tiket berlapis... 10K utk masuk area dan 10K utk renang... Parkir mobil 5K Motor 3K... Masih terjangkau... Kl pas musim jeruk, bisa panen metik sendiri... Mantab.."
fredy ass,4,tempat yang keren 👍🏻 …
Adi Nugroho,4,
jefri andianto,4,
shintya kusumo,4,
Ningrum SW,3,
Agus Sulis tiyono,4,"Adem adem, cocok untuk keluarga.."
Julius Handoko,5,Mas Asep... Mantab. Lanjutkan Gass Polll
Devandra Danish,4,
Aldi 85,5,"Kolam renang dengan view negeri diatas awan kece abis pokoknya, suasana tenang, syahdu, alami banget, bikin nagih yakin"
