nama,rating,isi_review
arif bachrudin,4,Perlu penambahan tempat sampah terutama yang dekat dengan area penjual makanan/minuman sehingga pengunjung tidak buang sampah sembarangan
tyaz jelek,5,
Politik Indonesia,5,
Rina SKP,3,
wisnu murti,5,
chardy geyoung,5,
Prakoso Hendro,5,"Mantap juga untuk wisata keluarga.. walau tidak sebesar KBS, Jatim Park 2"
Wahyu Bintoro,1,"Pertama kali masuk udh dapat pengalaman ga enak dari satpam depan pintu masuk. Orang pada masuk dia duduk mainan hp, setelah muter depan lobby ternyta parkir full, ga diinfo ps mau masuk. Ke arah keluar dia malah diem aja melotot, ditanya …"
Dewi Wahyuni,4,"Ga boleh bawa makan/minum, di dalam harga air mineral nya 3x lipaat dr harga normal. Mau ngasih makan hewan harganya bikin menangis dan cashles ya. Tempatnya luas JD kalau mau jalan kaki harus siapin fisiik dlu. Hehe"
muhammad edi Arifian,4,"Sayangnya parkirnya jauh dibekas gedung tua, takut mobil kejatuhan atap... tapi ada mobil antar jemput dr parkiran ke pintu masuk... dilarang bawa minum/makanan botol plastik/kemasan plastik tapi didalam jualannya minuman kemasan plastik... untuk hewan cukup lengkap variannya tapi per spesies jumlahnya 1-2 ekor..."
Elsa Eriani,5,"Aksesnya mudah, kebun binatangnya bersih, good service, staf ramah dan informatif, binatangnya terlihat sehat, banyak stand makanan. Hanya saja sedikit pricey 😄 …"
Amellya HD,5,"Anak anak pada suka apalagi ketemu Tour guide nya Mba Dinda, friendly banget kalau sama anak2 sampe sampe pada gamau udahan sama tante dinda bilangnya 🤍 …"
Abdurrohman Dwi prasetya,3,"Dengan harga softfile foto 180K ga wort it
Dengan makanan kentang goreng 60K juga kemahalan"
AHSAN HENDRA,3,
Dhany Prasetya (Dhany Prasetya),5,
M Ajiatma S,5,"Terimakasih Dinda Golf Car sudah memandu👌👌
Penjelasan enak, ramah, bestt👍 …"
Kartika Kurniasari,1,
Septiyan Dwi Suryana Putra,5,"Salah satu destinasi wisata yang harus dikunjungi kalo ke Solo.

Kid's friendly.. Buat yang bawa anak bayi, bisa banget minjem stroller dari …"
Afifah Rizki,5,"sudah lebih bagus dari sebelum aku kesini, luas bgt tp kebantu sama kereta2an kalo capek"
Ady Krnwn,5,
Noviana Dian Utami,5,
Dhictaria Ratna,4,
Fandi Artiawan,4,
prihanggono ridwhan (Cecak Ngungal Cagak),1,Harua banyak berbenah dengan tiket lumayan mahal dan serba bayar.
Feri Nugroho,3,"Tempatnya bagus buat liburan bareng anak2,satwa yang lumayan lengkap dengan di tambahkan wahaya Playground juga semakin menambah betah di sana,tapi di beberapa titik sangat di sayangkan karena masih terlalu panas jadi di samping kasihan buat satwanya juga pengunjung kurang nyaman di area tersebut"
Lutfi Chakim,5,"Tempat bagus, cocok untuk anak²
Di sini juga di sediakan stroller cukup dengan jaminan ktp,, pegawai  ramah²"
ummi yanti,3,Drpd thn kmrn sdh lumayan tambah binatang nya... Cuma peraturan nya yg ga sesuai dg keadaan... Dilarang bawa mkn minum dr luar tapi foodcourt yg di dlm banyak yg tutup... Apalagi bawa rombongan bnyk sampe 9 bus pd haus lapar ga banyak pilihan makanan krn bnyk yg tutup
Imam Bachtiar,1,"tidak terlalu berkesan, jumlah hewan sedikit. di dalam kaca segede gaban hewan cuma satu sampai nyari2 mana sih hewan nya. buggy car harus bayar, gak boleh bawa makan minum dari luar, kasih makan hewan bayar, toilet bayar. Kasihan hewan nya cuma satu2 ga dikasih pasangan, kesepian dah tuh hewan 😭 …"
Indra Wiratama,5,
Vitry Hastuti,5,Cocok untuk sarapan pagi dan malam nasi goreng
Adinda Difa,2,"Zoo nya panas jalannya jauh, dikit2 bayar buat kasih makan hewan 25rb per hewan dan kalau minta foto dengan binatang bayar lagi. Kesini kita dilarang bawa minuman. Karna didalam ada yg jualan minuman ,karyawannya sendiri.. dan itu amat …"
bunda nuning,5,"Ke solo safari sore buat jogging.. asik, seru, pemandangan bagus, toilet bersih...."
erwin fahida,5,
dragon igneel,5,
Dahar Chanel,1,Bok tiket masuk ki d sesuakke karo umre. Ragunan wae seng UMR duwur tiket lo r angntik smono
melva martua hutauruk,3,"Hewannya sedikit, sudah pesan tiket online namun tetap antri, atraksi dan fasilitas kurang banyak seoerti di safari bogor"
Rizki Auliandra,5,happy bgt disini ! sampe anakku minta ke sini lagi! terima kasih Solo Safariiii sukses selalu yaaa!
Wahyudi Pramono,3,Untuk ibu hamil recommended ndak ya??
rian fahrian,4,
Tony Saputro,2,Sayang banget ada yg cuma patung hewan2nya
Adrian Chris Nugroho,5,"Makan siang di makunde bistro, pelayanannya baik terutama mbak Ema yg sudah banyak membantu saya dan memberikan banyak informasi terkait hewan dan jadwal show. Semoga diperbanyak fasilitas bermain anak, goodjob💯 …"
Joe Fugie,5,"Mantap,buat liburan dan ediukasi anak² sekolah,pokoke jossss,kecewa klo ke solo tidak mampir Solo Safari"
Eko Subagiyo,5,
minkanhito,5,
Architect Idea,5,Wisata keluarga
Nathasya Himawati,1,"Jujur kecewa bgt karna diweb sebenrnya ga ada tulisan reschedule sy jg tau ga boleh refund tp ayolah utamain kenyamaan customer jogja aja bisa, jauh² karna hujan minta reschedule ga bole, padahal udah ditanyain alesan apa happy bgt diawal …"
Rudy 3 siswanto,4,
Samuel Krishna,5,
adawi yah,5,
Amsal Islah muhammad,5,Lumayan ok
yohan parulian,5,
Agung Firman,4,
Maria Maryam,1,"Bagi yg belum pernah ke kebun binatang mungkin akan bilang bagus. Tapi bagi sy yg sudah pernah ke jatim park malang, maka solo safari ini jauhhhh banget dari kata bagus. tempat ini sepertinya bisnis yg diutamakan bukan kepuasan pengunjung. …"
Alwi Candra,3,
Mustofa ajha,5,
Vebby Kirana Putri,1,"Bener2 jauh dari ekspektasi “safari”, ini lebih seperti mini zoo, hewan terbatas, tiket premium dan biasa ga ada beda nya, tidak ada parkiran, antri foto dg satwa berbayar oke gapapaa, tapi ini sudah bayar sudah antri dan karena waktunya …"
Henry Ardian Nurways,3,"Lumayan untuk mengisi waktu selama di Solo,,untuk menambah pengetahuan tentang satwa juga,,cocok untuk anak2 dan dewasa..."
wahyu azhima,4,"Koleksi hewannya tidak banyak. Ada gajah, singa, harimau, wallaby dll. Untuk singa hanya dinikmati melalui restoran. Cuacanya terik dan panas, padahal pagi jam 10an. Animal show-nya kurang banyak. Lahannya lumayan luas, cuma karena koleksi …"
Ika Hanif Rahmawati,5,
Hendry Wicaksono,5,
drgagnestania 1,1,"Cukup sekali kesini…
1. Jam untuk pertunjukan berbeda seperti yg tertera
2. Premium nunggu mobil jemputan petugas tidak sesuai antrian dan juga tidak …"
Dian Marliaty,4,"Beli tiket premium demi buggy car setelah selesai jalan keliling buat ke pintu keluar, ternyata shelternya penuh antrian. Ada beberapa baggy car yang terparkir tidak dioperasikan (mungkin rusak). Tempat tunggu tidak ada atap, jadi masalah …"
In Yourdream,5,
Novianda Bayu H.,5,Keren
Indriana Karistiawati,1,Sangat mengecewakan fasilitas yang diberikan untuk premium tiket tidak sesuai. Buddy yang disediakan tidak sebanding dengan kapasitas pengunjung yang datang. Seharusnya lebih diperbanyak lagi. Sama petugasnya suruh kasih rating jelek aja katanya biar ditambah ini ada fotonya
Rizqi Prasetyo,2,"BOSOK.!!
Pesan tiket online sampai sana antri panjagan..
Masuk foto binatang bayar hedehh..

Truss tiket premium.. skali mau balik pakai bekii antri panjgangg pdhl bnyak mobil mganggur.. gk recomend bangett.
Bnyk anak"" pada nanggis,. SPV ya bosok tdk paham kondisii hari libur, atau hari bisa 👎🏻"
Frisca Kirana,1,"percuma beli tiket premium online, udah antri nuker ticketnyaa naik bugge buat baliknya juga antri sudah tau kalau PH atau long weekend banyak pengunjung kenapa tidak disediakan lebih, buat balik aja harus nunggu 20 menit, ngapain beli ticket premium kalau apa2nya masih nunggu, tidak disediakan solusi cuma suruh nunggu dan nunggu"
Aziz Abdul,1,Semntra bintang 1 dulu
alvina witono,5,
MULJONO TJONG,3,
sudarso darso,4,Sangat bagus untuk edukasi
Kang SOL,5,"Bagus,tempatnya bersih,petugasnya ramah"
Probo Kusumo,5,
Doppy Andika,2,"Tahun lalu bagus dan recommended, namun sekarang saat dikunjungi;
1. Beberapa hewan kosong
2. Singa nya seperti kurang terurus …"
NADIA CITRA,5,"Harga tiket masuk gak bisa disebut murah ya, tapi mayanlah. Tempatnya overall nyaman dan bersih. Antrian tiket cukup panjang krn long weeked, tapi ada mesin qris utk beli tiket tanpa antri. Hampir semua petugas ramah dan komunikatif. Paling …"
Ika Yuli Ayuningrum,5,"Kesini di jam khusus jogging, kalau masuk PDA jam jogging sarankan mengenakan outfit berolahraga 🏃🏻 hewan-hewan sudah masuk kandang jika berkunjung pada jam ini 🦖 …"
Erni Purwanti,5,"Kesini lagi karena anak mau ikut lomba mewarnai
Dengan harga tiket masum mewarnai 83 rb dpt minyak telon n susu. Harga lebih murah dibandingkan tiket reguler saat weekend …"
No Suko,5,Senang
Fernanda Saputra,5,
Titis Septiyana,4,
Danang Bagus,5,
Muhammad Aris Setiawan,5,
Anggan S,4,
Teguh Sugiyanto,4,"Bagus ajak keluarga kesini wisata edukasi fauna yang baik, lebih baik datang pagi kalau siang panas"
ERNA KUSUMA,1,Sales kurang komunikatif..bawa rombongan ditempat lain pasti ada cash back disini sama sekali tidak kasir jutek jajanan raumum larange hewan juga blm banyak wahana Yo ora okeh bnget OPO OPO bayar... sepertinya cukup sekali bawa murid2ku …
Yula Kuswindra,5,Wahana edukasi yang bagus👍👍 …
iam jedir,5,
Legsa Maupasha,3,
Imam Suhadak,5,
panji prasetyo,1,"Parkir motor nya tolong jadi perhatian, karcis tertulis 3000, tapi nyatanya ditarik 5000. Bukan selisih 2000 nya, tapi kalo ini dibiarin terus bisa kayak KBS Surabaya, bisa sampe 50.000 liar nya, bakal saya komen terus dengan akun baru dan bintang 1 terus kalo gk ada perubahanya, terimakasih."
Youanita Shelfia Devy,1,"Pelayanan sangat buruk, kami sudah mematuhi peraturan  tidak membawa makanan dari luar, tapi ketika pesan di sana datangnya makanan telat hingga lebih dari jam 12.00, sehingga kami yang membawa anak2 TK anaknya sudah pada kecapekan dan …"
Dradjad Uripno,4,Posko start touring
Tuti Handayani,5,"Luar biasa, teruslah berkarya"
Pandu Satria,5,
Rizki Tri Satio,5,"Kebun Binatang dengan konsep yang lebih modern, bersih, nyaman, anak senang"
aiu wulan,2,Agak jauh dari ekspektasi. Dengan mengusung nama safari menurut saya setidaknya seperti safari tongkat. Namun angka ini masih jauh di bawahnya. Maafkan saya Pak Gibran..
Fairuz Firda,3,"Terlalu mahal dalam segala hal, di dalam banyak tambahan bayar2."
sri untoro,5,
Gatot Jiwandono,5,
Ria Husni Rahmasari,4,"Tempat nyaman, hewan juga banyak disana"
reni rahayud,5,"Lumayan untuk piknik anak-anak, bermain sambil belajar,
Tempat nya lumayan luas, dibagi menjadi bbrp section,
Kalau ke sini jangan lupa bawa topi atau payung, karena panas, …"
Sholikul Anwar,2,"Untuk harga yang relatif agak mahal dan juga koleksi hewan yang tidak banyak, saya fikir lebih baik yang dikota sebelah 🙏 …"
NAGARI PADHA JAYA,3,"Sekedar saran, buat yang dompetnya pas2an, kalo mau kesini usahakan perut mesti kenyang dulu, soalnya harga makanan di dalam lumayan mahal menurut saya.
Beli pop mie mateng @25K …"
imam rochanif,5,keren
Nova Aryanto,5,"Safari Run, seru nih sore bisa joging atau jalan2, malam nya bisa ntn show ada atraksi dan interaksi sama binatang"
pancur agung jaya,5,"• Seperti kebun binatang pada umum nya
• Tempat lumayan luas tapi masih bisa keliling pakai kaki, klo pakai kendaraan berbayar …"
Biro travel Haji & umroh Nina Tri Arifah,5,
Haryo Novantoro,5,
Ahmad Riyanto,5,
Dwi Indra Nugroho -,5,
Hazimah bella Yunida,2,"mohon maaf sebelumnya, jujur untuk sekelas safari hewanya sedikit, apa lagi tadi saya kesana harimau singa lg ga di buka, dengan harga 75 rb menurut ku ga wort it ya,, pikir"" dulu kalau mau kesana,"
Dinar Adityas,5,
Arjam Daily Channel,5,
Su Leman,5,
leo andu,3,taman aneka maega satwa di surakarta
Irma Mia,5,Suka tempatnya bagus binatang cukup lengkap dan bisa terlihat jelas
Shofi Nisak,5,"Tiket masuk Rp. 55.000,- per orang dewasa
Parkir mobil gratis
Peminjaman stroller gratis
Tempat bersih
Toilet bersih Rp. 3.000,-
Petugas ramah
Ada pertunjukan hewan di jam2 tertentu"
Umik Sukaisah,3,Tidak begitu luas dan harga mahal untuk wisatawan lokal seperti sy
Iffa Ahmad,5,
Bu_ani Rakhma,5,
Furi Handayani,5,
Irawanti Indramaya putri,5,
Banu Banu,5,
kirito SAO,1,Tidak recomended..JAUH kalo dibandingakan dengan gembiraloka.. tidak ada fasilitas gratis didalam.. hanya sekedar foto bersama dengan hewan menggunakan hp sendiri gk bisa.. …
Tito Sukma,5,
Aura,1,
hadia saputra,5,
Arfan Santoso,5,Sangat recomended untuk liburan bersama keluarga
Berlian Aquatic,5,Bagus
Mu Sa,3,"Bagus bersih tempatnya. Lumayan luas. Sangat melelahkan untuk anak2 & dilarang bawa minuman bahkan air mineral. Banyak botol air mineral & tumbler ditinggal didepan loket.
Jadi pikir2 buat datang lagi."
arjuna libra,3,"Biasa saja membaik dari yg dulu cuma tidak terlalu signifikan, tiket mahal"
seko kaltias,5,"Terbaik terbersih pelayannya ramah ramah, terasa kearifan lokalnya"
clone pertamax,5,Sejuk dan relatif tenang
Evi Zunatul,1,"Tidak worth it sama sekali.. vasilitas kurang , makanan yg dijual didalam mahal mahal."
Indra Ardiansyah,1,"Gak rekomend sama sekali . . Makanan dan minumnya mahal"" semua vasilitas kurang oke"
edy_sta Berbagi,4,
Atos Antok,5,
yatna 008,3,"Management pengeola sih bagus ya, hanya saja tidak sebanding dengan obyeknya. Obyeknya tidak begitu menarik, binatangnya cenderung tidak sehat. dan sepanjang trek puanas. Coba ada pepohonan sepanjang trek.  Menurut saya tidak sebanding tiket masuk ."
Aprilia Rahardianti,5,Suka sama toilet nya terawat dengan baik...terus juga dapat wahana juga ada yg bayar tapi gpp yg penting bersih n wangi...saran sih ada sepeda listrik atau persewaan gt kasian org tua kalau jalan☺️
Khumdatul Ni'mah,5,
Indra Ari,5,
Reina Kazaka,5,
Abdul Azis Dominggo,4,
yoyon garuda,1,"Tiket mahal
Makanan di dalam mahal
Satwa kelihatan kurang banyak karena mungkin saking besarnya area (mungkin) …"
kokoari kakakiki,4,
Mang Iding,5,
ASMORO DJIWO,5,"Pesan lewat online tamansafari.com untuk 3 pax untuk akhir pekan after lebaran. Bisa guna kendaraan pribadi, online byk akses kesini. Ada penitipan tas/brg berupa loker 10-15rb d pintu masuk. Disarankan untuk tidak membawa makanan/minuman …"
Djafar Djafar,5,
Adhy Sucipto,3,
Si Similikiti,1,"Dari Semarang ke solo niatnya mau wisata ke solo safari, ternyata salah beli tiket dapatnya yg sore...
Mau Refund trus ganti tiket yang lain ga bisa.. …"
Incho Fitrianamaharsi,1,"Kalau menurut sy yg asli warga solo kurang rekomen,
Hewannya sedikit,semua wahana berbayar, toilet berbayar (air ada yg mati), tempatnya kesannya kering.. …"
Win Wiwin,5,"Objek wisata yang menjadi salah satu ikon kota Surakarta atau Solo. Secara umum masyarakat menyebutnya Taman Jurug Solo. Wisata kebun binatang, alam, taman, pepohonan yang rindang teduh, aneka kuliner, dan disuguhi hiburan, pemandangan …"
Muji Pak'e Rayyan,5,
Diana Puspita,5,
Parno Haki,5,50 jam Solo Safari akan tutup
Zahara Amalia,4,"Kalau memang cari kebun binatang better langsung ke Yogya, Surabaya, atau Jatimpark 2 aja.
Masuk kena tiket 60.000/org, sewa stroller bayi gratis tinggal KTP. …"
hilman nurhaiman,5,"Lari sore di solo Safari, seruuuu"
Yanto Suyanto,5,
Veri Ariyaningsih,5,
Ririn Pujiastuti,5,
Intan Bunga,3,"Kurang worth it
Setiap wahana harus bayar lagi

Kelebihannya, rindang. Banyak pohon. Hewannya lumayan"
nidia winola,5,"Happy karena luas,service ok. Hewan2nya juga bergerak aktif. Bukan yang cuma tidur. Area juga bersih."
Arief Budiyanto,5,"Bagus untuk wisata keluarga & ramah staffnya,
jika tidak ingin capek setelah keliling area, lebih baik ambil tiket premium agar dapat free buggy Car. …"
saurus YT,5,
DICKY ARDIANSYAH,5,
Dewi Sintia Reka,5,"Kecil tapi punya binatang yang beragam, bagus untuk anak belajar hal baru 💕 …"
Antin Irsanti,5,Binatangnya lumayan banyak sekarang.. Worth it banget buat ngajak anak healing
Allysa Febrina,5,Walaupun masih agak panas karna blm terlalu rindang Tp oke lah tmpat nya bagus
Eni Utami,4,
Yudhanggoro Danarto,5,"Tempat sudah banyak perubahan dari yang dahulu,,bersih dan tertata untuk koleksi binatang sepertinya masih kurang.
Tempat parkir luas dan nyaman."
Arfan Family,5,
Fitri Margaretha Malau,5,"Happpii bisa liburan, hamya aja menurut saya untuk  wahana agak mahal... 😁

Smoga makin di tingkatkan lg …"
ilmi difna yurinda rochma,5,
Anjar Wani Puspita Sari,5,"seru banget hari ini liburan di solo safari,next time bakal kesini lagiiii🫶 …"
Ary Zandy,5,"Tempatnya luas, rindang, banyak sekali hewan dan atraksi. Makunde Restoran: makanan juga enak, toilet bersih, mushola tersedia. Playground buat anak juga ada."
ini ini,5,
Asya Channel,5,
Rusmanto Adi Purnama,5,"The one and only destinasi wisata TERBAIK di kota Solo!

Tempatnya modern, bersih dan banyak spot foto yang sangat instagramable di sini. …"
bagas wicaksono,5,"Tempat wisata yang bagus, disability friendly dan kids friendly, tidak boleh bawa makanan dari luar tp ada resto dan banyak stand2 makanan di dalam,
Cukup puas dan pelayanannya ramah 👍 …"
Muhammad Fatih,5,Banyak spot bagus untuk foto....
priptanto hariyatmoko hari,5,Petugas nya ramah ramah
Rheka Ayu wulandari,5,
andree,5,
Daniel Kristiawan,5,
anggi puji,5,Tempat yang bagus untuk berkunjung bersama keluarga 🙌 …
Yofi Ristiaprilita,5,"Seru banget sih solo safari sekarang udah lebih baik, kita juga lebih dekat sama satwa
Bisa betah berlama lama karna banyak spot yang bagus buat foto dan bersantuy kawan"
Bima Mansur,5,josjis pokoknya
Silvana Amelia,5,
alfian alfia,5,
Duhita Adwitya,5,
Novi Maharani,1,
Mardilah Mardilah,1,
Dede Ahmad,5,
Feni Putri,5,Kebun binatang ini menawarkan pengalaman edukasi yang sangat baik bagi anak-anak dan orangtua. Pengunjung dapat melihat berbagai jenis hewan dan belajar tentang habitat dan perilaku mereka. Dapat berinteraksi langsung dengan hewan dan …
intan pandini,5,
k,1,
Jeri Pratama,5,
Black Kebab,5,Taman Satwa Taru Jurug Surakarta ( TSTJ ) pada awalnya merupakan pindahan kebun binatang sriwedari yang lebih dikenal dengan sebutan “Kebun Raja“ didirikan Sri Susuhunan Pakubuwana X pada tanggal 20 Dal 1381 atau tanggal 17 Juli 1901 dan …
vixion trav,4,Jumlah pengunjung tidak terlalalu ramai walaupun hr libur..hewan n wahana masih sedikit...jadi sebentar saja udah selese jalan2nya...
Ngudi Karang Mulyo,1,
syifaa lizi,1,
driya A,5,
Wie Xsist,5,"Rate 9/10 utk all in dalam solo safari yang ditawarkan kepada pengunjung. Sedikit minusnya hanya di beberapa titik ada toilet yang justru berbayar, sedangkan bukankah toilet merupakan fasum yang wajib tersedia secara cuma""? Maaf, bukan masalah nominalnya. Hanya mengutarakan opini utk rasa kurang nyaman 😊🙏 …"
Wisnu Purnomo,5,"Bagus, sayangnya toilet masih berbayar, hewan2nya lumayan lenglap, mushola bersih, resto nyaman, ditambah fasilitas lagi akan lebih baik lagi"
Rizki Oryza,5,"Dateng kesini pas long weekend + siang2 = ruameeee dan super hot 🤣 harus ready bawa payung/topi. Parkir mobil bisa didalam bisa di luar, kalo diluar 10rb. Kemarin beli tiket yg reguler di mesin tiketing bayar pakek QRIS beres tanpa antri. …"
Firdaus Binawan,5,Kebun binatang yang bagus
cemumuk,1,"plis harga masuk weekend 75 rb tp semua diuangkan😭😭 cuma mau fotoo ajaa bener bener semua diuangkan😫 mana hewan dikit, makanan mahal. aktrasinya cumaa kek perkenalan aja 😭 lainn kaliii kalo mau foto2 jgn semua diuang kan. …"
novita indri,1,"BOIKOT TAMAN SAFARI !!! Masih satu manajemen sama taman safari guys, ownernya sama 3 bersaudara yg biadab frans, jansen, sama tony !!"
Randy Nurany,3,"PETUGAS TICKETING mohon di briefing atau di coaching lagi ya..
Td nanya tiket yg reguler sama premium bedanya apa, di jawab cm beda premium di anter mobil golf pas pulang ke pintu exit jarak 600mtrAn.. …"
Sutarjo Jojo,4,
Iwan Fah,4,
tris sutrisno,3,"Kurang asri,penghijauan nya MSI kurang .
Hewan2 nya jg kurang bnyak"
Dara Revalinna,5,
Roki Krismasdiyono,4,
Nicko Surya,4,"[Sabtu, 1 Maret 2025] Datang ke sini momen bulan puasa di waktu weekend kondisinya sepi untuk kelas kebun binatang di hari sabtu. Koleksi hewannya cukup banyak dan ada berbagai jenis. Ada pertunjukan hewan di jam tertentu dan menurut saya …"
heri setiyono,5,
Erfan Yogantara,3,Semoga saja toilet itu BAYAR SEIKHLASNYA /GRATIS oke brother
ratna nana,2,"Jauuuhhh bgt kalo mau disamaain sama prigen,padahal tiketnya beda dikit. Hewan dikit,pricey masuknya"
erwin pramono,4,
Sidik Nur Rachman,1,
Rila Rahma Apriani,3,"Kesini lagi setelah 3 tahun yang lalu, berubah dari Solo Zoo menjadi Solo Safari. Penataan lebih bagus, fasilitas lebih lengkap, dan lebih terawat. Sayangnya harga menjadi jauh lebih tinggi dan overprice! …"
Achmad Faisal,5,
Dista,1,
Friska Yani,4,Bagus rapih. Tapi tolong harga makanan dan minuman yang wajar
prwr mk,5,"Tempatnya bersih.
Binatangnya sehat2 dan aktif.
Tour Guide dan Zookeeper ramah dan informatif."
