nama,rating,isi_review
Josh Gorbachev,4,"Cukup nyaman buat para penumpang menunggu kereta keberangkatan maupun menjemput kerabat yg datang. Bnyk tersedia tempat duduk dgn suasana nyaman. Parking area luas. Pelayanan crew KAI patut diacungi jempol, terutama personal kebersihannya. …"
Kaka Aji,5,Stasiun yang menyenangkan dan bisa melihat kereta uap
Masitoh Masitoh,2,
Nazwa Kh,5,Cukup rapih dan bersih kondisi stasiunnya
wardi ok,5,"Stasiun lumayan rame, bersih dan nyaman,"
Arif Puji Laksono,5,"Tempat bersih, tempat nyaman untuk menunggu kereta"
Adenia Solehati,2,Apa bener ya kalo parkir motor dari jam 12 siang sampe jam 3 di hari setelahnya kena biaya 25.000? Karna cek di gogle max hanya 15.000 untuk motor .. kejadian tanggal 2 Mei 2025
Syaiful Akhyar Laitupa,5,Bersih dan keren
Muhammad Dzaky,5,Kak mau tanya apakah ada informasi PKL di stasiun Purwosari bulan November 2025?
hapsah farida,5,
Pitoet Noegroho,5,"Stasiun ini berubah banyak setelah sekian lama tdk ke solo via kereta. Jauh lebih bersih dan rapi serta teratur. Ada indomaret di bagian dalam stasiun.
Kamar mandi umumnya bersih …"
Rahmad Aja,5,"Ruang tunggu luas, toilet bersih dan kering, pelayanan cepat dan ramah, tempat parkir luas....dll"
Indra Pradana Simanjuntak,5,Stasiun yang tepat berada di Tengah Kota Solo
Ali Achmad,4,"selalu turun di sini kalau main ke Solo. lokasinya di pusat kota, mudah kalau mau kemana-mana. kalau naik KRL di sini, harus sabar dan mau rebutan karena banyak orang yang naik dari sini juga. agak membingungkan kalau baru pertama kali ke …"
Risjiwanto,5,"Tempatnya kecil mudah dijangkau, ruang tunggu luas"
ariyanti wibisono,3,Sering lihat sedang direnovasi tetapi bocor disani sini saat hujan tidak pernah teratasi...semoga segera ditemukan solusi agar penumpang nyaman dan aman saat berada di stasiun purwosari
sa sim,5,
Reyhan Nugraha,5,KRD MCW 302 ( Nippon Sharyo Seizo Kaisha) rute Purwosari - Wonogiri
ahmad thoric,5,"Purwosari tempo dulu emang penuh kenangan.. ada Robinson, ada DapurSolo, ada Omah Nyoklat yg tempat makan kaya panggung… syahdu banyak tanaman, rindang, tapi maceeet paraah kalo ada kereta lewat… yaa purwosari dulu emang mempesona, tapi …"
Younie Winanto,5,Luas bersih parkir tertata rapi. Nyaman suasananya.
Muhammad Zeeshan,5,Bagus
Girindra&Frisca Indra,5,Suasana nyaman tempat duduk banyak
Marsudi Jk,5,"Ruang tunggu luas, rapi, bersih, nyaman"
sari indar,5,"Stasiunnya bersih, luas, nyaman"
Muhamad Dwijanto,5,
Nurman Riyadi Rahman,5,"Stasiunnya bagus dan lokasinya dekat dengan fly over di jantung Kota Solo. KRL nya tidak ada setiap saat, bukan seperti KRL di Jabodetabek, jadi pantau jadwalnya di aplikasi KRL Access."
Dendrid Setiyanti,1,"Baru hari ini naik Kereta dari Sta. Purwosari. 1jam sdh menunggu tiba waktunya kereta berangkat di minta untuk masuk oleh petugas, tiba2 dengan entengnya petugas bilang ada keterlambatan 1jam.... Lah kenapa sebelum menginformasikan …"
Adam Yogiansyah,5,
Adji Pratama Putra,5,
Rizal Septyan,5,"Sejak ada flyover purwosari harus muter-muter dulu kalau mau kesini, lebih baik naik KRL dari solo balapan"
13 Laksana Dimas,5,"Ruang tunggu sangat nyaman, terdapat banyak tempat duduk di ruang tunggu, hanya saja untuk pengecekan tiket terbatas 2 orang saja dan tidak ada portal face recognition, jadi kalau ini musim mudik bisa lumayan antri panjang sih, belum lagi …"
Yohana Marsela Dali,5,
Muhamad Fikri,5,
