nama,rating,isi_review
SR Pancawati,5,"Camping semalam di Tahura, bersama komunitas Bolone Sabagiri.

Fasilitas, bagus, bersih, terawat. Sarana lengkap, listrik, air, tempat ibadah …"
yusuf aulia rahman,5,
Danazva Danazva,5,
Viar Rachmat Adhitama,5,
Ratih Handayani,5,Tempatnya nyaman sejuk. Msh bnyk pohon besar.
adamana,4,"Tempatnya bagus nuansa alam poll, pengalaman saat di sana Diklat BANTARA."
Tyan Tristyanto,4,Karena terlalu luas jadi kurang terawat.
gotrek blt 2,5,
Njo Travelling,5,Baik.. hanya kurang terawat untuk fasumnya
Jeannette Tan,4,
Fikri Cahya,5,
nuraini lailia,5,"Tempat bagus asri rindang...
Ada mushola, km, warung, area playground, ada burung merak dan kuda
Seru banget, rekomended! …"
SUHARYOKO “YOKO”,4,
Adhyatma Firmansyah,5,
Rachmadani Fitri Suciati,5,
arrazi advertising,5,Tempat camping utk keluarga yg jalurnya sangat2 bersahabat..
aidaa .11,5,"Ada tempat camping, sewa kuda, dan bisa menyelenggarakan acara disini asal ada surat perizinan. Tempatnya masih asri, sangat sejuk, dan aman"
sri handayani,5,
misbahus surur,5,
Basil Hizbullah,5,
Ake Widowati,5,
dono agus p,3,"Suasana sepi tenang, cuaca sangat sejuk krn hutan msh rimbun, menyenangkan kalo utk jln pagi keliling hutan, ada bbrp gazebo, bbrp lokasi krg terawat, ada tempat buper cukup luas dg KM yg cukup bersih"
Akbars,5,Oke...
maksum lutfyantoro,5,
Sintiya Diayuwati,5,
beny masaid,5,
Sam Widodo,4,Hutan konsevasi yg masih terawat n sehat
tauhid hakim,5,"Tempat camping yang seru,, tapi jangan lupa beli voucher utk paket wifi hotspot,, karna sinyal Telkomsel diataspun terkadang tidak nyambung"
Agus Gunawan,4,
Tegoeh Pambudi,5,"Tempat plesir buat ngadem pikiran , melepas penat dan rasa jenuh. Masih sejuk khas lereng pegununggan. lokasinya persis di atas candi Sukuh."
Anggito Dwi Prihantoro,5,
Sulur Joyo Sukendro,5,Keren abis
Mekar Mulia,5,
Mas Broow,5,
AV,5,
Caesar Firdaus,3,"Kalau dimaksimalkan bisa jadi tempat wisata bagus,,sayangnya tidak sesuai ekspetasi waktu kesana,,ini saran dari saya kasih petunjuk arah jadi g bingung mau kemana2 daripada nyasar di hutan,,ya emang hutan sih tapi kalau g dikasih arah apalagi kabut kan bahaya,,trus area nya g terawat,,,semoga bisa lebih baik lagi kedepannya"
Aniesa Pramitha,5,"Hidden gem di Tawangmangu. Tempatnya berupa hutan yg masih asri, pengunjungnya jg gak terlalu rame. Cocok bgt jd tempat healing."
yessita dewi,5,"Tempat ideal untuk camping, walking, hiking. Bersih, air lancar, mushola terbuka, ada resto yang lumayan."
Ririn Dwi Sumarsi,4,"rusanya sudah tidak ada, saya kecewa dari rumah tujuan saya ingin melihat rusa malah sudah tidak ada"
10Cent,5,
Latif Sumanjaya,5,
Deny Eryawan,5,
Alphonso Effendy,5,
jati lawang,5,
Intan NA,5,
franky julianto,3,
nanang mardiyanto,3,
Farid Didantyo Feraldi,2,Sekarang kurang terawat. Banyak kandang kosongnya
