nama,rating,isi_review
Septiana Anggraeni,5,"Kalo mau main kesini mending dateng pagi, soalnya kalo siang panaaaasss poollll (':"
Selinandra,5,"Luas sekali, banyak permainan anaknya..resto juga ada ada.. Mantabb"
Nanda Mustika,5,"Mantaabbbb, tidak mengecewakan😉😉😉 …"
Dodit Setyawan,5,"Tempatnya bagus,bersih,wahana nya banyak pilihan"
Ananda Devita,5,"Tempatnya nyaman,bagus,bersih"
Agus Sitom,5,Tempat bermain yang bagus untuk edukasi anak anak❤️
Nafi Kholif,5,"Bagus,banyak permainannya"
Puspita Sari,5,"Hi Kak Puspita, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Fingky Budhi,5,"Hi Kak Fingky, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Eka Yulia Surajaya,5,Worth it banget 30k bisa sepuasnya...permainan banyak dan tempatnya bersih
Izan Alfaiz,5,Menyenangkan.. Bagussss...
anin dita,5,Sangat bagus untuk anak anak
Eka Windi,5,"Bermain sepuasnya,,"
sri lestari,5,Taman yang bagus adalah yang terbaik
Wiwin susilowati,5,Wahananya bermain anak sangat berfariasi
Riyanti Yan,5,Tempatnya nyaman apalagi gocarnya seru
myesha adeeva,5,"Tempatnya rumayan bagus,harga juga murah,,,cocok seh buat anak2 apalagi todler,,krna aman,,,cma masih baru aja,,jdi terasa panas,,,semoga kedepanya lebih baik lagi"
Rizki Efendi,5,"Hi Kak Rizki, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Dwi Hana,5,"Hi Kak Dwi, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Karimah 07,5,"Nyaman,aman,bersih
Rekomen banget untuk liburan sama buah hati tercinta."
Happy Ritzna,5,"Tempatnya luas,mainannya banyak&makanannya lumayan enak menu buat bocil juga ada..
Lain kali akan datang lagi"
Ika Devita,5,"Tempatnya nyaman, area bermain aman dan ramah anak, rekomendasiuntuk liburan bersama anak tersayang."
Fajar Alfalaq,5,"Hi Kak Fajar, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
hizkia airborne,5,"Tempat bermain untuk anak-anak khususnya dan bapak-ibu pada umumnya :) areanya luas bisa dilihat dari citra satelit gmaps.
Tempat parkir disini luas, kalo parkirnya sudah sampe luar area, sebaiknya balik …"
Eka Srilestari,4,"Kalo beli minum bawa uang pas,  karna alasan kasir Ndak ada kembalian,  sekarang air mineral yang kecil harganya sudah 7 ribu,   kalo uang kita 10 ribu cuma dikasih kembali 2 ribu, bukan masalah  kecilnya kembalian sih  tapi bayangin 1000 kali berapa orang itu"
Andika Pratama,5,"Puas banget bawa anak kesini..
Tiket murah
Makanan di resto juga enak..
Tempat luas..kamar mandi bersih .ada Mushola juga.."
Apri Anto,3,"Di foodcart banyak lalat
Tempatnya hewan cuman 5
Kurang fasilitas tempat sampah
Tidak ada fasilitas smoking area"
antoro hermawan,5,Tempat yg bagus buat edukasi anak-anak
indra kusumawardani,5,"Tempat bagus, banyak mainan pelayanan baik, tempat luas"
karina ratri,5,"Murah, dekat, anak senang 😀 …"
Syifa Nur Hanifah,5,Salah satu rekomendasi tempat wisata ramah anak di soloo❤❤
Ika Wulan,5,Bagus
Riska Utami,5,"tempatnya luas dan nyaman byk permainan,,anak2 bermain dengan puas"
Ruslan Ruslan,5,Ruslan dari solo
Wanah Wanah,5,Permainanx lengkap.bersih dan mnyenangkan..
Dwi Meiningsih,5,Tempat bagus dan luas
Misbah Nurkholish,5,Salah satu destinasi tempat bermain anak dan keluarga. Cukup bayar sekali bisa main disemua wahana sepuasnya. Sayang ohonnya belum rindang. Jadi kalau siang hari pasa
Evi Novi,5,"tempat menarik,banyak wahana bermain..makanan enak2"
Mella Merilla,5,Tempat yang sangat bagus untuk anak-anak bermain.
Ibnu Adi,5,Tempat bermain anak yang seru dan lengkap
Towles Fc,5,Oke baik
purnawan akbar,5,Tempat bermain yang. Asyik dan pas buat keluarga 😍😍😍 …
Mahgdalena Risky,5,"The nice park solo arena bermain anak"" yang asyik"
Desi Wulan,5,Tempat nya asik dan nyaman
Sapta Yuli,5,Sangat senang sekali..buat ank sangat berkesan dan cocok banget buat berlibur
Eka Eki,5,"Hi Kak Eka, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Hasan Munafri,5,Kolam renang bersih.
Selfaumi Hafidha,5,"Tempatnya bagus
Mushola nya bersih
Tapi menu makanannya di tambahin yaaa
Mungkin bisa nasi ayam goreng atau bakar 30K oke
Tapi ini nasi ayam chicken pakai saos bukan sambal 🫣 sama milo 30k 🙏🏻"
Suyani 1976,5,"Lumayan bagus, maunan banyak anak2 seneng"
Ina Lailatulrohmah,5,Baguss banyak mainannya
Eni Haryanti,5,Tempatnya recommended untuk anak anak dan pendamping
Kitty Raya_Kitty,5,Tempatnya bagus nyaman bersih dan banyak pengunjungnya 👍👍👍👍👍 …
Dwi Munika sari,5,"Perdana main sini, kesan pertama dg harga tersangka tempatnya luas, permainan outdoor indoor sangat lengkap nyaman..dan yg paling penting aman untuk anak².."
Aris Gembong,5,Nyaman bgt buat have fun anak2
Desy Chrisnawati,5,Tempatnya bersih & recommended untuk outbound anak anak 👍👍 …
Lestia Ningsih,5,"Nyenengin anak disini sampai puas,, hati senang anak2 happy 🥰🥰🥰 …"
Dian Pertiwi,5,"Tempat nyaman untuk anak,  bersih,, banyak juga pilihan mainan .  Anak senang main kesini,, minta balik lagi kesini"
Liya NataSrihastika,5,"Hi Kak Liya, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Widhi Nuraini,5,Wahananya sangat bagus asyik buat ank2
Alena Quenzy,5,"Tempat menarik,tempanya nyaman"
Naila Nafisah,5,"Hi Kak Naila, Terima kasih banyak atas ulasan positifnya. Sebuah pengalaman yang menyenangkan bagi kami bisa melayani Kakak dan Keluarga. … Lainnya"
Fadhil Radya,5,Tempatnya menarik
Agustina Lestiani,5,"Tempat bagus, aman, nyaman"
Itut Melati,5,Anak2 TK Melati sangat senang sekali..
Fifin Nurmiyana,5,Sangat bagus
Emi Sekarwati,5,Tempatnya nyaman menarik
kulup eva,5,"Tempat bermainnya luas, nyaman untuk anak dan keluarga, kamar mandi nya bersih.."
lina novitasari,5,Tempatnya nyaman sekali untuk keluarga
Nita Saftama,5,The nice Park solo bagus banget ayoo kesini. Bayaran murah main wahana sepuasnya 🥰🥰 …
the sobli,5,"Luas,bagus dan bersih,ga banyak pegawai berkeliaran  kaya ditempat lain,jadi mainnya bebas dan puass...saran datang pagi atau sore..karena kalo siang panass polll"
Asih indah utami,5,Tempat bermain yang seruuuu banget buat keluarga
Inggrid Riska,5,"Tempat yang sangat bagus,  banyak bgt permainannya dan jugaa semua pegawai ramah tempat lingkungan bersih dan anak anak sangat menyukai nya, sukses selalu nice park solo 😍🥰🥰 …"
Jeny Syamsianik,5,"Sudah 4x ke sini dan ngak pernah kecewa 🫶🏻
Semoga semakin berkembang & lbh bagus …"
risky fajar,5,"tempatnya bagus, walaupun sedikit panas, cocok untuk liburan anak dan melatih saraf motorik anak, karena banyak wahana ketangkasannya, intinya cocok banget buat ajak keluarga liburan atau bermain kesini deh, nggak ngebosenin sama sekali untuk anak anak maupun yang mendampingi 👍🏻👍🏻😁 …"
Heri ragil saputro,5,"Parkir motor bayar 5000, tempat sangat bersih, cuma sayang minuman es teh & es jeruk lumayan mahall 10.000/cup...."
Ani Nafiati,5,Seru dan menyenangkan
Nugroho Budi Prasetyo,4,"Wahana playground yg lengkap, ada indoor dan outdoor, cocok untuk berlama2 dengan anak2. Playground outdoor sangat terik di siang hari. Untuk yg indoor, lumayan ada sampah makanan  di sekitarnya, tidak melihat ada petugas yg membersihkan …"
Eka Ratnawati,5,Terima kasih Kak atas kunjungannya 
Radiet Pramudita,5,Seru anak senang dan tidak mau pulang
fania an,5,"tempat nya seru, ada banyak wahana dan juga banyak hewan², minusnya cmn panas aja"
Ulfa Miftha,5,Playgrond nya outdoor dan indoornya  nyaman buat anak anak kecil maupun besar
meisa elissafitri,5,"tempatnya seruuu bgtt, pelayananya ramahh jugaa🤩, makananya juga enak², kasirnya sabar bgt walaupun banyak customer yang banyak nyerobot, Playground nya juga banyakk🤩 …"
Rika Faniaasmarani,5,Terima kasih Kak atas kunjungannya
Anik Wahyu,5,Tempat enak untun santai2 asyik pokoknya nyaman anak2 pun pada senang
Mardi Vcs,5,"Tempatnya enak banget , apalagi untuk anak anak"
Woro 83,5,"Untuk tempatnya bersih ,pelayanannya ramah,enak buat keluarga"
Alfin Hidayati,5,Terima kasih Kak atas kunjungannya
lina yuniati,5,Tempat nyaa nyamann
Bagus Rosella,5,permainannya seru bisa melatih keberanian anak anak
Endang tri Minarni,5,"Tempatnya luas , nyaman , makanannya juga enak"
Trimulya Ningsih,5,"Tempatnya bagus banget , enak buat anak anak bermain"
arif budiman,5,Terima kasih Kak atas kunjungannya dan ulasannya
Yolanda,5,Terima kasih Kak atas kunjungannya 
GINANJAR PUJIASTUTI SMAN 1 SUKOHARJO,5,Bagus sekalu cocok buat anak_ dewasa
Denire Resling,5,"taman bermain anak dengan konsep dalam ruang, luar ruang, dan kebun binatang mini serta resto yg cocok untuk keluarga …"
Jeki Prekies,5,"Tempat nya nyaman, cocok untuk rekreasi bersama keluarga, pegawai nya ramah-ramah, pokok nya the best 😍❤️👍 …"
Sheril Callista,5,"tempat nya sangat nyaman untuk bermain anak anak, wajib cobain datang kesini untuk destinasi liburan bersama keluarga 🥰🥰 …"
Aman Abdulrahman,5,Terima kasih Kak atas kunjungannya 
Arga,5,"keren banget tempatnya walau sangat rame tempatnya, tapi overall menyenangkan sih, makananya enak, kulit gorengnya mantap, tempatnya bersih rapih, walau ramai, tapi jika saya lihat karyawanya cuma sedikit ya ? kalau bisa tolong di tambahin lagi itu kasian kalau cmn se sedikit itu"
YAHYA HABIBI,5,"Tempatnya nyaman...
Pilihan mainan banyak.."
Santoso Fisika,5,"Tempatnya bagus, wahana luas, kalo ke sini baiknya pagi atau sore, karena kalau siang panas sekali, tanaman hijau belum tumbuh dengan rindang"
Nur H.,3,Pertama  X
Adit Vixmotovlogidn,2,Tempat makan kotor.. banyak lalat
Anita Carolina,3,"Tempat mainan okelah baru buka jadi terawat
Kamar mandi belakang lampu mati
Panasnya banget2
Karyawan tidak ramah
Beli minuman dulu karena belum jam makan udah beli 4 biji ga dikasih plastik adanya nampan, habis katanya, tapi mbak yg satunya awalnya memberikan gestur jongkok kayak mau ambilin plastik dari kolong.. tolonglah plastik itu berapa sih harganya?? Masa suruh pakai nampan buat masuk nemenin anak main playground, tangan 1 pegang nampan 1 pegang anak gitu?? Plastik aja pelit banget harga minuman juga ga murah, okelah kalau ga mau plastik sediakan opsi tas kain berbayar atau apa gitu untuk mempermudah orang tua.. sebagus apapun playgroundnya kalau pelayanan ga ramah sih tetep bikin males untuk datang kembali"
Rudi Putra,1,"Kurang rekomen kalo buat para sopir elf, masak mintah jatah makan nggk di kasih, katanya yang di kasih cuma sopir bis"
kurniawan yudha,5,Ijin memberi masukan untuk kedepannya mungkin bisa buka sampai malam untuk weekend mengingat antusias pengunjung yang lumayan. Soalnya kalau pas siang terasa panasnya. Tempatnya snagat ramah untuk bermain bersama keluarga. Bebas asap rokok&bersih.
nendi arif fauzi,5,"Sangat bagus dan bersih, pasti kami akan datang lagi!"
Dark Zero,5,"Nyaman buat anak, masih panas sih, dan kolam renang juga perlu untuk perawatan lagi"
alesha mikhayla,5,"Bagus sih... Ada area indoor, outdoor, dan berair. Ada mini zoo juga. Cuma pas kmrn kesana hewannya masih dikit.
Untuk kebersihan bagus, untuk tiket masuk 35rb sepuasnya dan semua wahana. Harga makanan di kantin juga relatif normal gak mahal."
Rina S,3,"Tempatnya panas, kolam renang airnya tidak mengalir & kotor"
