nama,rating,isi_review
Arief Eko,5,"Tempat nyaman & bersih, parkir mobil luas,  ada kolam renang nya.  Kalo bisa di lengkapi menu makanan nya seperti pemancingan tempat lain"
Good Maramis,4,Datangnya malem jadi gak kelihatan
Roo Han,5,"Terletak di Wisata Tlatar,
Tempatnyanyabluas, ada kolam renang anak, mushola, toilet bersih,
parkir luas, …"
raden satrio adinugroho,3,"minusnya parkir mobil bayar 2x ...
wisatanya cuma berenang aja.. tolong tambahin wahana air biar kesannya gk bosenin"
Habib Bullah,5,"Rame,,,air nya jernih seger 🥶 …"
R.M. Tejomurti,5,"Seger asri alami dan cukup bersih.
Kebetulan deket sama rumah sodara di kampung sini"
Rudi Hartanto,3,"Pemesanan makanan dan minuman kacau. Harus menunggu lama sekali, hampir 90 menit."
Joko Sriyanto,4,Tempat wisata kuliner olahan ikan dan ada kolam renang dengan mata air yg jernih dan sejuk dengan tiket yg terjangkau
Fitri kusuma,4,
Wynnie Safira,5,"Tempat wisata di boyolali yang menurut saya kurang terawat, karena lahan begitu banyak nya tidak di realisasikan. Mungkin hanya area mandi saja yang ramai pengunjung karena banyak warga setempat mandi / mencuci disitu. …"
Desi Farida,5,
Jiyanto yanto,5,
Dede Sulaeman,5,
Sri Yatmo,5,"Tempat pemandian,pemancingan,kolam renang,pengelolaan air umbul pengilon dll"
Alf Tehnik,5,
joko susilo,5,"ada yg masuk berbayar dan ada yg gratis ,klo yg berbayar airnya jernih , kolam renang anak2 dan dewasa serta ada tempat basah2an anak bermain air dan menangkap ikan"
Ready Bagus,5,💜 …
M.Mahmudi,5,Numpang ngopi
Ika Enje,5,
Woro Wirasmi,1,"Di pintu masuk tertera biaya 4.500/orang tp tadi diminta biaya 10.000/orang..makannya skrg Tlatar sepi bgt yaa..pdhl td cm pengen makan gendar pecel..kalo yg jaga tiket ibu itu terus,,bentar lagi Tlatar tutup sih kyaknya 😁 …"
Febri Yanto,3,
Nugroho google,5,
utri yupi,1,Mehong . Gak bagus
MBEKUH KUSDIYANTO,5,Rekreasi yang nyaman
Rumi Yani,5,
Mochijrais Suryansyah,1,
Aisyah Salwa,5,
ogie ardy,5,Dari masih sekolah SMP sampe punya anak 1 selalu kesini setiap mudik libur lebaran.
Nafa Ira,5,Yakult selalu baru
Kuuntet Mugen,3,
Ilham Nur,4,
Yudirohan_to,5,
Mergie Decillita,5,"maaf kasih ulasannya di tahun 2025 padahal dulu tahun 2010 waktu kesini terakhir.. tempatnya enak banget apalagi sekarang bisa lebih cepat via tol,, namun sayang kami blm bisa singgah lagi kesini,, pas lewat selalu tengah malam terus baik …"
Katerina Pane,5,"Cocok utk wisata air, cocok kalau yg bawa anak kecil juga."
heru 1519,2,
Fidelis Hevedeo,3,"Tanggapan: Rapi sih, cuman kolam kurang dalam. Tidak ada penyewaan alat tenang. Tempat tunggu agak panas. …"
Yusuf Fakhri Az-Zukhruf,1,"pesen dari jam set 2 sampe jam set 4 makanan ga sampe juga, di komplain katanya antrean emang dari resto nya 3 jam. namun tidak ada konfirmasi sebelumnya"
Safira Purwanto,1,Makann g sesuai pesenn
maswiyoto maswiyoto,5,
Ivanovich Volkov,5,
Riski Febriyanto,5,
Tri Indarti,5,Biasa aja si
ari susanto,5,
Dafit Sutomo,5,
ADMIN SETRINDO,3,apart tua..
dirandita martira kusumadewi,5,
Shogi Johan Wahyudi,4,"Kenangan masa kecil, asli boyolali"
Putri Utamy,5,
S A T R I A,5,Mantul
Linda Purwanti,1,
Harany zeka,5,
S Wahyuningtyas,4,"Tiket masuk pakai motor untuk 2 orang 10 rb
Kalo ke kolam renang lain taman air juga 10 rb
Kalo ke kolam renang nasional biasanya satu orang 5rb parkir 2rb untuk hari biasa"
yono ida,5,
Nasikun Iqun,5,Pengalaman baik ternya beli disini priksa mata juga gratis
Sonya Fredina,5,Warisan lokal Air murni dan jernih dengan mata air Alhamdulillah
arif setiyadi,5,
Muslikhin Semarang,5,"Tempat yg asryik buat makan dan liburan bareng keluarga dg permainan air harga ekonomis terjangkau utk semua kalangan baik kalangan bawah mauapum langit, hehehehhe"
Kristiani Wulandari,5,
SatriaShutter,3,"Kesini kemarin waktu akhir pekan. Tempat parkir lumayan luas, makanan biasa aja sih, enak tapi gak ada yang spesial tapi dengan harga yang cukup mahal menurutku. Bahkan untuk cemilan kentang goreng dan singkong goreng pun cukup mahal. …"
Muhammad Agus Syarif Akbar,5,
Haryanto Sibat,4,Baru sekali mengunjungi tempat ini.. Ada beberapa resto yg bisa jadi pilihan setelah puas bermain air. . cukup baik tempatnya
Dodik Khoiruddin,5,Masakannya enak puollll.... Jossss
Harjo Slamet,5,
yuliyanto gmm,4,"Iseng nyoba liat umbul tlatar mesti hari libur tapi tdk terlalu ramai.
Air melimpah, bening. Bagi yg pengen mandi rekomended."
Fawwaz Rahima,1,
muhammadariefswasono,1,G terawat...
novara sandra,5,
Muh. Ato'illah,5,"Musim hujan main air, boleh aja...
Jaga kesehatan dulur2 semua. Jangan lupa makan ikan bakar kalo punya.
Kalo tidak punya makan yg bisa di makan dulurkuu."
MAS KUN BOYOLALI,5,Lumayan bagus
Mursid Pranowo,5,
Doddy Candra,4,
Mugi Utami,5,"Tempat nyaman, makanan enak"
PaPa ZiO,3,"Touring bpk2 Star; terapi ikan, renang, makan ikan bakar......"
mamix emerald,4,
Dewide djoemotion,5,
yusuf setyo prabowo,5,
izzul huda,5,
Sri Rahayu Wijayanti,5,
Andreas Corps,4,
Edy Sutiyono,5,Tempat Wisata yang menenangkan hati
Sutarnahadi Gallery,5,
Puji Syafa,5,
Kitek Wenky Teteleta,3,
Bonjeruk Feed,2,
Febriyanto,5,
Febri Yanto,3,
husni mubarok,5,
Tri Armon,5,
Niken Pujiastuti,5,"Bakso rekomen
Tempat nyaman adem"
iien 6869,5,"Sejak ada google maps, sangat membantu untuk mencari suatu tempat dan arah yg belum mengerti, terima kasih google apresiasikan LG yg LBH mantap dan akurat 🙏 …"
Hadi Muljana,4,Cukup tenang airnya jernih
arif khoirullah,4,
Ahmad Jiyon,5,
Nadira Aliya,5,"Ke sini pas weekday, jadi sepi serasa dibooking untuk sekeluarga. Kegiatan utama adalah mancing, makan ikan, berenang, dan menghirup udara segar. …"
faisol anam,2,"Banyak pos2 yg harus bayar tiket. Herannya mau makan sambil anak2 keceh kena tiket @15 rb x 6 orang= 90 rb.
Harga makanan relatif tergantung keuangan masing2 he..he.. yg saya ingat nasi …"
Linda Citra,5,Bagus buat rekreasi wisata air keluarga terutama sama anak anak
mzainalarifin Arifin,4,Lumayan..ok
Trex Koplo,5,
Sri Rahayu (Bune ifa),5,
Rasah Resahh,5,Cukup bagus
Joan Jonathan,5,Ayo dolan sini...
Kharisma Titah Utami,4,"Masuk ke Taman Air Tlatar ini ada biaya masuk sebesar Rp. 7.000
Kemudian ada banyak spot makandan berenang. Ada tempat outbound juga. Tapi untuk masuk setiap tempat akan ada biaya masuk lagi per orang. …"
Goen Gunawan,4,Datang saat bukan jam makan di weekend. Jadi langsung dapat tempat duduk. Suasananya cocok buat acara keluarga. Juga ada kolam renang anak
Saluran Berkat,4,Tersedia banyak saung2 diatas kolam bawal hitam. Tersedia kolam anak2 yang cukup memadai. Mungkin kami kesana saat sibuk jd makanan terasa lama utk sampai. Untuk yang suka ikan bakar digoreng dulu mending request ya krn disini ikan bakarnya …
Sepak Pojok,5,Suasana sejuk.. makanan enak.. harga wajar
Rsr Rini (Rina),4,
Andre Budy,5,
rostrie hafiz,3,
fatur apikan,4,
Uswatun Chasanah,5,
sri sulastri (Lastri),5,"Sangat menyenangkan kita bisa liburan bersama keluarga dengan berenang ,kita bisa menikmati makanan yg super enak dengan harga terjangkau"
