nama,rating,isi_review
Untari seati,5,"The best lah taman di dalam linvkungan pemda surakarta yg terkelola dgn baik, ada jembatan kayu, taman bermain dan lahan hijau sayang harga makanan terlalu mahal utk ukuran pelajar dan mahasiswa."
A RD,5,"Gak tau salah jalan atau salah pintu masuk, waktu masuk enggak bayar tiket langsung jalan masuk aja"
surya adisyah putra putra,5,Cocok bawa anak anak main kesini. Tempat makan ada. Parkir lega.
dwi haryanto,5,Tempatnya sangat nyaman sejuk
Iyant Seawolf,5,"Tempat wisata yg nyaman untuk keluarga, murah meriah, bisa juga untuk prewedding, anara sekolah, pertemuan keluarga besar, dll. Tiket masuk 5000rb, parkir 3000. Untuk tiket masuk bayar pake qris, untuk parkir msh bayar cash.."
Fifit Novias,5,"Kedua kali kesini, semakin bagus dan terawat yah. Dulu saat kesini masih kurang terawat dan masih dalam renovasi juga. Tapi dulu ada ayunanyaa. Sekarang tidak ada T.T padahal enak buat nyantaii."
MANTAN WIYATA BHAKTI,5,Cocok untuk keluarga dan anak anak kecil
Fitria Eka Ardiyani,5,"Tempat yang indah untuk bersenang-senang di alam terbuka di Solo!

Taman Balekambang adalah tempat yang bagus untuk menikmati alam dan menghabiskan …"
Nanda Aryansyah,5,"Segar, ramah lingkungan"
Anastasya Putri,3,
Eunice Irma,5,"setelah renovasi baru ini kemati lagi, beneran, jadi lebih cantik, banyak spot foto, udara yang sejuk & teduh, trimakasih sdh mengadakan ruang luar biasa ini, oksigen fullll..... harus kemari lagi, capek keliling ga cukup sepagian... ada …"
ulfa,5,"Biaya masuk 5.000 IDR, biaya parkir (motor) 3.000 IDR. 🙌🏼 ramah keluarga dan anak-anak …"
Luqman Maulana,1,"Tolong kepada pengelola Taman Balekambang, jangan dikit"" pungli dimintai ini itu, sebagai contoh bawa kamera DSLR masih dimintai duit???"
agustin ayun wulandari,4,"destinasi pertama di solo, tiket masuk 5org dewasa +parkir 30.000, anak2 free HTM
Tamannya adem, luas, bisa buat piknik bawa makanan minuman, ada food courtnya, …"
Alya Raissa Abiel,5,Suka bgtt skg jd baguss
Mas Way,5,Cukup menarik
Tri Wibowo,5,
allam izza naufal,5,"Tempat yang bagus dan menarik.
Selain cocok untuk bersantai, cocok juga untuk bermain pokemon dan berolahraga."
Alala Muliba,4,Balekambang setau saya dulu taman dan pemandian untuk para Raja Kraton Surakarta dan Kerabatnya. Seiring berkembangnya waktu menjadi tempat seniman Solo tinggal dan berkarya. Dan akhirnya sekarang menjadi taman Kota Solo yang bisa dinikmati …
sINDhOeNESIA “Sendox”,5,
Silvy Mariyati,5,"sudah di renov, makin cakep .. bersih .. rindang pastinya.. parkir motor/mobil sangat luas dan memadai …"
Sani Puswanti,5,
kana laila,5,"Asri

Kamar mandi bersih, tersedia banyak umkm/aneka mini resto …"
Soe giyanto (Soe Giyanto),4,"Sudah lbh baik dari pada yg dulu, tp sekali lagi yg kurang adalah adanya papan petunjuk arah & lokasi. Hrs nanya sana sini. Mushollanya aj ndelik 🤦 …"
Dhika,5,
Ciciologi,5,"Tempatnya teduh, sejuk, rindang, dan luaaaasss banget. Ada kolam juga plus ikan2nya. Bisa kasih makan ikan,bayar pelet 5k aja per bungkus. Kemarin kesini cuma keliling setengah aja karna saking luasnya dan capee. Htmnya kemarin cm bayar …"
Rizqa Kusuma,5,"HTM 5rb, better pagi kesini krn kalo siang panas
Toiletnya bersih cuman agak bau, mgkn krn ngga ada cleaning service jd butuh kesadaran diri pengunjung utk lebih menjaga kebersihan di fasilitas umum"
Magentha Dea,4,
maswahyuka,5,"tiket masuk cuman 5rb. parkir 5rb. cukup luas dan enak buat jalan2 bersama keluarga. banyak spot foto yang bagus karena pohon2nya rindang.
makanan ringan dan minuman juga tersedia berjejer disini."
anggie adelia,5,"Sejuk, nyaman, setiap sudut bisa buat foto"
aditya kurniawan,5,
nurul utami,4,"kemarin ada rusa yang luka di punggung agak lebar, dikerubungi lalat. mohon rusanya segera ditreat yah, kasian banget. karena banyak anak2 jadi ga jarang rusa2nya dikejar, …"
Anik Suhartanti,3,
Muhamad Royan,4,
Ulfah Nafiah,5,
ALIFIA R S_Born To Win,5,Area piknik dan memberi makan rusanya indah
Karen Naella,4,
PRIYATMANTO ANTO,4,Taman di tenggah kota solo yang bagus untuk rekrasi keluarga.tiket murah meriah hanya 5 K
Halimatush Sholihah Tri Utari,5,"Tempat nyaman, view bagus, pas kesana ada festival air mancur krn tepat pas hari Kartini. Indah bgt MasyaaAllah✨
Bisa jadi tempat piknik, ngobrol, bikin konten dan quality time with kesayangan …"
Lintang,5,
zila,5,
Tutim Asting,5,
debora septyaningrum,5,
Vavanova Aldiansyah Prasetya,3,"Sekarang mayan bagus. Tapi lebih asri dan adem daripada sekarang. Untum Penglola pesan kami, area colokan stop kontak pada ga bisa nyala terutama di area BALE BAJANG. Dulu bale kambang gartis masuk cuma bayar parkir. sekarang tiket masuk …"
Kak Parmin,5,Mendidik anak sesuai usianya. Para pendidik cerdas memadukan perkembangan zaman modern dengan nilai-nilai Islam sebagai inspirasinya. Dan itu ada di Al Abidin.
Nur Fadzilah Purbaputri,5,"Tempatnya bagus, suasananya dingin, hewannya juga sehat dan bersahabat. Mantap pokoknyaa"
humas ynh,5,"Sangat nyaman untuk bersantai dengan keluarga, menghirup udara segar di tengah kota Solo"
maz ganden,1,Kurang hiburan buat anak anak
HERU MURTADHO,4,Bagus bgt tamannya toiletnya juga bersih rapi
Merlika Nur Oktafiaa,4,
Edy Rianto,5,
OVANNE A,5,10/10 TERBAIK!!
Djaya Dinama,4,"Suasananya Sejuk, Tempat yg cocok menghabiskan waktu sambil menunggu jadwal krl, tapi minusnya pintu toiletnya tidak ada kuncinya. Tidak nyaman sekali."
Bramm Hernawan,5,
nisa ns,5,"Revised:
Setelah direnov, tiket bayar 5k hanya cashless. Parkir 3k untuk 2jam an. Musolanya kecil banget weh... Weekend crowded banget"
Budi Jarwanto,5,Asri
Dyah Puspitasari,4,Tambah kereen aja ini taman cocok buat nongkrong bersama orang terkasih ademmmmm
Cebret Kecil,3,Satu aja sih buat balekambang. Udah direnovasi secantik itu kenapa sih harus pake qris? Harus banget ya? Ya emang sih boleh juga pake cash tp setelah itu ditekankan “besok lagi pakai qris ya “ jari kapok kesana kek saya karna SANGAT …
Ilham Arifin,5,
Hary Purwanto,3,Biasa saja..
Tina Ningsih,5,
Ceria Printer,1,Yang jaga skuter / persewaan tidak ramah dan nyolot
Adisty Lutfia Rasya Ardhana,5,Habis renov makin cakep. Banyak hiburan juga
Winny Dewi Puspita,5,
Musthafa Arip Isnandar,5,
Banu Banu,5,
raesita dhewi,4,
Ibn Ysn,5,
Reynaldi Arman,5,
Rizka Ayu,4,Sedih banget kena gibahan para tukang fotografer di balekambang solo. Maksud aku kalau mau ngomentarin penampilan / fisik para pengunjung ya tunggu pergi dulu kek. Bisa2 pas lewat digibahin oleh para FG yang lagi duduk2 nganggur gada job …
yoviii yovii,1,"Petugas karcisnya kurang bagus
Di loket karcis masuk sudah bayar karcis masuk. Langsung di suruh masuk tanpa di beri karcis parkir .nah pas keluar dimintai karcis parkir..kan gak dikasih …"
Tanya Geidaprabawati,5,Seru seruan disini
aditya kusuma,5,
Aw TV,5,
Roni Setyawan,4,"Lumayan bagus, tempat luas,"
Fitria Kusuma Wati,5,
Ani Fathudin,5,"Air mancur di pagi hari, terlihat pelangi 🌈 …"
Elfrida Arniyanti,5,
Tri Yuniyanto,5,
Master,5,Lihat pentas dalang cilik di sini
Mba Putt,5,"Tempat healing tanpa bikin kantong bolong,
Tempat luas jadi meski banyak pengunjung, banyak space kosong untuk kumpul bersama keluarga"
Novika Rosa,4,"Untuk tempat nya bagus, instagramable banget. Pas di area food court nya harga nya ngga normal.. apalagi mie instan pake telur masa 15 an rb? Tapi okelah mungkin karena di tempat wisata masih umum, tapi waktu beli soto, heran kalo itu soto. …"
Ong Siok Lian,3,
Aryani Pujaningtyas,4,Biasa aja dan biasa banget.
Dnl16,5,"area terbuka hijau yg cocok buat nyantai dan jalan jalan, tiket masuk area balekambang cuma 5k dan area parkir di dalam luas, di hari hari tertentu ada pertunjukan seni yg tiketnya cuma 15k"
kenzalfa alexander,1,Pelayanan kurang ramah
wisnu prasetyo,4,Menyesap
