nama,rating,isi_review
Hasan Munafri,5,
Adi Setyono,5,
ILHAM SETYA NUR ANDIKA,5,
ghulam muhammad,5,"Bersih, edukatif, parkir untuk motor memadai,"
Arif AMG TOUR,5,
Sulistyoagus,4,"Taman cerdas kelurahan jebres
Lokasi di utara uns...
Timur solo techno park …"
Edy Saputro,4,👍 …
Bagus cahyono,5,
qurina rosyidah,5,"Bersih, nyaman utk bermain anak anak. Semoga bisa diperluas lagi"
Arif Agus Cahyadi,5,Tempat yg menyenangkan buat anak2
Javiona Hoffman,5,
Erwan Aji,4,"Ada hall pertunjukan yang mantap,minusnya tidak ada open space yang luas,serta tempat parkir yang terbatas"
Sidiq Ternate,5,
Ena Sang Petualang,5,Bagus.. gratisss cuma perpusnya weekend tutup..
Aswin Taufiq Pradana,5,"tempat ga panas, permainan lumayan"
neko NEZUKO ツ,4,"Tempatnya sekarang banyak perubahan,lebih terawat ."
Paulus Waluyo,4,Oke
Panji Dewanto,4,"Kebetulan lewat , ternyata tempat nya adem , nyaman untuk sekedar beristirahat"
tri purwanti,5,
Andi Prasetyo,5,"Taman ramah anak dengan banyak wahana bermain, ada pula tempat gamelan untuk latihan karawitan siswa"
Fatin Fadilah,5,"Wifi nya kenceng, Deket Kampus & Deket kos. ada gazebo cocok buat nugas"
Candra Puspa,5,"Tempat itu dingin.
Banyak mainan"
Bodat Birong,5,"Cukup lengkap fasilitasnya, nyaman di pakai sejuk di pandang"
Oni Service,5,"Bersih, adem, aman, nyaman. cocok untuk bermain anak-anak."
Faridz Akbar,5,
Shogi Johan Wahyudi,5,"Buat taman, biar cerdas"
Griya Mahesa,5,"Bersih dan terawat
Cocok buat bermain dan belajar anak"
Al Demaki,5,
Riski AndikaSari,5,"Tamannya bersih, indah juga, nyaman, tempat parkirnya juga ada. Banyak patung"" bentuk Transformers (robot), Rama Sinta, Hanoman. Fasilitas nya lengkap sih meskipun tempatnya ga luas banget contohnya kayak pendopo, bisanya ak lihat sering …"
arif rakhman,5,taman asri dan rindang.cocok untuk bersantai sejenak
DIAJENG NURSARITA PUTRI,5,"tempatnya bersih, rapi , cocok untuk anak anak , bisa sebagai tempat edukasi anak"
Sapto Cahyono,3,
Rosalina Mumtazah,5,"Tempatnya bagus bgt. Rame bgt sama anak2.
Tapi sayang, kalau minggu perpusnya g buka"
Intra Edutama,5,"Asri indah sejuk ada tempat pertunjukan, nyaman"
elfaiz Collection,5,Jalan2 asik sm anak2
Hasna Marisa Putri,4,
Noverly CP,5,
Jefson Marisano,5,Keren
ARY PURWANTO,4,Perlu diperbaiki dan dipelihara wahana gazebo dan balai-balai yg terhubung jembatan kayu diikat dengan  kawat baja
Ponpes Almubarokjetis,5,Bagus untuk main anak anak
Interior jok Yudi rangga Yudi rangga,5,Rapi dan terpercaya
martanto joko,5,
Fatimah R,4,"Taman yg bagus, luas, bisa untuk istirahat, santai2 dan nyore disini dengan suami dan anak."
anggita nur aini,5,
kiky zaxura,4,bnyak daun gugur yg blm d sapu
Nurul Aulia,5,"Adem, banyak ruang untuk dikoleksi, banyak patungnya. Anak-anak akan menyukainya di sini"
Inneke Kusumawati,5,"Tempat rekreasi anak yg murah meriah, ada playground ramah anak, tolilet, ada gazebo"".. Anak sya juga les menari disini (sanggar tari tradisional)"
Sun Amazing,4,"Perpustakaan kurang banyak buku untuk balitanya. Lokasi aman, nyaman, teduh, lumayan bersih, namun banyak permainan yang kurang terawat."
Setiawan Andri,5,Baik anak anak suka senang
Purwaningsih yaa,5,"Senengg bgdd tamannya komplit , strategis, dan adeeemm"
Adam Khoir,4,Bagus tp perawatan kurang maksimal
Yason Hanung,5,Aman nyaman
Daraka Lanang,3,
Andi Moeryatno (Aan),5,Menyenangkan buat anak2
Abdulloh Mukminin,5,
Bagus wibowo Putra abadi,5,
A-Three Grup Frozen Food,5,Wahana belajar dan bermain untuk anak-anak yang bagus dan inspiratif
tk.kristen kharismatika,5,
Muhamad Daffa Ramadhani,5,
Fataha Ridwan,5,
Drive4 Ibam,4,"Recommend untuk main anak, gratis masuknya, parkir 2000, free wifi."
Faizah Luthfia Manar,5,Bagus. Untuk menghibur anak anak cukuplah bermain disini. Banyak pilihan permainan.
Makmur Budianto,5,
Tanti Purwitasari,4,
Mas Setyo Utomo Lik Yo,4,
Yogi “Chogan” Utomo,5,Tempat bacaan menyenangkan
Solo Bagus,4,Itu makam nya siapa
Hartoyo,3,
25.Nabila Azzahra R.S,5,
A Setiawan,5,
yuni anti,4,"Lumayan bagus
Sangat bagus lg klo fasilitas playground nya lbh lengkap"
Edy Warsito,5,
dita widyati,5,
Budi Lesmana,5,Hanya lewat
Catur Wijayanto,5,
Chiyoda,5,"Tempatnya indah, banyak mainan yg menarik buat anak, bisa untuk melatih motorik anak dan rumput sintetis nya juga bisa buat melatih sensorik anak❤️"
Yuli Ani,5,"Recommended buat anak"""
Binti Hsyafa,5,
Danang Ary,5,
Fetty Puspita,5,"Menyalurkan energi toddler dengan bermain dah belajar, sangat menyenangkan"
Jeje Jimmy AP,5,"Taman bermain untuk anak, semoga selalu dirawat dan dgunakan dengan baik."
dicko26 allan,4,"Bagus, luas cocok buat momong anak dan acara2 paud/TK"
Albertus W. Nugroho,5,
Birgi Niar,5,Taman bermain dan belajar di kecamatan Jebres. Tempat bersih dan terawat
Ronny Solo,5,
eN Ka,5,"Merupakan salah satu tempat bermain anak yang harus banget pernah dikunjungi, tidak terlalu luas tapi cukup memberikan kesan berharga untuk anak.
Oh ya, tadi pengen ke bagian Radio anak, cuma karena minim informasi jadi kita …"
Danang Tri saputro,5,
Wahyu Indra,5,
Ajrina Lailani,5,"Bagus buat olahraga karena medan nya naik turun, Cocok yang abis sarapan nasi padang"
Awan Mendung,5,
refangga tok,5,Sholluallan naby muhammad
KAPTEN TRI,5,"Desain baru sangat bagus dengan rumput
Anak anak suka sekali disini
Ada prosotan
Ayunan
,Dll
Ada beberapa patung penari
Robot
Dan patung mahluk purba
Gambar 3D ,dll
Gratis ✅
Cuma bayar parkir saja ☑️
Ada toilet✅
Jajanan di sekitar melimpah✅
Dilarang merokok disini ✅
Jangan ngeyel ya pak ✅😄"
Gina syadla,4,
Gigih D Java,5,tempatnya bagus
Ika Dwi Cahyaningsih,4,
Astri Prayitno,5,
Fredy Citra Adi,5,
Muh Rusni,4,Tempatnya semakin bagus..
Nurcahyani eka f,4,
Tuti Mandasari,5,
ganjar prakoso,5,
Rengganis Rengganis,5,"tempatnya bersih,nyaman untuk belajar, luas, ada permainannya dan juga fasilitasnya komplit"
wwardi wardana,3,
Dani Saputra,3,
Imam Fahrudin Fahrudin,5,
Ys OFFICIAL,5,
Safra Kamilia,5,"sudah cukup memuaskan, pelayanan dari kak alba sayang memuaskan🥰 …"
Miming Andriyani,5,Bagus untuk anak2 buat bermain
Didit Yudhi,5,
yeye manan,5,
Kawan Kalem,5,Keren
Laras,5,Bersih rapi ada mushala nya
Swandriana H.M,5,"Wifi oke , namun tidak ada smoking area"
Indira Achmad,5,
Muhammad Subur,5,Goes penikmat pemandangan
Heppy Melia,5,
Novian Sari,5,
Ronald Suryawan,5,
Meidya Cahyaningtias,4,
2,5,"taman bersih, banyak patung, ada taman bermain, banyak pohon jd nggak panas meskipun putdoor. ada tempat buat teater dan tari 👍🏼 …"
Yuni Arif,5,
rudi sutrisna,5,
7D_Celyn_12,4,
Suwarno Mathematic,5,Taman bermain anak yang cukup terawat. Lokasi di belakang uns.
Hai Jollie,5,
