nama,rating,isi_review
Kiwi Just fun,5,Buah ara yang keren
Vlog Santoso,5,
Ip x,5,
Kak Puji Selalu Di Hati,5,Mantabbb
Efendi Setiyanto,5,
Putra Mandiri Jaya,4,
Kanzai Nekuro,4,
Maulana Kharisma,5,
novian eka yudhiansyah,5,
Sifa Khalila,5,
Akat Purnawan,4,
Imam Jaya sembarang,5,Tempat yang asri untuk melepas penat
Syahrul Bahri,5,
Budi Sugiana (Cimot plant),3,Bersih
anak adam,5,
Sucah Yadi,5,"Ajak abang main kesini, sambil nunggu mamahnya potong rambut, tempat nya cukup luas, ada banyak tikar disediakan untuk santai dan memesan makanan atau minuman. …"
Bryan Marcell,5,
Jowik Pratama,5,Pedaftaran ramah.dokernya ramah konsutasi jg enak.tempatnya nyaman.idum sejuk.smoga cepat sembuh.sehat selalu.smuanya
Kaesya Sh,5,
Jorge Blues,5,didepannya aya soto
indra lusiana,5,
Misbakhul Arief,4,
Bang Jack,4,
Muhamad Suparno,5,Pulang kampung
Feri Kurniawan,5,
Pitoyo Indah,5,Tempat yang asik
Syahrul romadhon,5,
Indah Murni,5,
Slamet widodo Widodo,1,
Ervinda putri rahmadhani,5,
Budi Yanto,3,Lumayan buat rekreasi
Ayu Diaz,3,
Chriswanto,5,
Anhan Mekarsari,5,Tempat yang nyaman untuk nongkrong sambil nemenin anak anak bermain
Naim Mam,2,
ANTONIUS DWI SETYO BUDI,5,
Lukman Hapsaro,4,"pengen kasih bintang 5 tapi sempit ini taman, kotanya cukup besar, gak sebanding, dan banyak tumpukan material
tapi untuk olahraga dan maen skateboard cukup
kurang toilet saja yang sering dibutuhin"
Nugraha jati,5,
Adrian Imanunggal,5,Tempat Warm Up Lari & Leg Day
Malik Bahamisah,5,besrsih dan nyaman
Indah Dwi Tupperware,4,
Nur Huda,4,"Teman bermain anak anak, kla bisa kebersihan lingkungan dan kamar mandi ditingkatkan"
Abu Ahmad,4,"Tempat yg sangat teduh, ada banyak pilihan jajanan/makanan, tp wahana tempat bermain anak banyak yg rusak butuh peremajaan lagi. Untuk para pedagang sebaiknya jgn mengkapling tikar dulu utk pembeli sebelum ada pembeli karna mengganggu pengunjung yg ingin lewat.."
Sacia miutmiut,5,
Aldi Po,5,
Rizky Nuriyana Husaini,5,
fauzi handaka,5,
fm id,5,Tamannya cukup luas dan tersedia tempat parkir. Ada berbagai menu camilan makan PKL.
Ivan Javianto,2,Aku dan temen ku kejatuhan ulat bulu di sini 😭😭😭 …
Aiqon Affandi,5,Deket rumah pendopo bupati sragen
Lathif Habibie,4,Enak buat nyantai
Habibie Alfath,5,
Nurul Kadarsih,5,Mau cari makanan aoa aja ada
SandL Ireng,3,
Bimo Krisdayanto,5,
soebrata andhysoebrata,4,Nyaman buat keluarga...
Raditya Irfan,4,
danuari danuari,4,
o gt,5,nyaman bgt
Yrsw,4,"Sebenernya nyaman dan bersih, banyak yg jualan cemilan juga. Tapi minusnya banyak pengamen yg bikin gak nyaman"
darma gm,5,Seneng
Bot Chanel,4,Seru
yoran artato,5,"banyak makanan, bisa jajan di bawah rimbun nya pohon"
Nyumik Radiator,1,
Siti Khotijah,5,Taman di tengah kota ...bagus juga koq ....masih banyak pohon tp harus berbagi dgn burung dara
Alvin Wandala,1,
Singgih Riyadi,5,
Iman Gofur,5,Tempat nyaman untuk rekreasi keluarga
Danang Santoso,5,
Irfanz 17,5,
AGUSTINUS YOSUA MARENO WIDYATAMA,3,
Ricky Raka,1,"WC gak layak tanpa sekat,bau Pesing,dikit dikit di parkiran,mestinya parkit jika ada even saja"
Ita Yuliana,5,Tempat bermain dan santai dengan keluarga cukup nyaman ditengah kota Sragen
Taryali Ali,5,Adem  bisa untuk santai buat keluarga sambel ngopi
Sego Mambu,1,"Niat cuma rokokan sebatang motor di tungguin di depan muka ga sampe sejangkah. Waktu mau balik di samperin kang parkirnya. Ngomongin bayar parkir dengan nada seolah memaksa. 🤣 ya bener sih 2000 tapi ya lihat² dulu lah pak.
kesannya malah kayak tukang palak. …"
try tm,4,
ardian widyatama,5,"Tempat asri sekali, banyak pedagang kopi cocok sangat untuk menghabiskan liburan dan nongkrong untuk anak muda"
BUDI KUKILO Channel,5,
Siti Fathonah,5,
Sur Surono,5,"Pernah istirahat disini
Sejuk nyaman sambil menikmati dawet Ayu"
Idang Retna,4,"Bagus v
Bersih hanya kurang aman untuk anak kecil"
Sutris No,3,
Raden Ajeng,5,
agus susi,5,
dodhy yustisiangga,5,"Tempat rindang dan teduh, nyaman buat menenangkan diri.
Alat alat permainan anak2 tidak terawat dan rusak. Taman pagi bersih, disapu Ibu2. Pagi2 bisa kasih makan burung dara banyak. Yg jualan tolong saling menjaga kebersihan agar tidak kumuh."
Edi Teguh N.,5,
Ratih Wardani,5,
Sentot Arysanto,3,Tidak apa-apa
Adityayoga,4,
Dwi Prasetyo,4,
Salma Romdani,5,
Sholi Khun,5,
Elde Oscilata,4,"Hari Minggu sangat ramai. Ada area bermain untuk anak, meskipun tidak banyak jenis mainannya. Tersedia juga area untuk jogging track. Tempatnya teduh karena banyak pepohonan besar. Sayangnya untuk area bermain anak masih kurang langkap dan kurang terawat."
Uci Luthfi,5,
Rizqi Saputra12,5,
Niken Puspitasari12,4,
Rais Nurdiyanto,5,
irvan stywn,4,"Tempat rekomendasi untuk jalan-jalan dan bermain anak. Sayangnya banyak mainan anak yang sudah rusak dan minim perawatan dan perbaikan.
Banyak jajanan dari PKL dijamin tidak akan kelaparan atau kehausan, cuma sayang …"
Alvin Saputra,4,
Adithiya Galih,5,Jantung kota
Nandhita putri,5,"kaka nya sangat ramah ,"
Sonu Konbu,5,bagusss
tony Poejono,5,"Sangat Bagus, Memberikan peluang UMKM,untuk tempat pentas seni,"
Asri Yuniar,5,
Choirun Nisa,5,"Sangat nyaman, bahkan saat nongkrong siang hari"
Arif Suhendar,5,Tempat nyaman sejuk.. damai.. asik bet kalo pagi
Mama Ucik,4,😉 …
Danna Suandana,4,"Full jajanan
Suasana idum adem

Mines kadang banyak pengamen"
cansa paeqiya,5,
REVALDO YAHYA,4,"Tempatnya sangat nyaman untuk bersantai dan berolahraga. hanya saja, tempatnya tidak terawat banyak fasilitas yang sudah rusak."
Salsa Fmls,5,
Docter Motor Ary Setyawan (Pak Docter),5,
Sherly Talk,5,"Sejuk tenang, nyaman"
Ridho Asmoro,4,Sejuk
Sepby Widyo,5,OKE
agus nofal,5,Rame dan bagus
wen ween,5,Jalan jalan sore
Benedhictus Ivander,5,Bagus buat bengong jernihin pikiran
Geraldhi anugerah Wicaksono,4,Cocok untuk bercengkrama
Dewa Kegelapan,5,Asyik untuk istirahat
Tri Haryanto,5,"Warung pecel legend, berawal dari emperan rumah, sekarang warung nya sudah besar"
Viana Sari,5,
Fahryan Bendot,5,
sartono Joper,5,
Qoonitaatun Nur_Hidayah,4,
Shibghotullah Arjasha,5,
JOHANES KRISTIYANTO,5,
omtaty atmojo,5,Tempatnya sejuk. Tetapi mohon tempat bermain anaknya segera diperbaruhi karena ada yang rusak dan takutnya melukai anak yang bermain.
Budi Agraham,5,
Dha Nang,5,
Rinna Istiqomah,5,Tempat ngobrol enak bersama teman untuk yang suka alam
tri sarjana,4,"Tempat bermain keluarga dengan budget murah, tinggal pilih jajanan yg ada, lokasi di tengah kota"
MJP,2,"Sekarang sepi, tidak terawat, cenderung kotor, wifi juga mati skrg"
Keivano Nadrianso,5,
Lailatul Qadr,5,Arena taman bermain untuk anak anak dan cocok buat jajan kulineran
Gus Man,5,Adem..... Dingin.
Mugi Raharjo,5,
ANDREAN SYAH,5,Taman hiburan keluarga
Eriyanto Seputro,5,
Sukarno Karno,5,
Rifky Aditya,5,
ripki kelabu,5,👍👍 …
A. Tulus Amini,5,Shofwa Mumtaza
Nur Fitria Handayani,5,Luar biasa
Anik Suwarni,4,"Enak , nyaman"
Erna bundane alifa,4,"Asyik tempatnya,banyak makanan yg bisa dibeli dan minuman,cocok buat nongkrong,tapi menjadi sedikit tdk nyaman dgn adanya pengamen yg kdg ngk henti henti"
Alvin anugerah,5,"*WIFI MYREPUBLIC UPDATE HARGA PROMO FLAT BERLANGGANAN*

_*KHUSUS UNTUK ANDA YG BELUM PASANG SEGERA PASANG GRATISSS !!!*_ …"
firman_ project,5,Tempatnya nyaman cuma terlalu banyak pengamen jalanan jadinya ngak bisa santai
efa marliani,5,Adem
Budi siWB,5,"Enaknya kalau makannya banyak 😁
Bagus untuk anak-anak"" …"
Muhammad Nurrochim,4,
Wi Yono,5,nyaman n rindang
Rahayu,3,
Angelia Kusumawati,4,
turino ae,4,
Wulan Afifah,5,
Cahya J,5,Keren
Golek Rejeki,5,
Q fly,5,Mohon untuk menghubungi dulu
Lulus Hesti,5,
Lina DK,5,
Irfan Razoor,4,
Pradita Hendy,3,
Agus Kuncung Official,2,
yuli 26,5,
ikutin arus,5,Tempat nya lumayan nyaman dan banyak tempat buat duduk yg disediakan
eko susilo,5,
agus luminthu21,5,Tempat yang sejuk buat nongkong sm temen atau keluarga.nuansa pepohonan yang rindang dapat membuat betah pengunjung taman kridoanggo.tempat setrategis dari kota sragen
Karindwi. 25,4,
Ahmad Ali,5,Bersertifikat salon kecantikan dan berpengalaman di bidang kecantikan
Mujianto Purnomo,2,Sejuk
Eko Priyanto,5,
Moh. Nizam Thursana,5,
Bunga Saputro,5,
juragan tuyul,5,
Mama Kiky,5,
neptunenisa,4,"Tamannya luas, ada arena bermain juga buat anak anak. Kalau mau jajan banyak yang jual trus disediakan tikar juga. Kalau mau sholat mayan deket sama masjid."
Azaa Dio,4,"Taman Kridoanggo merupakan taman yang terletak di jantung kota sragen, tidak jauh dari alun-alun sasono langen putra sragen. Di Taman Kridoanggo Sragen banyak sekali pedagang kaki lima yang menjajakan berbagai jenis makanan, tentunya sangat …"
Majid_wahonoglik made,5,
petrus osin,5,Tempat yg nyaman untuk nyantai dengan keluarga
Yanto YMS,5,
Tanaya,1,
Rahmad wijayanto,5,
noefold,4,
Devid Erlandia chandra andi nugroho,4,
M Fathoni,4,
Alfia nur Fadhilla,4,
Ikhmal Maulana,5,"Tempatnya enak buat nongkrong, sejuk, banyak jajanannya juga. Cuma minusnya banyak pengamennya."
Eko Cahyosuparno,5,
enjel enjel,5,"taman nya bersihh cocok buat nongkrong santai sama teman, banyak yang jual minuman dan makanan, ada taman bermainnya juga, toilet nya lumayan bersih"
SU PARTI,5,
Nunuk mei Susana,5,
Epi Kurniasari,1,
Aviemba Yoga Negara,5,Enak buat nongki
heri menthil,5,bagus hanya toiletnya yg harus dibuka 24 jam
Umiyati,1,Senang ketemu temen kerja di sip b
Antoni Muhammadirsyad,5,
Suki Yanto,5,Bagus
meinjar romadona,5,Wahana permainan anak seperti perosotan dan ayunan minta diperbaiki minimal di cat ulang
Agung Handoko,4,
Sensen,5,"Tempat nya sejuk karena banyak pohon pohon yang mengelilingi sekitar taman.
Idung dan cocok untuk apapun kalangan.
Tempatnya cukup luas sekali untuk bersantai.
Disekitar juga ada yang jualan makanan atau minuman"
Mei Utami,4,"Bagus kali ya kalo lampu penerangan ditambah lagi, jadi tuh kalo buat nongkrong lebih nyaman
Sekian dan terima info perubahan.. hahaha"
duwi yono,5,
Isa Patriatama,5,
Anto Viryal,5,
catur pamilutomo,4,
Hudzaifah Abu,4,
zoe cr,4,
iyox sastrojendro,5,
Sofa Wasito,5,
03 Rahmat Adi Nursanto,4,
Tutik Mutiarsih,5,
ANGGA RIAU V,5,
KENZO CHANEL,5,
Dikdayadi doytech,5,
Alvian Rey,4,"Taman yg cukup banyak pepohonan, ada semavam area teater melingkar"
Rosita Dewi,5,
Affan Syah,4,
Agus Supriyanto,5,Dingin
Amario Aguzt,5,Sejuk segar aman dan nyaman buat santai
Hati Ke hati,5,
Taufiq hidayat,5,
Subaadi,3,
Taufik Setiadi,5,
Denny Saputra,5,Tempat nyaman dan ada yang jualan sekitar taman kridoanggo..
Suga D,4,Taman kota dekat rumah dinas bupati sragen. Tempat parkir dan area taman luas. Tempat juga lumayan bersih dan enak untuk melepas penat. Banyak penjual juga.
swara andika fm,5,Dari belanja mampir ngadem sebentar melepas penat
Kurnia badari,5,"Tempatnya enak utk bersantai , nongki"" ,menghilangkan kepenatan sehabis bekerja,bermain..tolong lbh di tingkatkan lg kebersihannya👍👍😊 …"
Galih Putra,4,
Nur Kolis,5,
Petis Petis,5,Cocok buat nongkrong
Afthoni 3313,4,
prannowo amboro,4,
Ayu Gitarani,5,"Bisa ajak anak2 main disini krn ada area bermain ny,ada juga yg sewain mobil & sepeda listrik,melukis,pancing ikan,dll mau santai2 sambil jajan juga bisa."
Game Zaky,4,
Ucik Wahyuningtyas,5,
Dyah ayu Yu,5,
Ning Ning,3,
p anik sanika zarin,5,Bersih.. Keren
andry wahyu septyana,5,
Andi 28,5,
etnik creative,5,
irul hidayat,5,
sonny prasetyo,5,"Asri, bersih dan rindang."
Bram Sabattino,5,
Keliling Indonesia,5,
Mas Baian,4,
dina rusmiyati,5,Mantap ramah jamin jual jujur minus dikasih tahu
tardi ganteng,5,
Luluk Nurjanah,4,
Hari Suryanto,4,
Putra cenel,4,
Sagara Kenzo,5,
moms freyaa,5,
Aulia 03,5,
alfian restuyudha,5,
tofik koko iskandar,5,Cocok go momong bocah
Aziz Putune Mbah Parlan,5,
Ardan Adi Nugroho,4,
hanifun nabiel,5,
Fajar mei,5,
By Ommega,5,
Hello Fah!!,4,"Penerangan lebih baik, tempat bersih, meskipun banyak orang merokok di depan papan larangan merokok"
Muhammad Risky,5,"Tempat asik buat rekreasi tipis"" bersantai sambil menikmati jajanan warung sekitar taman.

Kesadaran pengunjung utuk buang sampah  pada tempatnya masih kurang jadi masih banyak sampah"" berceceran."
Iftah Afthoni,5,
agunk nugra,4,"Buat refreshing tipis2 bagus ini..
Note :

Ada parkir resmi yg dia harus nunjukin KTA, kalau ada bapak2 pakai rompi orange dan minta parkir,itu parkir liar.. baru datang langsung minta uang kalau yg parkir liar"
Roni Setyawan,1,
setiawan bimantara,5,
Budi Susetyo,5,Nyaman
Bondan Respati Taufiq Akbar,5,
Wiwin,5,
Tri Aquarius,4,
MATTORI HANSAMU,5,Taman yang bagus untuk di kunjungi semua orang
Galen Nolan,5,Ada tempat bermain anak anak asik jg
hafla sport,5,Nyaman
Baruna Eko Saputro,5,"bagus tempatnya enak, sayangnya terlalu banyak pengamen"
Diniandini dhin,5,
Paryanto Anto,5,
Putut Basuki,5,
Sulthon Sulthon,5,Bagus
Aji Karsono Channel,5,Bagus
Kriss,5,
elawati elawati,5,
adrian juanan,4,Sebaiknya bebas biaya parkir
januar pambudi,5,
Hamadi Mantan,3,
Menthon Bakery,5,
Dargon Barbershop BARBBERSHOP,3,
Yusuf Anshori,4,Mainanya kurang seru
Upik Marsita Dewi,4,Jajanan termurah di sragen. Banyak pilihan makanan cuma 1 yg mengganggu (banyaknya pengamen)
ista taqimah,5,
Ferguso Jr 86,5,"Adem, bersih.."
Abdurrahman Syaifullah,5,
Unymaika Nobbeliary,5,
L O S T A M A S T A,5,
Hanif,5,lumayan
Erna Nopitasari,4,
widarsih h,4,
Lilik Sugiarto,5,
Agus tugie Murai,5,
d0eL _ar,5,Nyaman
SN_ Ayuck,5,"Tempat nya bersih,dan nyaman untuk bersantai..sejuk dan bnyak sekali bangunan kuno nya"
Firda NF,5,"Makanannya enak dan murah, harus cobain minuman di gerobak extra, minuman jumbo super murah sama nasgor grobaknya, cap cay murah tapi enak bgt, minusnya banyak anak punk ngamen, tapi oke kok buat santai"
Adi Yulianto,4,Lumayan adem dan teduh
Puput Irfanto,5,
Eko Sasmito,5,
Ferdy Susatyo Widyatmoko,5,
Wandi Pastflo,5,
Ujiteng Dwi,5,
Lisa Anggraeni,5,
Ajjeng Sannia,5,"Tamannya enak , luas.
Banyak jajanan , enak buat nongki"
1. Smart Pedia,4,
Lina Istiyani,5,
Mas Catur Tour&Kuliner,5,
cekerayamyangmembara,5,"taman yang cocok untuk bersantai, dan banyak makanan kaki lima yang wajib dicoba. disana juga ada mainan seperti melukis, sekuter, Mobil-mobilan yang bisa untuk anak-anak"
service cuciac,4,
Nitta Permatasari,5,
Muhammad Rahmad,3,"Kurang nyaman, karena banyak pengamen dll. Seharusnya taman adalah tempat hiburan namun teryata ini tidak,  terganggu oleh hal2 itu"
Dhoel 817,5,Tempatnya mudah dijangkau dan yg pasti cocok buat semua kalangan 😊😊 …
Devieragg Isacc,5,"Banyak kulinernya, apalagi ada steak yang sangat enak harga cuma 10.000 aja 😍😍 …"
Didik Siswanto,4,
Kiki Febriantika,1,"tukang parkirnya sangat buruk. saya mampir ke taman lupa bawa uang saya mau ke atm ambil uang.helm saya akhirnya disita dan si tukang parkir mengolok2 ""kalau gak punya uang gak usah keluar, ngajak pacar keluar kok gak gak punya uang dasar …"
Angga Ra,5,"Ini adalah taman kota yang terletak dikawasan rumah dinas bupati..disini ada arena bermain anak seperti jungkat jungkit,ayunan,prosotan dll..ada semacam tempat mini teater buat pertunjukan out door..banyak dipake buat bermain dan berlatih …"
Brokenci Dedi,5,Nyaman buat nongkrong
Aan Agung Setiawan,5,
Nandar Westerly,5,
Aagus Sis,5,Sangat nyaman buat piknik
shao chih Yang,5,
Mumun 89,5,"Tempatnya bagus,apalagi buat anak2 ada yg jual makanan ringan,cuma terlalu banyak pengamenya sih"
Ari Kurniawan,5,
Herlien Novitosari,5,
Dafa Fregusta,5,
Fariha N Baiti,5,"Tamannya rindang, sejuk.."
Sutrisno Trisno,3,"Tempatnya lumayan bagus untuk nyantai,& bersih"
Pipit Aryanik,5,
Gondrong,5,
Ipik Dancok,3,Mulai tidak terawat
Nino Yulian,5,Banyak pohon rindang. Cukup nyaman untuk berteduh di siang hari. Ada beberapa penjual makanan.
Gofar go,4,
Wahyu Toyota Solo,5,
Aska Zhurufah,4,
Tri Gihardi,4,
Diro Joyo,5,
Rina Yu,4,
Shella Febby,5,
diekha pertiwi,5,Bagus
Lely Aprilia,5,"Tempatnya nyaman, teduh, toiletnya bersih. Parkir motor cuma 2 ribu. Dari rumah saya suka membawa bibit untuk memberi makan merpati. Anak-anak sangat menyukai ini"
Ary Agung Nugroho,5,Baik..amanah
Pujianto Slamet,3,Nyaman
Agung Mulyono,5,Aneka jajanan ada tempat nongkrong
Hasan Munafri,5,
Trio Kurniawan sanjaya,4,
Itta jr,5,"Enak buat santai, banyak jajanan"
Achmad Sujianto,5,Seblak enak pas dan harga yang murah
Alif Nur Mualimin,5,
Fitrian,5,Tempat nyaman untuk sekedar menikmati sore di Sragen.. banyak penjual di pinggir jalan
robert pramono,5,Lumayan untuk bermain di luar ruangan kalau bosan di rumah daripada main hp
Yudhistira Satria,4,Tempat asyik buat momong si kecil
Eko Nurcahyanto,5,"paling disukai anak perempuan saya kalau main skuter listrik, muter² sampai yg liat puyeng 😁😁😁 …"
Titik Wulandari,5,"Cocok bgt buat tempat nongki sama temen"", banyak jajanan menarik, usahain klo kesini bawa uang receh soalnya banyak pengamen jga"
Widy P ijoe,4,Taman kota lama yg bagus buat keluarga
Evi Haryani,5,
Hutomo Kurniawan,5,"Taman yang asri, bagus buat keluarga terutama anak anak"
Rahayu Andriano,4,"Adem...ga terlalu berisik
Nongkrong sambil jajan"
Rendi Radit,5,
SABIQ ALAM,5,
Luana ekayanti,5,"Tempat  atau taman warga sragen yg murah meriah,,ngadem,,jagongan ,wedangan dengan iringan musik dari pengamen😁 …"
mads afandist,5,Bisa jadi tempat nongkrong pengganti alun alun walaupun tak seramai alun alun
Aan Anuari,5,Bagus
Agil Prananta Gibran,5,sangat indah
Neha Irjanari Teklin,1,Lumayan untuk tempat bertemu
Gus Med,1,
ARI Widodo,3,Tempat singgah buat santai
dewi kusida watik,5,
Alfindo Benasri,5,
Dedek Dwija,5,
Ulin Nuha,5,
Agung Nugroho,4,"Nyaman, banyak street food"
NurKharisma Burhani,5,"Tempatnya nyaman, rindang, toilet bersih. Parkir motor 2 ribu aja. Dari rumah suka bawa biji2an buat ngasih makan burung dara. Kids love this so much"
RIA ISNAINI,4,
Sukarno Atta,5,Oke
Safitri Ekawati,4,
Haikal Fikri,4,
Endras AP,5,
ananda sumarno,3,
Hessy Hardanik,5,
RIZKI RAMADHANI,5,
Ghurar Ghazi,5,Bagus
ALFONSUS ALDI,5,
Ricky 1180,4,
Lilik Sragen,5,
[dc]enjoyy andrean,4,
Masgon Banyu Langit,4,"Masih dalm protokol kesehatan
Beluk normal dr segi kehadiran warga utk bersantai..."
IT'S ME Ratih 1717,5,
Nafilaroyani Putri,4,
YhaYoo TV,3,
Nn. Fabarulita,3,
Tanjung afika,4,
Alief_ Project,5,
Alfi Ori,5,"Alhamdulillah, tamannya bersih dan rapi. Disini enak kalau buat nugas atau ngobrol. Karena banyak yng jualan jadi kalau lapar dan ingin jajan buat ngemil. Mantap banget. Dan kalau semisal ingin sholat disini deket masjid juga.   🌸🌼⚘ …"
Riki Asmadi,4,
Justice For All,4,Nyaman
Mas Rois,5,
Rahayuning Pratiwi,5,"Tempatnya enak buat belajar, piknik dan main."
KANG LILIK CHANEL,5,"Banyak pilihan bermain buat anak anak , jajanan juga banyak di pinggir jalan .."
Yopi Haryanto,1,
Rike dian Ningtyas,5,
tri kecok,5,
PRASS 252_,5,
Ali Makmun,5,
Dika Lestioko,5,
"edi pramono, SKM/elderly care",5,
azh hary,4,"Tempat nyaman,tp tidak ada yang jualan di dalam jadi harus bawa bekal dari luar,kalau mau jalan sampai danau juga agak jauh"
Gak Tahuu,5,Siip
panggil aku farii,5,
Endah Srihastuti,5,
Nourman Heryanto,5,
Agus Anto,3,Temptnya sejuk nyaman pas buat nyatai bareng keluarga
ardhi ervan,5,
Melisa,3,
Yesi Puspitasari,5,"Nyaman, kuliner dg harga terjangkau bisa ajak anak bermain sambil jajan 😁 …"
Vella Ariska,4,
Wigit Setiawan,5,
bamz setyawan,4,
Ahmad Nazi,4,Bagus
Wahyu Nugroho,5,
Zaki Anwar,5,
Lowati Susi,5,
Joshea,3,
Wening,4,
Brambang goreng TJ 234 Brambang goreng TJ 234,4,
Erfin Juragan,5,
Redianto Redianto,5,wifinya mati
Wildan Mushoffa,5,
Bilal Hafid,5,Tetap kuat...
Shidik Aza,5,Kamar mandi kurang nyaman_
Panggil Ilham,5,
Lukito Suyono,4,
Erna Safitri,5,
iis gudqie,5,"sempat mampir malem malem
tamannya nyaman
ada mainan anak juga
cuman pengamennya banyak ya hehe"
Johan Prasetyo (Bang Jhon),4,
Rohmad Mutaqin,5,Menyesap
esti Safitri,1,B aja
Malik Alqudwah,5,ngadem sambil ngesteh sini ^
Erelde Project,4,
Hpy Kharisma,4,
Herjuno Muhammad,5,
Heri driver 231,5,
Ali Topan2121,3,Bagus
Dyah Shanty Oktaviani,5,"Suka bgt nongki disini, tempatnya tenang, ada beberapa pedagang juga buat sekedar beli jajanan, minesnya banyak pengamen."
Riko Setiawan,4,
ibeng Aksovia,5,Tempat mma yang real
Yeti Kusmiati,5,Tamannya anak2 Sragen 👍👍 …
Khoirunnisa,5,Pelayanan good
Adi Otong,1,Tempat kurang safty buat anak²
