nama,rating,isi_review
YUANTO PRAYUDI,4,"Salah satu tempat wisata yang super murah di klaten yaitu Taman Lampion Klaten. Terletak di Gang Tidar, Bareng Lor, Klaten Utara atau bersebelahan dengan PMI Klaten. Sangat cocok untuk bermain anak-anak, tempatnya luas, untuk bersantai …"
SUKISTO RAGIL PRABOWO,3,Sebagai tempat yang nyaman untuk anak anak
Agus Supadi,4,
Faizka Ra,5,"Enak untuk ngajak main anak... playground free n teduh. Tapi nyamuk bnyak bgt... pakai baju panjang n lotion biar aman.
Parkir juga kurah 2rb motor 3rb mobil"
nanang widiyantoro,5,Murah meriah..jogging atau sekedar main
Mr. Wijaya,3,Tempat parkir lumayan. Kebersihan taman lumayan. Fasilitas bermain anak banyak yang sudah rusak dan berbahaya. Air pancuran menggenang kotor. Yuk tingkatkan pemeliharaan harian dan jangka panjang agar nyaman buat publik
Hari Sokadhana,4,Salah satu taman yang nyaman buat olahraga maupun untuk refreshing
Sumardari Aprilia,4,"Lumayan sejuk di tengah klaten yg syumuk. Pohon2nya rindang, petugas yg merawat taman juga banyak. Bisa buat muter2 joging pagi/sore. Tp sayang wahana bermain anaknya udh pada rusak."
Pranolo Adi luhung,5,
Toms Transport,5,Klaten keren
Little Family,5,"Luas
Rindang
Bersih …"
Mutiara Ihdina,5,"Taman dengan tempat bermain yang sangat cocok untuk memanfaatkan waktu bermain dengan anak..
Dengan 2 area yang terdapat tempat bermain, akan sangat semakin nyaman jika alat …"
Bagus Muhammad Gibral,5,"Taman Lampion Klaten menawarkan destinasi wisata malam yang menarik dan terjangkau, terutama bagi keluarga dan pasangan. Keindahan lampion yang berwarna-warni menciptakan suasana yang menyenangkan untuk berjalan-jalan dan berfoto. Dengan …"
tri prasetyo,5,Mantaps
muhammad fatoni fatoni,5,Alhamdulillaah
Inggar Pradipta,5,
Kusuma Wardhani,4,Sejuk
Alfian Helmi,5,
Hasian Hasian,5,👍👍👍👍 …
Madani House,4,"Awalnya mau ke pasar malam, tapi karena sangat fenuh dan fadat, auto pusing duluan, akhirnya mlipir cari tempat nongkrong lainnya. …"
amri nugroho,5,"Suasana sejuk dan tetap terawat,hanya kolam yg sedikit kotor

Tetapi overall cocok buat main anak dan jalan santai"
Ardy Firmansyah,5,
Riska Dwi Astia Ningrum,5,"luas banget, sejuk ijo-ijo
ada playground untuk anak-anak"
Dwi Catur Yuniandrianto,4,
Fiqq,3,
rumi yati,5,
Septiati,5,
Alektra X,5,
Mukti Wibowo,5,
Purwanto Soc,3,
ayudyavandaa,5,
We Got Lyric,5,
alfha raziq,5,sangat bagus
Auliya Nur Sabila,4,
Taufiqur Rohman,5,Taman Lampion Klaten merupakan Ruang Terbuka Hijau yang diperuntukkan untuk taman bagi warga Klaten. Lokasinya berada di pinggir jalan utama Kabupaten Klaten dekat PMI. Pintu depan berupa gapura besar dengan simbol lampion. Lokasi …
himawan hendrasto,3,
Nurul ST,5,
Excello Julio,5,
suprihana hana,5,Taman kota yang keren
Resita Wulandari,5,Nyaman asri enak. Tapi banyak nyamuk. Prefer pake autan
Udin tuju,4,
idda Farida,3,
Linda Citra,5,
Zainal Abidin,5,
Rochmadi rochmadi,4,
Yuna Tika,5,Bagus recommended buat kaum low budget nih
Aulia Nirbitha Sintarani (Au'),5,
annisaa daning,5,tempat yang teduh dan cocok untuk piknik
Fajar Dwi Atmaja,5,
roseee rosee,5,
Eric Eriyanto,5,"susu segar mas riyan ini enak bangett... Aneka rasanya juga banyak,ada juga aneka Bakaran yang siap di santap dan hanya  rp.1000 aja per tusuk"
Seger Prabowo,5,Mantap
Yudha Tama (Yudha),5,
Slamet Sumadi,5,
Komar Kamaruddin,4,
Dani Setiawan,5,Mesin eService
Tapak Lebar,4,Perawatan tolong ditingkatkan
"Arif eko Yulianto, S.T",4,
Baroto Sumitro,5,
E. Nurochman,5,
Andhita Yanu,5,"dulu tempat ini sangat bagus dan terawat tetapi sekarang saya lihat sudah tidak terawat lagi.
semoga mendapat perhatian dr pemerintah kab klaten, ini tempat bagus untuk olahraga juga, jd mohon untuk dibenahi"
aris,5,Semua ok kecuali minus dipetugas parkirnya karena tidak mmenggunakan seragam parkir.
dwi shinta,5,
Kiki Irma,4,
GALDIRA K.N.A,2,
PPA Tanggo,5,
Khoirus Sabiq,5,
Asopsobirin Sobirin,5,Nyaman
Heny Purwanti,5,"Bagus,, recomended tuk bermain anak"
sylmita dm,5,
Argha Saputra Dewa,4,"Tempatnya Luas Besar Bagus .
Tapi Hati2 Lo Kadang Ada Ular Lewat 😄 …"
huda skp,5,Hutan kota bersih
Arga Ananta,5,Tempat rekreasi bertemakan alam
JeJe Namosha,5,
Pradika Hermawan,5,
Vio Aksa,5,Sejuk
Ruri Maridjan,5,Daerah dingin
Wahyu Ningsih,5,
sandy kurniyawan,5,
Yukiyem Yuyun,4,"Tman lampion klaten tempat nya sangat luas , enak ccok buat ngobrol , selfie2"
Rohim Worldwide,5,
Ilham adi,5,Tempat yang nyaman untuk berekreasi bersama keluarga ✌🏻✌🏻 …
Vanie Imoet,5,"Taman lampion Klaten t ambah asri,, nyaman di siang hari,, kalau malam banyak permainan anak anak,, rekomendasi kalau mau cari tempat buat acara 👍😍 …"
Muhammad Fauzan,5,"Tempat sejuk nyaman untuk bermain anak anak.. tetapi banyak yg harus di benahi.. sperti ujung prosotan mungkin bisa di benahi di bikin pasir atau sejenisnya yg membuat anak prosotan itu aman.. dan jembatan"" butuh di perbarui kayu"" nya.. semoga segera di benahi ,,"
Satya Perwira,3,
Kayla Syaza,5,
Laily Akmalia,5,"Tempatnya luas, sejuk rindang"
Septi Sahastuti,5,
Ronggo Panuntun,5,
Ayu Dhita Gilang Kusuma,4,"Tempat luas sejuk, nyaman untuk olah raga maupun belajar"
Farida Nur Aisyiyah,4,"Tempatnya nyaman, adem, asri. Cocok untuk kegiatan outdoor. Gratis
Hanya bayar parkir aja. Untuk ijin penyelenggaraan acara bisa menghubungi DLHK Kab. Klaten. …"
latifah nugroho,5,
hendra harmoko,4,"Luas, teduh, tanaman lumayan terawat. Cocok utk olahraga jalan santai bersama keluarga."
BARA OSCAR,4,sejuk
Ahmad Luqman,4,
Samijan Samijan,5,
prasth djogja,3,kurang menarik
chandra gutama,5,
Dina Febry,5,
Zafran Setiawan,5,Tempat nyaman buat main
R_Dwi_C freak,5,"Tempatnya rindang sangat nyaman, mau datang pagi siang malam sangat cocok,"
ASTRA,5,Taman yang bagus indah cocok buat nyore disana
Tangguh Perkasa,5,Buat ngelamun
Puji Raharjo,5,Gratiss
Shidik Aza,4,Tempat yg luas_
BENGKEL CAT MOBIL “putra PAK YONO”,4,
Andy Setyawan,5,
verly nando puput nugroho,5,
Dira Teknik,5,
agus hajianto,5,
dp spd,5,Makhluk
Akilla Nashira,5,
Muhammad Hanung,5,
Kurnia Aprilliany,4,"Kurang terawat aja sih, coba dipoles dikit lagi lampu yg udah rusak itu, pasti lebih baik"
Rizky Ramadhan Baried,5,"Tempat hiburan murah, banyak mainan dan tempat bermain bersama."
Nurul Khasanah,4,
Daniel Cahyo,5,
Wahyu Jombokarto,5,Sungguh tempat yang penuh pohon...pelepas dahaga bagi pecinta O2 ditengah tengah kepungan hawa kota yang panas memanggang...😍🥰 …
Eko Marsudi,5,"Salah satu taman kota yang ada sudut kota Klaten, yang selalu siap menemani anda bersama keluarga, di saat ingin menikmati suasana udara segar serta wahana mainan anak-anak didukung dengan fasilitas umum yang memadai, letak geografis sehingga mudah dijangkau oleh mobilitas umum maupun pribadi,"
Shilva Monica,5,Kesini malam karna anter ponakan dulu pengen naik permainan. Dulu rame disini tuh banyak permainan anak2. Bisa melukis juga. Jalan ke dalamnya bagus ada patung patung juga
Dinda Febriani,5,"Yaa namanya taman pasti ijo"" lah yee~
Tempatnya child friendly, buat olahraga cocok jg"
Hermawan Nugroho,5,"Cocok buat menghilangkan penat seharian,,"
Abu Akhdan,5,
Rizky Asih,5,Taman taman indah rapi...
erwin nugroho,5,
Ana Yulianti,5,cocok untuk bersantai bareng keluarga
Dwight Zul,4,Tempat nyantai disaat hari panas nongkrong di tmn bagian belakang adem
Adi Yulian Saputra,5,
Febri Prasetyo,5,Taman kecil yang cukup rindang
