nama,rating,isi_review
Karen Naella,5,
Adhi Art,5,
Agus Triasmono,5,
Suprih Anto,3,
Dasuki Achmad,4,Satu-satunya museum kars di Jawa Tengah
YPKT Channel,5,
B Pram,3,
Ahmad D Rokhman,5,
Putra adi perdana,5,
fayaaz al fatih,4,
Turina Cahyowati,5,seruu banget
Iwang Sawunggalih Pramana (Iwang),5,Bersih
Tri fauziahstone,3,
Darrel Arsyad,5,
Tri Sutriyanto,5,"Mantapp sambal dan Ikan Tuna nya
Pilihan Menu :
Tuna Goreng Sambal Lalapan
Tuna Goreng Double Sambal Matah
Tuna Goreng Double Sambal Bawang
Chicken Katsu
Aneka Gorengan
Es Teh, Kopi & Minuman Dingin

Yokkkk gassskeun ke Shafira Kitchen Praci"
MR MM,5,"Museum bagus, selalu buka, tp sayang minim promosi"
Wahyu Indra,5,Bagus
Nungkat Wijayanto,4,
Martono 246,5,Dan
Fajri Hidayat,5,Enak buat ngadem momong anak
panggih pranoto,5,Oke
Sigit Sugiri,5,
Alexander Ong,5,
Dheajeng Putri Septia Maharani,5,Fasilitas nya cukup memadai
DIAN_DIAN. ID,4,
alam ginting,5,"Bagus, nyaman juga untuk istirahat"
rere_ cuNgkring,5,
alifa ghaifani,5,
Gie Supriyatna,5,
Yulius Galih Aji,3,
Othep Rider,3,"Bagus, tapi perlu perawatan dan penambahan fasilitas...seperti toilet di tempat parkir"
Dhimas Blangkon Adja,5,Tempatnya sangat luas cocok untuk rekreasi bersama keluarga
Suharyo Aja,5,
Sogi Tumbara,5,👍 …
Eka Andry,5,
Ningsih Sea,5,Lumayan bagus
el Rusdy Chuanel,4,Menarik
Putri Rahayu,5,Lokasinya indah cocok buat foto2
Aryo Bandoro,5,Lokasi tepat di Pegunungan Sewu dengan bentang alam karst yang indah
Karmi 2017,5,
Dedi Trihatmoko (Abu Hudzaifah),5,"Taman lumayan luas dan bersih, hanya saja masih lumayan sepi karena kurang ter ekspos.
Semoga kedepannya bisa menjadi wisata unggulan wonogiri. …"
Giyatno No,5,"Sate nya enak harga nya juga gk bikin kantong jebol, ws pokok nya mak nyuuusss"
yekti utami,4,
RY Channel,5,"Sangat luas,cocok dijadikan tempat berlibur. Tapi saat pandemi ini masih tutup."
Dwi Prasetyo,3,"Hanya lewat dan numpang foto di gerbang parkiran saja, karena masih tutup imbas dari pandemi yang belum berakhir"
Endri Setiawan,5,
Baroto Ontoseno,5,
Mbah Gunung,5,"Keren lah.,.bagus lah..."
desy setia,3,buat hiburan sorean
