nama,rating,isi_review
Adi Baonk,3,"Sekedar buat istirahat setelah perjalanan,udaranya sejuk"
Rizki Aulia Rohmat,5,Bagus menyenangkan
adjie basit,5,Nyaman untuk ajak anak anak bermain
Agus Dares88,5,
Mutiara Intan.r.d,5,
DJ Andrea.c.Haryanto,4,"Tempatnya sekarang dipenenuhi pedangang kaki lima , jadi tamannya nggak keliatan"
Magmoat Ensan,5,Sebuah kuil dan taman yang indah yang memadukan budaya dan kesederhanaan Indonesia. Tempat ini juga menyediakan berbagai macam makanan dan terletak di tengah kota.
Fitriya Royan,5,Sangat cocok sebagai patokan
Eko Suraji,5,
YM chanel,4,
Umma Syafira,4,
Joko Lah Klo Bgtu,5,Soto kulon Taman Pancasila
Abimayu Jaya steel,5,
krisbandono syaidy,5,
A Setiawan,5,
Lukman Hakim,5,
Asahel Suyanto,5,
Anton fahudin,5,tempat kuliner malam
Yova P. Ariyandi,5,
Alvian Hendra,5,
Ajie,5,
Anwar Jr37,5,Keren Tempat Nyaman Luas Komplit Apa2 yg mereka jual ada
Bzzzaa Bzzzaa,5,Mantap
budi hartono,4,Bagus
Ardian Pertama,1,
Priyo Wicaksono,5,
Agung Plentung,5,
Iwan Sutikno,5,
Ahmad Syaf,5,
Zaitun Salwa,5,Pertamakali ke solo. Suasananya syahdu masyaAllah
Bagas super excited,5,Jelas sekali terlihat
Ronny Febriyanto,5,
Mulyono Mulyono,4,mengajak anak disore hari yg menarik
Agus Pilus,5,
cak haris preddy,5,
Aisyah Farida triani,5,
Susilo Suryo Wibowo,5,
Nova Ariyanto,5,
Abu Maliq,5,Bagus
Iwan Prasetyo,5,
Ririn Purwant,4,Baik
farie da,5,
Liantony Azzuri,4,
Dian Pramita,4,
Toni Dwi Saputra,1,Bengkel gak bermutu nyepelein kerjaan bikin kecewa
Alkhariskhi 3397,5,
Melisa Lisa,5,Bnyak kuliner
Vitha Emond,5,"Produk lengkap untuk plastik
Terutama plastik Tomat,sparta"
Anaffa Jiharkah,4,
Maz Bay,5,
dicky zamrud sakti,5,
Giyanto Giyanto,5,
Dicka Meilana,5,
Bunda Aa,5,
Pungki Yulian,5,
Eko M Rahayu,4,
Mohamad Ibad Kasyafani,4,
djamal basuki,5,
malica noor,4,"Semua barang ada dari asesoris motor, baju, jakrt sendal parfum ada. Komplit mah pokoknya"
Maru Ys,5,Seru
Listi Hanifah,5,Memori yang manis buat dikenang. Tempat ini jadi sejarah masa kecilku tiap liburan ke Mbah buat mampir jajan baso atau makanan yang bulet bentuknya isi sayur kol. Haha maap lupa namanya apa.
Ayu Wandira,5,
Puji Nugroho86,5,Banyak food court
Sarno Saputro,5,Kenangan masa kecil waktu itu masih berbentuk pasar dan terminal bus
Pim Satu,4,"taman pancasila area teduh untuk istrahat di perjalanan saat butuh rehat, untuk penjual makan dan minum cukup banyak tersedia diarea ini tempat luas parkir aman, tersedia toilet namun terkunci hehe"
Joko Sudiro,4,Lokasinya pas di depan PENDOPO KABUPATEN KARANGANYAR
umi nuryani,5,
Diaz Rahadi Nugroho,4,
Bahri Royani,5,"Suasana Asri
Terletak di pinggiran pedesaan
View nya bagus
HTM gratis
Area parkir sangat luar ( lapangan desa)"
Muhammad Ayub,4,
Rosita Wuland,4,Banyak permainan dan orang jualan harga juga terjangkau
Joko Wahyudi,5,
Hani Widarsih,5,
Arista Ramadhani,5,
Ceple Ss,5,
jumanto samingan,4,
Mila Savora Qurrota A'yun,5,
TRI Handoyo,5,
gtech eautomation,4,
andi tristianto,5,"Area publik di Kota Karanganyar yang sangat legend, sebelum alun2 ramai seperti sekarang, disinilah tempat jajan kulineran dan pasar malam terpusat di Kota Karanganyar …"
wdyactra,5,
anasz ridwan,5,
M. Ridwan Alsafir Gusnendar,4,
Nur Rochim,5,Menyesap
robertus harijanto,4,
Yanni Sri Handayani,5,Tempat penuh kenangan
Rudy Latuihamallo,5,
Dediy's Family,4,
Dewi Samsiawati,5,
bLonGz Channel,5,Rame yg jualan
livia,4,
Eko Harsono,5,
Elis Alesha,5,
Puguh Santosa,5,
ayu tyas,5,Banyak UMKM dari accessories baju sandal dan permainan lainnya wort it buat rekreasi
Reno Eko,5,
Heynoel Channel,5,
rahma ajeng,5,Tempat nya luas mau cari jajan atau beli barang2 juga ada
Haery ADV,5,
Tri Asmoro,5,
AGUNG WINANTO,5,
Eko Brow,5,
Ida Yuli Setyowati,5,
Rico Wibowo,5,Luar biasa
ziqna & adeeva,5,"Taman yang bagus,klo lelah berkendara bisa untuk istrahat sejenak,juga sekitar banyak warug makan"
suci nglayang,4,Seru sekali
Ika Restuniawan,5,
Ragil Erar,5,Berusaha menjadi baik
Susanto Xp,5,
Riadi Ardian Yuswanto,5,Cocok buat refresing pagi atau sore hari. Banyak yg jualan di sekitar harga bersahabat.
Dewi Candraningrum,5,
Bakupesa 48,5,"Tempat yang Cukup nyaman untuk Nongkrong, dan banyak Pilihan untuk memanjakan Mata juga Lidah. Kunjungi saat sore sampe Malam toilet bersih"
PANJI SD,5,
Aprilia Achmadi,5,
riadi asrori,5,
Pr Dk,5,
Massidek Op,5,mantap
Ida Rahma,5,
Tyas Ngambar Widyowati,5,
Eko Techno,5,
Icha Games,5,
Nur Ayu Setyariza,5,Unggul dan Terbaik
Nataya Shop Electronics,5,
Muji Yanto,5,
Anom Santoso,5,Selalu ramai dan jadi tempat hiburan masyarakat
agus lubis,5,
Icuk Pratama,5,
Rahmat Muttaqin,5,
Muhammad Syafik,5,
Jhon Tahoma,4,"Jadi tempat rest istirahat sebentar sebelum jalan naik ke tawangmangu, klo malam sepi lumayan gelap"
nicky ahmad,5,
Adinda Puni,5,"First time kesini speechless bgt haha, banyak yg jualan murah2 🥹, org sini ramah2 bgt yaa . Hmm next harus balik kesini lagi❤️. Baksonya endull🥹🙏🏻 …"
Ayu Agestina,5,
Veryos Corleone,4,
AfRasya Yogha,4,Taman kurang bisa di nikmati
windu,4,
ask unclerhe,5,
Bapak Pono Ahli saraf,5,Mantap
rekzi pradikta,5,Dari kecil sampe sekarang selalu kangen tempat ini
Hamid San,5,
Aorus,5,"Ini rumah saya sendiri, Google"
Bayu Sragen,4,mayan lah buat ngadem
Ghiovina,4,Soto sapi murah
Siwid Budi Sulistyono,4,
thya 1109,5,
mega jayadiningrat,5,
Ika Haryani,5,
Rio Adie,5,Taman Iconic khas Kabupaten Karanganyar
Yonas Setyonugroho,5,
Gunadi Ibnu sutopo,4,Agak kurang terawat sih ini
Jovan Jovan bastian,5,
Anto Sriyanto,3,Oke
Ari Wib,5,
Ribut Okta,5,
babe,3,"Kurang terawat dan kurang tertata semoga menjadi perhatian Pemkab Karanganyar,salah satu ikon Karanganyar sayang sekali kalau gak terawat."
Linda Pradita,4,
Shanti Aprilia,5,
barep freddy,5,
Jorgey Bagaskara,5,Kesini cuma cari some langganan
Letezia Rania.,5,
Sigit Sapen,5,
Anna Dkw,5,
Romi Dwi yogha,5,
Oktiva Cheria Kairul Niva,5,
clea 22,5,
Rudy Atmoko,5,Pas banget malam tahun Baru dengan berbagai macam pedagang
bambang utomo,4,
y'b house 14,5,Ramah dan baik
aris sriyono,5,
Wahyu Toyota Solo,5,
Andika Putra,5,
Dwi Suyanto,5,Menu dan harga yang terjangkau
Wayan Pacung,5,
vicky ardian,5,Bagus
Didik Maryanto,4,Belanja dan jajan
Teguh S Raharjo,5,cukup nyaman buat santai
Rica Triyanto,5,
Satriya Widjaya,5,
Ari Wibowo,4,"Yg mengidolakan makanan ringan gorengan camilan lengkap...mantabs..
Menu makanan berat juga semakin beragam dan ramah dikantong..."
Fauzan Ahnaf,4,
Leo Kris,5,
Adi Rohmawanto,5,Mekanik ac karanganyar
Wisnu Budi P,4,"Tempat kumpul atau ruang terbuka sebagai tempat nongkrong, orang tua, remaja, dan anak-anak bermain, para pedagang umkm, dan kulineran berjualan, selalu ramai setiap sore sampai malam hari, dekat dengan rumah dinas bupati Kra"
aji priambada,5,
handoko Susilo,5,
Queen Aiko,5,
Gasa Gitakassum,5,
Noogie AW,5,
Rini Susilowaty,5,Rapi bersih harga makanan ramah dikantong
Angga Eza Raffa,5,
dyan al Arif,5,"ada banyak jajanan disini, apalagi klo malam hari"
khafidlotur rofiah,5,
Afif Maulana,5,
Achmad Nuzulchohiri86,4,"Salah satu food courtnya karanganyar, tp sayang nya semenjak covid tempat ini menjadi sepi pengunjung ga sebanyak sebelum covid.."
Putro RaGieL,5,
Nukki Festi,5,
Anang Purbo,5,
Suta Tarso,5,
Shogi Johan Wahyudi,5,Taman Pancasila Karanganyar
Kris Marsongko,5,Tamannya masyarakat karanganyar
Mikha Sulistyana,5,
Sumber HD Production,1,Terlalu banyak pedagang kaki lima terkesan kumuh
Muh.ardian Wirayuda (Ardian.w),5,
Arifa Zahra,5,
Dinezra s t,5,
BDWN,5,
Edy Mantep Mantep,5,Taman panvadila meripakan arena  zona utk bermain anak dan dewasa serta trrdapay aneka macam kuliner terutama disore hari dan malam lebih2 utk weekand sangat begitu ramai. Fasilitas toilet dan mushola serta arena bermain mobil listrik utk anak2. Monggo silahkan klga diajak refreding disini.
Denis Eka Irawati,5,
pathoe rises,5,Berkesan
Nandar Edi setiawan,1,
Kiki Widya,5,
Muhamad Ridwan,4,
Rafif Alegha Praditya,4,
Nofal Firmansah,4,Salah satu taman yg ada di Karanganyar
annur 75polo,4,
vacuousvmixelva,5,
Unun Puji Astuti,5,"Ke taman cm beli bakso, telur gulung, onde2 mini,kebetulan anak2 sudah gede gak naik mainan/kuda lg"
ceples cc,4,
Yeni Kohar,5,"Menjadi diri sendiri lebih baik ,Tinimbang menjadi orang Laen.
Ngaca sendiri aja dulu sebelum ,melihat orang Laen."
Eswe 74,4,Taman pancasila landmark of karang anyar..pitstop para goweser untuk mengabadikan foto kenangan pencapaianya...
Yanto Pethak,5,
Donny Oka Mahendra,5,jajal dewe no
Wkwkwk lanjutkan etik,5,
Irfan Mega Prasetyanto,3,
Fakih Hudin,5,
Orang Sabar,5,Banyak kuliner
Shidiq Abdullah,5,
Pieters Christ,5,"Taman yg nyaman untuk jajan bermacam kuliner, bermain anak, mushola dan toilet juga ada."
Mustachsanaa Qurrotu,4,
mega kartikasari,5,
WAHYULESTARI SUMBERWARAS,5,
Aji Aditya,5,
Onto seno,5,"Taman kenangan,yang sekarang dijadikan tempat jualan untuk pedagang kaki lima,tapi tetap bersih dan nyaman..."
Dedy Tantrei,2,"Lokasi taman di pusat keramaian, tapi sayang sekali tidak ada perawatan dan terkesan kumuh. Jika saja dikelola dengan baik, rasanya taman tersebut bisa dipakai buat tujuan warga sekitar untuk bersantaj bersama keluarga."
Yanto Paryanto,5,
Agus Daruajie,1,
Sri Widodo,5,Tempat nongkrong yang menyenangkan
Ilham Bukhori Yusuf,5,
Jaani Bona,5,
Njes Tralala,5,Klo sore rame sekali
Syaiful Anwar,5,
Andi Setya (SI KEN),5,
Warsito Asyam,4,
Agus aja,5,cocok untuk nyari lawuh buat makan sama sayur gori dan sambal
Nur Hasanah,5,Banyak pilihan jajanan yang bisa dibeli untuk yang suka ngemil
yuda ardana,5,
Semplo Semplo,4,
Miga Leili Mareta,5,Tempat wisata di tengah kota yang murah meriah dan merakyat..🥰 …
AREZ,5,
Yogi Fiqi Machsan,5,
Anggoro Kherox,5,
Kawahara 689,4,
Wahid Priyono,4,
Arip Susanto,5,
Wiwid Wirasmara,5,Bagus
sonya,5,
wijayanto ichsan,5,harus Lebih ditata
Suyono,5,
Dodit Darmawan Anindito,5,
juragan tuyul,5,
Yant Saryanto,5,
Abraham Ishak Dwi Priyoto,5,Tempat jajan makanan di malam hari
AJIE PANGESTU,5,"Nyaman, Bersih, banyak aneka jajanan ketika sore"
Yosanto Anto,4,
Anis Budiman,5,Sejuk ditengah 22 kota karanganyar
Nuryadi squad,5,Keren
Bagus Andre,5,
Sri Widodo,5,Lumayan nyaman
Maria A Nugraheny,5,Banyak jajanan
Agus Zhu,5,
Vitria Sutantio,3,
Titik Kuswidiyanti,5,"Pengalaman berharga buat anak2, disini bisa explore alam mulai membeei makan ayam, kucing, tempat yang luas utk bermain, makan"
Kizaru,5,
Wahyu Rizant,5,
Zaenalin Abidin,5,Adem
Agus Wijayanto,4,Lumayan
IZZA DIMSUM,4,Permainan nya  banyak sekali. Tapi agak sedikit kotor
Riski Yusuf,5,
Wika Mandiri,5,
Dwi Putra Bayu,5,
Skyurr,4,Bagus
Siti Solekah,5,Suka sekali
sri purwana,5,"Dibawah pohon beringin, membuat siang yg panas poll menjadi sejuk...adem...ayem.."
Ninik 012 Kurniawan,5,
Exsan Rudianto,5,
02-X.2 Amalia Nadia Putri Jamaludin,5,bagus
Pat Mono,5,
rony mas slaw,5,"Lengkap jajanan, tempat nyaman"
Ns Rega Saputra,5,Bagus
Mohammad Yani,1,
Noer Iman,5,
Herman Jap,5,
Adi sanjaya Sanjaya,5,
Yuyun Ekasaputri,4,
Ryan wahyu prasetyono,5,
arif wibisono,5,
Alam suprobo Suryowati,5,
Euforia 4'20,4,
Nanang Yulianto,5,Obral murah tiap hari...
Yuli Ani,5,
JENG THARy,5,
Candra Asis,5,
ERIKA NANDA PUTRI,5,👍👍👍 …
krishadi Prasetyo,4,
Aris Styoko,5,
Linda Anton,5,
Klinik mobil Bmp chanel,3,
Ratu Rahima Paramitha putri,5,
niena putry,5,Bagus buat tracking tipis²
Zecretary,5,
Hemas Mutia Rasyid,5,
Maryanto,5,
Najwa Elkayyis,5,
Yusuf Ucup,5,
konyel Photo,5,
Amin Nugroho,3,Tidak tersedianya area parkir yang rapi.
Petty Tunjungsari,5,
fitri wahyuningsih,5,Ramai
xiao finzxie,4,
Orien129 129,5,
Sugeng oling,5,"Sangat cocok untuk saya, banyak jajanan kuliner di sini. Tempat yang sangat nyaman."
Renggaŕ Putra,4,Bukan kawasan kumuh
Eko Purwanto,5,
ᴏɴɪɪ ᴄʜᴀɴ,4,
Mirza fahrezi,5,
qodriputri pratiwi,3,
dwipa d raga,4,"Bagus
sayang mushola kurang proper"
Nurlaili Izza,4,
Ninti Muntamah,5,"Mie ayam nyaa enak bgt, di bagian barat dpn gang..."
eko heri,5,
duwi purnaning,5,
olivia wardani,5,
Fitri Retno Sari,2,taman nya tidak ramah anak karna tidak ada arena bermain anak... alangkah baiknya jika di rawat karna merupakan salah satu ikon karanganyar
MPS MULTIMEDIA,5,Mantap
Agus Prasetyono,5,"Tempat jualan yangrame dan murah2 sekali, orang2nya sangat ramah"
Ilyas Fadli,5,
Ari Pujiantoro,5,
Wahyu Devi Rahayu,5,😍🤪🤩 …
Nanang Rudianto,5,
Parmi Parmi,5,
Sunitra PK,4,Rame da padat... Perlu diatur kembali tempat parkir.
Danang Drilling (Akang DM),5,
Ghozy ALadin,5,Ramai
zoer project,5,
Putri Dewi Larasati,5,
Muchamad Iqbal,1,
Hary Goenawan,5,Enak buat nongkrong dan byk wisata kuliner nya
Ariekrosak Woyo,5,
Mbk Salira,4,
Gladys Vina Aurrelia,5,
Marcella Dwi Kurniasari,5,
Ngadi M,5,Kontrakan tahunan
Agus bayu Aji,5,Tempat memanjakan anak
ibnu hadi pratama,5,
Happy Christmawan,5,
aulia kahfi,5,
Asik Kita,5,
PANGERAN 03,5,
Sogeos Bagoes,5,
Mega Adila Dzikrullah,5,
Febrianto Seventh,5,
Vera Imaniasari,5,
Hajir Mukhlis,5,
pande via,5,Trmpet sejuk indah dan asri.....
R.Endy. Poediutomo,4,
adi wianhyu,5,
Arini meiga munir,5,Lokasi jajan dan permainan anak di pusat kota karanganyar.
Mirla Lyberti,5,
ihsanjay Ryokou,5,
haniffadhil,5,
ꦫꦸꦕꦶꦄꦧ꧀ꦝꦶꦩꦸꦲꦾꦶ,5,"Disini lengkap cari baju, sparepart elektronik, mainan dan hiburan ada semua"
ferry adrianto1988,5,
Syamsudin Noor,5,
yuni Wahyuni,5,
Andryditya Zulfikar,5,"Pengalaman yang luar biasa, pedagang dan persewaan mainan sangat amanah, barang tertinggal di simpan dan di kembalikan
Terima kasih untuk ibuk"" persewaan mainan yg ada barbienya dan ibu yg jualan pakaian dalam, semoga sehat selalu dan lancar rejekinya"
Ahmad Luqman,4,
Nisa Rahayu,4,
Khusnudin Jtg,5,Baik
Sigit Setyawan,4,"Ramai ketika menjelang sore sampai malam. Ada yang jualan, ada pula berbagai macam permainan. Sayangnya kebersihan kurang terjaga."
fataqul id,5,
Nick channel,4,"Bagus, cocok bawa anak2"
Gie Ompong,5,Bagus
Sastro Kiyer,5,
albertus adi satria nugraha,5,
Almanfa Chelsea,5,
Wahyu Agung jatmico,5,Rindang bersih sejuk
Brantas Kahuripan,5,
Dahono Leno,5,
Muhammad Fathur Rohman Maulana,5,
Heru Chandra (Santringaspal),5,"Jalan menuju ke pacitan dr karanganyar. Lewat jumapolo dan jatipuro. Jalan yg asik, tdk ramai dan ueeenak. Sinng agak jarang jajanan tapi ada tempat jajan enak yaitu ESTELER OC. cm esteler aja ga ada yg lainnya tapi esteleernya ORI, ga spt …"
Bakul Puli77,5,
Perdana Yulian,5,Layanan baik
riqza fursan,5,Bagus
HERBADREAM SOLO,5,
Rizky Bagus Mahendra,5,
fajar wibowo,5,
Rakryan Bhramantyo,5,
warwer Cell,4,
Rina C'ciuk,5,
ALDINOVA 67,5,
Dyah Setiani,5,
Heri Kushananto,5,
Idam Mubarok,5,
Sumarno Marno,5,
Janu Gibran,5,
Anik Suwarni,4,Kurang bersih
Ario Lucy,5,Lumayan ramai
Gunawan Setyo,5,
Apta Priya,5,
Narendra Bayu,5,
Tri Yanto,5,Elit
Lina Firda,4,
Mohammad Nurrizqi Putro Utomo,5,
