nama,rating,isi_review
Ida Tiyono,5,
Ridwan hasani,5,Hari libur selalu ramai
Hanif Ilham Fadlilah,5,
Suparjo Komputer,5,Cocok buat keluarga terutama anak anak
Abqory Sajid,3,"Kurang terawat, kasihan hewan2 nya
Lebih untuk bisa diperhatikan

Agar banyak peminatnya dan menghibur,
Tempat sudah Oke, tinggal di rawat saja."
Gagas Catur Gunawan (Gega),3,"- Banyak satwa yang nampak kurang terawat, terutama kebersihannya
- Gajahnya dirantai di bagian kaki depan dan belakangnya🥲
- Banyak monyet liar di luar kandang …"
Ariyanto Wng,3,"Bagus hanya tidak terawat,  pelayanan tukang parkir kasar, katanya penitipan helm tidak memaksa, eh taunya
tukang parkirnya nyolot maksa"", dia digaji tolong pelyanannya yg bagus dong, biar pengunjung nyaman. Tq"
Wahyu Pradana Arsitika,4,
Mr. Warso,3,
Panti Sumarni,3,
Galeri Pisau,1,Kasihan satwa tidak terawat
Setiaka Saputra,1,MIRISSS SEKALIII
aditja ferry Subijantoro,1,
IBNU PUJIRIANTO,3,"Kurang terawat, htm segitu toilet masih bayar.

Ketolong ada mini zoo nya."
Virgiannisa Sefsani,1,
Regina Fulta Deulinda,1,
muhammad hosim,1,
Cendol Endol,1,Binatang sangat memprihatinkan...kasian! Baik pengelola maupun owner perlu evaluasi ini khususnya perawatan ke hewan yang ada dan fasilitas juga!! Terutama hewan2 disana merupakan makhluk hidup jg tkss
ferdi anto,1,
Arif Kurnianto,1,
Bayu Himawan,1,
Edy Trihatmoko,1,"Jangan pernah kesini, banyak berita yang saya baca, dan penuturan langsung wisatawan contohnya di akun IG wonogiri_terkini mengatakan bahwa satwa-satwanya diperlakukan sangat buruk. JANGAN MENORMALISASI MENGAJAK ANAK MELIHAT SATWA YANG DIKURUNG TIDAK LAYAK."
Abdul Zaelani,1,"oh ini yang gajah dirantai, udah tempatnya kecil masih juga dirantai. pemkot nya parah bgt asli"
OLIVIA PASSYA,1,Apa apaan ini? Jika tidak mampu mengurus mereka minta tolong sama lembaga yg berwenang!! jangan asal-asalan mereka itu Binatang yg diciptakan tuhan.
Ulya Karimatun Nisa,1,ga layak untuk binangnya
Raissa Dezila,1,"kasihan hewan2 nya gak terurus & mereka stress 😭
tolong di serahkan ke lembaga yg berwenang / penangkaran yg layak, atau dilepasliarkan 😭 …"
Idham Sumarto Pratama,1,Tempat Pelecehan Hewan pada Gajah Sumatera! Mereka semua dirantai erat di sekitar pergelangan kaki mereka yang menyebabkan abrasi kulit yang dalam. Investigasi kriminal harus dilakukan.
B. Yusticio,5,
Wiharto Harto,5,
widi vian,5,
Candra Wijaya,5,
Denny Prasetyo,4,
Pandi Pan,5,
desa sendang,5,
Dwi Hari,5,Nyaman
Askiya Kalisa,5,"Pas hari kerja sepi, anak senang naik perahu...."
Sri Lestari,5,Hr senin kmrin ke WGM ada tmpt yg baru.
dwi renggax,5,
joko sulistio,5,
Zulfa Adela,5,
Pratama Joko,4,
necekk 69,5,
Yohanes,5,Oke
Anwar Shidiq,5,Rekomendasi sekali
fha amorous,5,"Cocok untuk semua kalangan,, anak senang orangtua tenang,,"
Velicya Clara,5,
Fendhi Susanto,1,Parkiran & tempat wisata jaraknya jauh sekali. Buat yg bawa anak kecil mending jangan kesini.
Angger Setioko,1,"Masukan buat pengelola unt kandang orang utan terlalu sempit kasihan sekali tdk bisa bergerak bebas, kandang gajah juga kurang lebar gajah dlm kondisi dirantai kasihan sekali, unt rusa baiknya dilepas liarkan spt di balepakambang solo jd …"
Yunirawati slb,5,
Denis Awang Pangestu,5,
chandra HW,4,"Kenapa helm motor tdk blh taruh di motor, tukang parkir nya maksa2 buat taruh di titipin helm. Katanya kalau helm taruh di motor mending parkir di luar. Mana penitipan helm mahal lg 5rb, knp gak sekalian di gabung byr karcis+helm 20rb. Es & …"
Hisyam Ariqi,3,Mayan lah
Dwi Setiawan,5,"Tempat nya bagus, sudah banyak spot foto sekarang"
Murny Jahit,5,
Berkah Store,4,Kurang terawat.
eka munir,5,"Tempat sampahnya kurang banyak...
Jadi sampah berserakan..."
Rohmat Glass,5,"Cocok untuk liburan bersama keluarga, ,"
om Slam,3,
supri kae,5,Lumayan
Hellen Olivia,5,
Eka Zunaidi,5,tempat wisatanya bagus
Tekla Benczi,1,"MENGERIKAN...kondisi di kebun binatang TIDAK DAPAT DITERIMA, apalagi gajahnya...Entah kenapa sesekali tidak ada yang mengawasi?
Gajah-gajah itu DIRANTAI dari 3 kakinya, TAK BISA BERGERAK lebih dari beberapa …"
Adriel Tristan,4,
Nana Vina,5,
RIYADI BeGe,2,Tidak terurus dengan baik rumput liar tinggi2 pedagang kurang teratur penmptannya
Febi anggi Riyawan,1,"Jangan hanya menyayangi satwa yang bersafari sendirian, terlalu menuntut membuat taman satwa liar, tanpa memperhatikan keberlangsungan kehidupan. Keadaan hewan-hewan sangat menyedihkan, apalagi hewan-hewan yang hampir punah seperti gajah …"
Niko Andre,1,"Mending kasih aja satwanya ke solo safari, terlalu memaksakan untuk dibuat taman satwa, tanpa memperhatikan kelansungan hidup. Sangat menyedihkan kondisi satwa2 nya, terutama satwa yg hampir punah, spt gajah yg dirantai ke 3 kaki hmm orang hutan, buaya dan burung, dah gausah datang daripada miris liat satwa2 nya"
Sri Rejeki,5,"Lumayan bisa lihat hewan2, ada berbagai macam burung, buaya, ular, gajah, babi hutan, kelinci, angsa, orang hutan, monyet ada juga terapi ikan dan taman bermain anak2"
Ali Ghozali,2,"Kesejahteraan hewan-hewannya perlu lebih diperhatikan lagi. Terlihat menyedihkan sekali, seperti orangutan, buaya, burung-burung, rusa, gajah, dsb. Kolam buaya bahkan sampai hijau sekali warnanya. Lokasi kandang burung kakaktua terlalu …"
althan Budiyono,5,
Rika Rahmawati,1,"Miris banget liat gajah yang dirantai kakinya jadi ga bisa bergerak bebas. Minimal kalau mau buat tempat satwa tuh dijaga perawatannya dan ga gini cara memperlakukan hewan. Mereka juga sama"" mahkluk ciptaan yg maha kuasa dan punya perasaan. 😥😥😥 …"
Wulan Wibowo,5,skarabg msuknya brpa ya
Nugroho Ari Murjanto,5,Memanjakan mereka
Parwanto,5,"mbangun wonogiri,
Kulinernya murah² lho"
Yohana Christin,3,"Kasihan satwanya, tidak terawat, kurus dan kotor, sedih bgt lihatnya :( semoga segera dilakukan pembenahan"
