nama,rating,isi_review
Arvia Ari Sugesti,4,"Sebetulnya saya sedikit kontra terhadap kebun binatang, karena permintaan keponakan-keponakan jadilah mampir kesini. Untuk HTM 15K per orang, zoo nya cukup bersih ya, hewan-hewannya pun dipelihara dengan cukup baik (terlihat dari kebersihan …"
Ari Wibowo,4,"Saya Berliburan dg keluarga, mencari referensi buat anak karena Emg usia masih kecil2 : anak 1 7th
anak 2 1th …"
Fachry Rahardhian Saputra,5,
Johary Wibowo,5,"Ada beberapa ular, kura-kura, burung untw, merpati, marmut kelinci, musang, kucing, domba dan kambing, burung, ayam, ikan dll.."
Angger Binuko,5,"Tempatnya nyaman. Koleksi binatangnya kids friendly. Interaksi dgn binatangnya gk ada antri2. Jd masih enak bgt buat main dan edukasi sama anak. Bisa bawa makanan dr luar jg, krn didalam belum ada kantin. Tp disekitar sini banyak cafe enak2."
Mt Bela,5,"Walaupun binatang tidak banyak
Tapi keren konsepnya"
Ririn Widiyastuti,5,Seru sekali kesini bersama anak-anak. Abang2 penjaga satwanya juga sangat ramah. Dan yang paling mengagetkan adalah taman satwa ini dikelola oleh karang taruna setempat. Keren banget.
Januar Astuti,5,"Nyaman,sejuk,boleh bawa makanan&minuman d luar..sebenarnya ini klu dperluas & kembangkan cocok bnget ini..hewan juga bakal betah"
hauramaniee,4,
Rahmadila Rahardiani,3,"Koleksi hewan cukup untuk mini zoo.
kesehatan hewan kurang diperhatikan, kucing berjamur parah sampai ekornya botak. …"
Hoho Tan,5,"Lumayan.
Bersih dan terawat."
Kiki Prasetyo,5,"Utk harga dan sarana prasarana yg d berikan sesuai..
Pelayanannya bagus bgt.."
Sepatu Bolong,5,
"Uu,aa",5,"Bagus, per orang 15rb, anak di bawah 2 tahun gk bayar, saran saya adain jualan di dalam dan di luar"
Nana Kusuma,5,"tempatnya bersih, hewannya juga terawat baik, tiket masuknya murah walaupun koleksi hewannya sedikit tapi sangat menghibur untuk anak2.. mas2 pengelola juga ramah, semoga semakin maju nantinya 👍🏻 …"
Ilham F. S.,3,"Wisatanya bagus, namun tiket untuk weekend sebesar Rp 15.000 / per orang dan weekday sebesar Rp 10.00p / per orang dirasa terlalu mahal, kalaupun mau Rp 15.000 / per orang minimal setiap orang harus dikasih makan satwa berupa sayur atau sejenisnya secara gratis"
Erwin Hardiyanto,5,
Meita Pusvandari,4,"Kebersihan bisa ditingkatkan lagi, terimakasih..."
Doubleban Solo,5,"Sesuai nama “mini”
Datang saat liburan akhir taun
Walaupun “mini” tapi lumayan utk anak balita yg baru pertama ke tempat satwa, …"
diah wahyu,5,
Aisyah Fatkhul Jannah,5,"Tempatnya bersih, suasana segar asri. Wisata satwa disini lumayan ada iguana, kura-kura, ular, kelinci, marmut, burung, kambing/domba, dll. Bisa foto bareng sama burung dan iguana. Bayar seikhlasnya. Mungkin kalo kesini weekdays aja biar …"
Rudy Artana,5,"Bagus untk edukasi anak. .
Mengenal berbagai macam satwa.. 😇 …"
Gandung Adi Tantoko,5,
Nita Fitriani,5,
Fikri Ali,5,
Gintingdwi Pamuji,5,"Bagussss banget, tempatnya bersiihhh, sejuk, mas²nya ramah .. mau ngefotoin juga .. murah meriah, mantep buat edukasi anak² ..
Request, kasih buaya dong bang .. hehehehe"
Medjora Cafe,5,"Koleksi satwa lengkap, tempat bersih, pelayanan ramah"
ferry mahendra pratama (ferry mahendra pratama),5,jika
Hana Kadatonadinoto,5,"Recomended sekali untuk berlibur bersama keluarga, tempatnya sejuk, asri & bersih. Mttsuwun Maz Wawan beserta kru zoo keeper karang taruna atas penerimaan kunjungan kami. Semoga semakin berkembang dan sukses Taman satwanya sgt inspiratif.👍❤️ …"
a geneung,5,"Kami ke sini waktu liburan maulid nabi. Lokasinya gampang dicari sesuai google maps. Tempatnya sejuk, adem padahal sudah siang. HTM 15ribu, sewa panahan 5ribu, bebas foto/interaksi dengan beberapa binatang seperti iguana, ular, burung …"
Sri Lasmini,5,
papa aurella,5,"Tempatnya nyaman, petugasnya ramah"".. binatang sangat terawat..  kapan"" kesini lagi, mudah""an koleksinya tabah banyak"
Aimo,5,
Rozandy Azis,5,"Tidak menyangka kalau ditepi jurang menuju sungai kecil ada kebun binatangnya, jadi bikin suasananya tambah asri + butuh tenaga extra untuk turun naiknya... …"
Betik Kusuma,5,"Mini Zoo Rekomendet di daerah Kab. Karanganyar, kesini pas weekdays, jadi sepi berasa privat zoo, HTM murah sekali cuma 10.000/orang (dewasa dan anak sama), suasananya asri sejuk, mas"" yang jaga ramah poll, liburan low budget yang menyenangkan"
Pak'e Al,5,Lumayan buat momong anak.
Halida Aprilia,5,"Tempatnya bersih ,asri…."
Fahmi Kusumadewi,4,"minizoo yang dekat dari rumah sangat rekomend sekali untuk  bawa anak2 mengenal binatang. htm terjangkau, sukses terus untuk karang taruna yang mengelola tempatnya 👍👍👍 …"
puput putri pamungkas,4,"Bagus untuk edukasi anak tentang binatang, tapi tempatnya harus dikelola lagi dengan baik agar terlihat bersih dan menarik bagi pengunjung"
kemen van karyo,5,Definisi refresing gk capek dan cocok buat edukasi anak..come here now....
Rhini Azizah,5,"Tempatnya bersih, mas2 yg jaga juga sangat ramah 😊 …"
imam sidhik rasmanto,4,"taman satwa kecil,tp hewan lumayan komplit.
yang mengelola ramah juga."
fithra taufika Infandari,5,"Masya Allah keren bangettttt
Walau kecil namun...
1. Asri banget,dingin sejuk ada sungai bening bisa ciblon juga …"
Regita Prabasari ningrum,5,
Klinik Griya Husada 1 Karanganyar,5,
Rdp rdp,5,
RMUSIC AUDIO,5,
Nina Ristyaningrum,4,Keren tempatnya worth it
Neo Lintang,4,
LH FAMS,4,"Unik, klasik dan eksotik"
Galih Eka,5,
Zaki Zaka,5,"Mini zoo, sesuai namanya,
Tapi worth it,karna dari segi perawatan hewan-hewan nya, tempatnya yg bersih terawat, hewan nya juga keliatan sehat-sehat dan zookeeper nya juga informatif …"
Rohmah Ajja,5,"cukup terjangkau, dan bisa untuk edukasi pengenalan satwa"
Widodo HW 01,5,
