nama,rating,isi_review
Eko Prasetyo,5,
Fidela Derby,1,
Indahsari. ws,4,
pdd abadi,5,
dewiocbe,5,
Nahrulia Fitri,4,
sitta cinta,5,lumayan bsa bt ank² berinteraksi lngsung dgn rusa
Astrid Melati,4,
Yeni Lee37,5,"Taman Sriwedari di Solo adalah destinasi wisata yang menawarkan perpaduan antara keindahan alam, kesenian, dan kebudayaan Jawa. Berikut beberapa hal yang membuat Taman Sriwedari layak dikunjungi ¹ ²: …"
Muchamad Syaiful,1,
Safrudin Fauzan,4,
Septian Harry,5,
Farih Solikhan,5,"Wayang Orang Sriwedari adalah pertunjukan teater tradisional Jawa yang memadukan cerita, tari, dan musik dengan indah. Pertunjukan ini menampilkan para aktor terampil yang membawakan cerita-cerita wayang klasik dengan kostum yang rumit dan …"
amelia romelan,4,
Ortessa Rizki Pratama,5,"Panggung untuk pertunjukan
Diluar banyak pedagang, ada masjid, toilet"
Danny Wahyu Hidayat,4,"Sudah tidak ada, hanya tinggal pembangunan masjid yang terbengkalai."
Ahmad Fajri,4,
Tri Ika,5,"Agak panas karena tamannya luas dan terbuka, gersang juga karena minim pohon, rusanya bagus, dan kalau mau ngasih makan tinggal beli lapak sayur di dekat tempat berkumpulnya rusa (10rb untuk dua bungkus sayur), gak ada biaya masuk kok"
akhna channel,4,bagus tapi sedikit kurang terawat.
arista tira,5,cantikk banget ada rusa rusanyaa
RASFIAN Channel,5,
Hamidul Azhar (el quha),5,"Cocok buat ajak anak² main rusa..
Tapi parah kalau habis dipakai acara.."
Bagas Arif Pratama,5,Kalo lewat sini punya punya kenangan di waktu kecil tahun 2000 an yaitu terkenal dengan THR (Taman Hiburan Rakyat) Sriwedari yang banyak hiburannya dan tempat bermainnya. Jika dihidupkan kembali ada sedikit sebuah ide untuk dibangun dengan …
Mayamey,5,
Aulia Anti,5,
septia etika,5,
noor cholish,5,
Lilik Yulianto,5,Disinilah tempat untuk nguri uri budaya jawa yg perlu di lestarikan dan dikembangkan. Tempat duduk nyaman. Parkir luas.
Hans IsMe,3,"Bebas bermain dan kasih makan rusa....
Rusanya banyak dan dilepas bebas untuk interaksi...
Minusnya panas.. …"
Aditya Edo,5,
Probo Kusumo,5,
Aries Wahyu K,5,
abu arrabbaniyah,5,Recommended buat mendang mending
Dhanar Adi Dewandaru,4,
End Joris,5,"Bagus dan sangat sangat rekomended, kita orang Indonesia harus lestarikan budaya kita seperti ini salah satunya,
Pokoknya mantapppp pollll👍 …"
Ganyong “Dhika ganyong” Gariskeraskamtisfamily,5,
Adi Putra,4,"Taman bersejarah di kota Solo, ada pementasan wayang orang di hari-hari tertentu. THR^nya sudah tidak ada tapi masih bisa untuk destinasi wisata dan memberi makan rusa jinak."
Imansyah Zulfikar Santos,1,"Kotor , Jorok, harga makanan dan minuman nya maen Asal tembak, alias mahallllll, dan gak masuk akal 😡 …"
Rasyid Rafiandra,5,Bagus bersih
SGPR 1648,5,
PROBO TRISANTOSO,5,
Ananda Luthfiany,5,"Kesini gegara ada rusanya ☺️
Tapi sayangnya kenapa ya renovasi Sriwedari ini tidak dilanjutkan, jadi kesannya tempatnya kosong melompong …"
