nama,rating,isi_review
ilham sudaryanto,5,
Muhammad Nurrochim,4,
Istie Snackcatering,5,
Yesi. swag,4,
Mr. TONO,3,"Cukup asri & adem,, hanya saja air danau tidak terawat, warga sangat antusias menikmati, smoga di berikan fasilitas yg lebih bergengsi & bermanfaat"
indra lusiana,5,
Rachmad Kris,5,
Ning Ning,4,"Kolam renang yg tiket masuknya terjangkau, kamar mandi banyak dan parkir gratis"
Ahmad El khudry,4,Lumayan untuk refreshing. Joging dan momong anak
Adri Darmawan,5,
Amir Mahmud,5,
Sebutsajachannel,5,
Bintang Pamungkas,3,
Martua Parasian Lumbantobing,4,
Hakim Riski,5,Nyaman dan ramah lingungan.. bisa ditambah tempat bermain anak
Tri Wibowo,5,
Wage Winarsih,5,
Alim Mualim,5,luas. Nyaman. Sejuk
Tiyo Kamtiyono,5,"Dapat sejuknya, bersihnya lumayan, kadang bersih kadang banyak daun. Cocok buat jogging. Cuma nggak bagusnya banyak anak pacaran yang suka mojok di bench sana-sini."
Najwa Habibah,5,
Aris Nuri,5,Taman Sukowati Sragen adalah taman yang terletak di pusat kota sragen dengan lahan yang cukupluas dan suasana yang sejuk karena banyak pepohonan. Ada playground untuk anak-anak cocok buat kunjungan keluarga. Tapi memang masih sedikit playground nya. Juga Parkir mobil yang sedikit kurang nyaman bagi yang bawa mobil.
pijul wati,4,"Sejuk, bersih, mungkin bukanya bisa lebih pagi, tutupnya bisa lebih sore. Tukang parkirnya tolong bisa mengarahkan parkir, padahal bayar lho, mereka berbanyak tapi duduk semua 🤡 …"
irfann aulia,5,
Mikasa Ackerman,5,Adwm cuma Jalan nya Licin tapi gapapa Bagus Bagus aja . Lebih di Rawat lagi sih menurut aku tapi gapapa lah..
Budi Ono,5,
Ane Ismiatun,5,
Dewie wantie,5,Tempat nya bagus sejuk banyak tepat untuk santai di pinggir danau ditemani burung merpati 🥰menikmati kesorean dan menyejukkan pikiran …
aris,5,"Taman sukowati sragen. Akses menuju lokasi mudah, tersedia area parkir luas. Terdapat toilet umum dan area merokok. Ada beberapa jenis tanaman besar maupun kecil. Rute pejalan kaki yang sebagian mengitari danau buatan. Sehingga pejalan kaki merasa bosan saat berkunjung ke sini. Banyak tersedia tempat duduk di sepanjang jalan area taman."
Lanang Dwi,3,
Sucah Yadi,5,"Nyaman, adem, cocok untuk jalan atau lari pagi. Sekedar hilangkan penat, tenang dan damai."
Adi Saputra,5,
m Wahib (Wahib),5,Baik
Dharmarizka Ramadhana,5,
Kristian Putra Nugraha,5,"Sragen kota yang nyaman, tenang dan aman"
Nila Sragen,5,
TAMA OFFICIAL•,5,
andika Riski,2,
Yabes Masa,5,
aizz wi,5,
Ontay Ontays,4,
London Muflih,5,
Romzi Romzi,4,
Febri Prasetyo,5,
Rhony Darmawan,5,
agung sanjaya,5,"Baik , bagus , buat jogging, nongkrong, main sama anak2"
AGUSTA TRI RUSANDI,5,Bafus
Fachri AR,4,
Eko Yuniarto,4,Nyaman
BERCAHAYA BINTANG,5,"Tempatnya bagus. Sejuk, banyak pepohonan.  Cocok untuk nongkrong dan santai. Tempat ini juga cocok untuk joging. Ada juga area bermain untuk anak-anak."
Sugito Rahmat,4,keren lebar
Navalia Dewi Ernamasari,5,
Andi Tri Widiyanto,5,
Budi Widayat,5,Sat set amanah
MJP,2,"terbengkalai, banyak yang sudah rusak, jalan rusak dan lumutan"
dody nirmolo,5,
Expedisi dan transportasi Jasa angkutan barang,5,
3 Ana,2,Tempatnya kurang terawat...di foto dan aslinya jauh beda...semoga kedepannya lebih diperhatikan lagi..
"Jasa angkutan barang Wil.jabodetabek,tangeran (Hary bintaro)",5,Bnyk air ..sekitarnya...tp knp gersang ya
Aditya Oki,5,
shelly ika,5,
amell linaa,5,jalan2 sore baru sebentar sudah mau tutup sehingga tdk jadi menikmati sore di taman
garage31 Automotive,5,Mantaf
Hilmi Fadhilah,4,"Nyantai di depan kolam, menikmati segelas es kopi dan beberapa untaian obrolan bersama bestie. 🤭🤭 …"
Antonius Nugroho,4,
