nama,rating,isi_review
Rofiul Muiz,5,
Bejane Agus,5,Bagus namun perlu perawatan dan pengawasan.supaya tidak luput dr penjarahan.
Shoqib Rovy,5,
Maharani Wahyuningrum,5,
Elfrida Arniyanti,5,
Yasiva Nadine Tatiana,5,
aristiawan purwanto,4,
Zarly Hanisah,5,"Tiap malem sering banget main ke Taman Tirtonadi, dan nggak pernah bosen, suasananya adem, tapi minusnya di lampu yang agak remang-remang gitu. Di sina banyak yg jualan es, aku langganan sama salah satu penjual es yang variannya …"
Mas Yoko,5,
Abdul Khoiri,5,
Daniel Suryono,5,
Muhammad Ramadian (Fahrezi),4,
sri lestari,4,"Bersih,rindang"
The eye of ra,5,
Galuh Mutiara Anggun 264,5,
rabbani alip,5,tempatnya wah
Arditias Damayanti,4,"tempatnya bagus, kalo sore rame banget, banyak penjual jajanan juga, tapi pengamennya banyak juga bahkan ada yang masih kecil (kasian sampe larut malem masih keliling disini)"
Bagus Raysca,5,
Igun Lature,5,
Hiraki Ramadhani,5,"Tempatnya nyaman, banyak tempat nongkrong bersama keluarga"
PT. Buming Raka Wara,5,
Su Narmin,5,Taman lumayan bagus dan pas buat nongkrong sekedar ambil jemput tan
Uss AR,4,
syaikhoni wahab,5,"Tempatnya nyaman,cocok untuk nongkrong disore hari,,
Recomended  👍 …"
Faqih Fawwaz,4,"Bia buat jalan-jalan, buat memandangi air juga bisa. Kalo mau denger suara sih cuma bisa di momen - momen tertentu aja soalnya dekat jalan raya, jadi ya suara airnya kalah sama bising kendaraan"
Fuad Anugrah,5,Cocok untuk olahraga pagi
Satria Wahyu Anggita,5,"Tempat asyik untuk kumpul dan makan bareng keluarga, bisa menikmati live music yang bisa request lagu. Harga juga affordable untuk kaum mendang mending. Tempatnya bersih dan nyaman"
sukemi yafet,5,tempat santai dan memancing
Gelyn Putiyunita,5,
Muhammad Aldin,5,Ke stasiun balapan tinggal naik skybridge
ninda dohwatusalwa,5,
Charis,4,
TeamQua BCCSBY,3,
Avrilia Wahyuana,5,Bersih dan asik buat foto-foto kalau pagi karena belom terlalu ramai.
Arief Widyan,5,"Biasanya kalau dari timur bis masuk terminal kejauhan, mending disini nyaman enak turunnya"
Bocah Maret,5,
anggelika putri,5,
Dzikriyah Asya,5,
Vio Lucky Putra Darmawan,5,
Rosinta Luthfiana,5,"Banyak jajan yg enak"" disinii
menikmati senja dengan jajanan yg beragam.
Harga ramah di kantong …"
Wahyuningsih,5,
Kukuh Febriansyah,5,
Agni Santiaji Pradana,5,
Ayai,3,
Figi 2303,4,
Prasetyohadi Soekarno,5,
raya Rajeg,5,Okeeee
Yusub Dwi atmoko,5,
Anto Cemplin,4,
damaraa,5,banyakkk jajanann hahah 🥟🍢 …
Mr. Habibullah,4,
Bila Yahqiba,5,
Khusnul Hanayati,3,"Lumayan utk nongky sore hari, banyak yg jualan jajanan di sini. Kalau malam lampu2nya oke sih."
Ignatius Harry Sumartono,5,Itu sangat bagus menurutku
Indah Ayu,5,
satiyar mayasari,5,
Khafifudin Hidayatulloh,5,Nyaman buat santai. Ga enaknya kadang banyak pengamen
hen hazll,4,
Rejosari Taman Sehat,5,"Happy Weekend, Sobat Tasero! 🌿

Ayo lepaskan penat dan nikmati suasana asri di Tasero! Anak-anak terlihat begitu …"
Aini Viani,5,
shila Putri,5,"Ada warmindo asik bgt, bisa nobar bola"
Fajri,4,
intanaufan,5,
Ihwan Chamid,5,
Rosyidazramustofa,5,
Duwi Febrianti,5,
28_ Rizqi Bagus,5,
Riski Rizki,1,
syahiraa ar,5,
Regan Anodya,5,Spot nyore atau nongkrong malam-malam di kota solo
Audi Aulia Akbar,5,
Jawara Solo,5,
Ristanto “Aris”,5,
Dimas Prasetyo,5,
Dinda maftuhatul Hasanah,4,
explore_98,4,
Nur Kamalia Zulfa,5,
Muhammad Saifuddin,5,
Ivona Dwi,4,
Satu Ajah,5,Pemandangannya indah di malam hari
Cahyo Hadisuyanto,4,
Sella Anjani,5,
sri suryo susetyo,4,
Joanes Aditya,5,
Alwi Marcio,5,"Rame, jajanan banyak,"
Yudha Aditya,5,
Erieka Dhea,5,
Riko Aprilion,5,
DianaNoviantiS,4,
Wikan Prasetya,5,
Ardian Wahyu ramadhan,4,
Benarrivo Garcia,5,
novi Sulistiowati,5,
Navisa Dwi Anggraeni,5,"Lokasi berada di bibir sungai Kali Pepe, dan terletak berdekatan dengan Terminal Tirtonadi Solo.Disini banyak bangku-bangku taman, hingga jogging track disediakan sebagai fasilitas untuk para pengunjung. Di lokasi ini juga banyak menawarkan …"
Faza Bura,5,menyesap
Freeze Fire,4,"**Honest Review**
Dari segi tempat sangat2 strategis tentunya, kemudian dari segi kerapihan dan kebersihannya masih sangat perlu diperhatikan. …"
Ziezah Acong,5,
Amalia Azizah,5,
maria Susiani,5,Tempat favorit jln sehat
Widarto Proyo,3,Swana asri di sore atau malam. Tapi klou siang kurang nyaman panasnya terlalu terik.
Angelina Sahadevika,5,
Abdul Rohim,4,Kadang masih ada pengamen/pengemis bandel padahal sudah di larang masuk area rekreasi
Bambang Sriyono,4,
ur gurll,5,
ARIF wallka,5,
Abdullah Abbas,5,"Playground tempat anak-anak, remaja, dewasa, hingga lansia bersantai menikmati senja hingga malam hari, banyak tersedia berbagai jenis kuliner solo seperti es kapal, siomay, bakso, es teh, papeda telur, takoyaki dll, ada area parkir area selatan dan utara tutup pukul 00:00."
Fajri,4,Sangat nyaman buat jalan². Jajanannya jg murah
Nurul Hikmah,5,
Wong deso,4,
Wikry Erlinda,5,"cakeupppp syekalii kl buat nyore 😍🌅🌳
banyak jajan murceee🥞🥐🍟🍝🍜🍢🍦🍰🍭🍩
cocok buat pcrn, sendiri & keluarga.
kl aku si sm suami😋🙈 …"
Jelaga Bening,5,Nyaman
Raras Wulan,5,Recomended buat duduk santai
El Hakim,5,Malam. Bareng kluarga
