nama,rating,isi_review
Supono Ranu Suwiryo,5,
Sugeng oling,5,
Farrel An,5,Sangat religius dan bersejarah
Dwi Wiyono,5,
Heri Suheri,5,
Obah Berkah Channel,5,"Tempat wisata religi, petilasan Pangeran Sambernyawa, terdapat tujuh mata air (Sapta Tirta) yang berbeda kandungan unsur kimia dan khasiatnya.
Semoga menambah wawasa religi dan beroleh manfaatnya.
Lokasi lumayan bersih dan terawat meskipun fasilitas kurang lengkap."
Banyu Mili,5,"tiket murah,unt lain2nya B aja"
Mohamad Ibad Kasyafani,4,
LPK AKARI HARAPAN SRAGEN,5,
Edy Sarwanto,5,"Tempat strategis.
Nuansa Religi.
Tiket masuk murah.
Petugas cukup ramah."
Alinka Adinda,1,
Thukul Ganteng,4,
Anung Setiawan,5,
Joko Santoso,5,
Budi Pratomo,3,Sepi dan tidak menarik.
Multisari Channel,5,
agus jumadi,5,
zulfikar M,4,
AnKuh Keluarga Kita,5,
Putri Rupu,3,
Si Bung,5,"Sayang sekali cagar budaya ,kurang terawat .  mohon dinas terkait  segera benahi agar tetap terjaga cagar budaya"
Muhammad Helmi Aljufri,5,
Alfarezal,3,
chamim93 1917,5,"Sebuah lokasi wisata budaya sejarah masa lalu
Udara sejuk cocok u anak anak main
Ortu rilex ngopi okok okokan"
Agnes Evlin Dewi Wahyuningrum,2,"Tempatnya kotor, tidal terawat."
sar wanto,5,sangat puas dengan Diklat MJS
Agung Prasetyo,3,per sarana pendukung
gunawan mahdi,5,Cocok untuk wisata dan studi sejarah karena merupakan petilasan pangeran sambernyawa..
Nissa Qoirum,4,
Zaenal Mutaqin,5,
Subkhan Suryoadi,5,"Keren menyenangkan mandi disini enak banget, airnya hangat, bisa untuk terapi badan pegel2, hangat enak, habis mandi diluar ada dagang Duren murah2, enak, bisa buat oleh2 dari Metasih, Terima Kasih"
Nurul Nita N,5,"Saya pernah periksa dipoli anak Ra PKU skh, pelayanan perawat dan dokternya ramah tamah serta cepat dalam antrian waktu tunggu dan antrian obatnya"
Rafelino Yuan Sakti Putra,5,
Icuk Wijanarko,5,
Nyimas Ajeng69,5,
Den Arif,4,
Den Arif,5,
Hery Herry elsound,5,
Muhammad arsad,5,
Aryo Suhendro,5,
Budhi San,4,Pemandangan yang bagus
Purnomo Purnomo,5,
tody Bayu,5,
Isyana,5,Suka disini penuh dengan kedamaian
Massito Lover,4,Wisata pemandian air hangat
Ari Widodo,1,
Djumanto,2,
Luys Mey Fero Tehampa,3,
Griya Samber Nyawa,5,
imung sri Pamungkas,5,"Kamar mandi air belerang, ada bathup. Cocok untuk tetapi kesehatan"
Bligo Sniperz,5,
dwi Maryamah,5,"Tempat yg sangat sakral , harus di jaga dalam tutur kata, di larang berendam di sumber mata air karena bisa berakibat fatal"
Mahesa Jenar,5,
2 princes,4,
Ansant Madeinsolo,5,
indo onlineshop,5,2 paket nasi paha atas dada 10k
Agustinus Wahyuana,4,
bowo sulistyo,5,Banyak air di situ
Satrio Yudi86,5,
rahwan retno,5,
Agus Eko,5,
Adie Channel,3,
Mohamad Yahya,5,
Maman Jihanjohan,5,
Fajar susi ImamSari,3,
Osman Mas'ud,3,
Sumardi Mardi,3,
Cassablanca Ohe,5,Kurang area teduhnya. Tp bagaimanapun tempat ini bersejarah dan harusnya lbh di sakralkan agar terjaga kelestariannya
wahyu oktavia,5,"Tempat paling nyamann♥️

*Majenangpride🙏 …"
Kill Jokes,5,hhh
Nofan Mustofa,5,"Tempat sejuk, nyaman, enak, sepi, orang"" nya ramah. Airnya hangat. Asli dari alam"
Nada trans jasa angkut solo Nada trans,4,Sipppppp
Dikro Dikro,5,sangat religius
Andrean Adhi Susanto,3,Sepi dan kurang terawat
Andreas boon007,5,Mantap
Tukang elektro ndeso,5,
Darto Hendrik,5,Asri
Yunusiyah Ganteng,5,Sungguh menakjubkan
sis harjanto,5,
triharsono sastro,5,Gampang dicari & penjaganya ramah
Sulistyoagus,5,
Joesano Pangarsa,4,"sayang sekali
kurang terawat"
Petrok Jaman Now,5,
Yant Subiyanto,4,Buat wisata edukasi dan mengenang sejarah RM Said atau Pangeran Sambernyawa
Agung Supriyanto,5,"Ada mata air hangat yang mengandung belerang,,segar sekali buat mandi"
Hartoyo Hartoyo,5,Adem asri tenang
Mas Nono Hartono (Mas nono),4,Tempat yg nyaman dengan keajaiban alam
Bravo Hartono,4,Potensi bagus tp sayang kurang terawat
CHANEL DK,5,
Mas Bintoro,5,Bagus
Bocah Gendeng,5,
syifa hanan,5,Pemandian air hangat / belerang
Sutarwo Tarwo,4,
Dani Cahya,3,"Saran saja

seharusnya di kelola lebih serius lagi agar bisa menarik lebih banyak wisatawan
Mending di buatkan tempat yang bisa buat berendam(onsen istilah jepang e) kalau cuma mandi ambil airnya pake gayung,,terasa kurang puas,,

Sayang sekali kalau obyek wisata ini sepi

Semoga bisa tambah maju lagi pengelolaanya"
Asih Asih,5,
Martant D.Cahyo,5,
Jumari Kang Djoem (Syeh Djoem),4,Joss
ISNI H,4,Semoga pihak pengelola tambah memperbaiki fasilitas2 yang ada...👍👍 …
Yuda Angkasa,5,Air belerangnya mantab
yossie Adhi,5,
Wisnu Indraswara,5,
Dilar sunaryo,2,"Sebagai taman wisata yg bernuansa Relegi....,lumayan bagus....,Aku sebagi Orang yg sering datang ke sini.Aku mohon lebih di gali lagi dan di manfaatkan yg sipatnya menambah kemasukan."
Mulyani Js,2,27 April 2023 keadaan kurang terawat
Aprillia Ika,5,
Anggi Puspitasari,4,Tempatnya bagus
Putramaheswara Tourandtravel,5,
