nama,rating,isi_review
Syahfarudin Ramadhan,5,Amanah lancar terus
Riri Rahmawati,5,"kesana weekday pagi jd sepi, bagus tempatnya & deket bgt dari rumah😂 …"
Zaliyah Tucker,2,
Latifah Laila22,5,"Buat yang mungkin ngira tempatnya gak sesuai ekspektasi tapi kalo kalian bisa ambil angle + edit foto hasilnya tetep bagus kok guyss
Tiketnya juga murah + bersih juga"
Andira Koza,5,
RAFA ABIYYU SAKA,5,"Makanan enak, cocok untuk karaoke ...mantap..."
tsabitah el-rahmah,4,"Sengaja ke wonigiri jauh-jauh dari solo untuk lihat telaga yang lagi banyak dijadikan “story” orang-orang.
Syukurnya sampai sana tidak terlalu terik. Karena di sekitar telaga cukup …"
galuh sulistyaning,5,"Viewnya emang bagus banget. Apalagi kalo pas cerah. Tp kesini enaknya pas pagi atau sore sekalian, agak siang dikit panasss. Hehe.. untuk HTM 10rb menurut saya agak mahal ya karena cuma buat foto2 aja. Coba HTM 10rb tp dapat minum air …"
Afifi Sftri,5,"cantik banget tempatnya, enak untuk healing"
nadya,4,"View kerenn telaga dengan background bukit. Untuk harga tiket @10k dengan fasilitas yang diberikan masih perlu dimaksimalkan. Saran bisa ditambah warung dan km, fasilitas diperbaiki kayak perahu,dll"
Diksi Mole,5,"Bagus tempatnya namun kurang di maksimalkan. Belum banyak di maksimalkan, kaya perahu sama bebek sudah tidak berfungsi. Jadi kesini cuma foto foto saja terus pulang. Ada warung jual makan dan minum di samping telaga ini. Ada lahan parkir juga guys. HTM 10K per orangnya."
Aris prasetyo29,1,"Untuk spot foto,pemandangannya sudah bagus,tapi untuk tiket masuknya kalau 10.000 menurut saya kurang worit,mungkin bisa di turunin lagi harga tiketnya menjadi 5.000"
Malon Situmorang,2,Tiket mahal 10K per kepala dengan spot foto sempit dan itu saja
Pungky Nugraha,4,
i iyum,5,"Harga tiket 10.000 /orang. Anak kecil juga sudah bayar.
Pandangan bagus,"
sakila,5,
Bontot Digi,3,
Ridho R,5,
raihan adhi,5,
Agustina Tri Rejeki,5,
Ronder,4,
Andy Flo,5,Jadi pengen ke sana terus
Heri Ponco,5,Selasa 8 april 2025
Eko Toni Raharjo,5,
Puguh Tri Handoyo,3,"Ga ada apa2, kurang terawat"
Sidig Pambudi,4,"Sejuk, tiket masuk 10rb, menurutku mahal karena wahananya yg cukup terbatas"
Dias angga,5,
Deni Andriyanto,5,Kenangannya selalu teringat
FAISAL YUNUS AHMADAN,5,
Reka Devi,3,
dibral αrba'α Bayu Samudra,5,"bagus buat ngebucin, siap” kepanasan jam 10-2"
IG arya_ple,5,Tempatnya bagus sih. Cuman belum pernah kesini
Sahrul Eko Aprianto,5,
Wahyu Purnomo,5,"Tempat yang cocok buat kamu yang ingin refleksi diri dari keramaian kota. Lokasinya sangat strategis dekat dengan Jl Raya Solo - Wonogiri. Terletak di Desa Sendangijo, Kec. Selogiri, Wonogiri. Lokasinya tidak jauh dari Pusat Kota Solo. …"
Ismail Prasetyo,5,
Angga Dwo,1,Tidak ada apa-apa
Mas Andre,5,
Aida Nafi'a,4,"Sebenarnya bagus bgt sih,tetapi perlu di evaluasi lagi agar didalam ada petugas yang mengatur untuk dikasih nomor biar urut ataupun dikasih durasi.karena tadi habis kena saya udah nunggu lama dan orang orang juga ngntri.tiba tiba ada mba …"
Nur Hidayat,5,
Bintang Mhd,3,
Rani Asmara,5,Pacaran sama suami disini jajak pendapat terbaik..
Stella Seputra,5,
Thoriq Saqieb,4,"suasana nyaman, tenang, apalagi abis hujan. jd adem.
kurangnya cma di warung menunya kurang variatif, kmren hanya tersedia popmi saja"
Heynoel Channel,5,
Hasan Asysarif,2,"Bagus sih. Tapi 10k,cuma buat fto & vidio 🥲 …"
Aqilia asista,5,
Budi Sutrisno,5,
Shanti Wahyu andini,3,
ira nur hidayah,3,Air nya butek dan kurang menarik
p mingvie,3,"Tempat kecil bgt ternyata
Ada 3 gazebo tp cm 1 yg bisa dipakai
Jembatan yg buat jalan banyak yg rusak padahal htm 10k perorangan, tidak diberi …"
Dwi Adi Purwansyah,5,
Muhammad Satria Ardi Wardhana,5,
Ridwan Al mustaqim,3,Cukup dingin
nurul hida2735,4,"sempet lewat jalan yang rusak parah karena ngikutin google maps, tapi sebenernya jalan e bagus kalo lewat jalan yang bener, deket sama jalan utama Wonogiri. suasana enak, kalo mau foto ngantri ( jadi harus sabar ya ), dan karena ga tau ya …"
SAHRUL RIDWAN,5,
Rafli Candra,5,
ichwan,4,
Yainal Arifin,5,
Candra Setiyawan,4,Minim fasilitas . . . HTM 10 rb kurang worth it dgn fasilitas yg ada . . . Foto d dermaga hrs antre krn cuma itu spot foto yg mendingan . . . Smg bisa lbh d perbaikki lg . . .
Nandika Prastio,5,
Ambaul Latifah,5,
Achmad Tantowi,4,Tempatnya bagus
leni pri,5,Akses kesana nya lumayan jauh.
Khuswatun _khasanah,5,"Bagus bangettt, sejuk.
Kebetulan kesana pas gak rame, jadi gantian fotonya gak lamaaa"
M husen Al ichsani,5,
ismalia Nisak,4,
ferdyanzz _id,2,Untuk masuk ketlaga claket ini htm 10k foto harus antri tempat kecil untuk (spot dijembatan antri) jangan ber expextasi tinggi aja kalau kesini🙏🙏🙏 saya kesitu masih dalam perbaikan …
Abdul Rozaq,5,
Chibi _chan,4,"Tempatnya bagus, hanya saja kurang terawat.
Gubuk2 juga sudah reyot. Dan samoah berserakan. Semoga kedepannya bisa semakin bagus dan terawat,"
Shelly Nurlita,5,Sangat bagus dan rekomendasi
Marsanto Hary,3,"telaga dengan latar belakang perbukitan, area perlu diperhatikan dan di perbaiki, supaya spot foto nya bagus"
Salna Ns,5,
Isma Tsaqiila,5,
Tri Wahyuni,5,menciptakan kenangan indah bersamanya
Farchan Ramadhan Wansita Adhi,4,"Telaga Claket, Wonogiri, memiliki potensi keindahan alam yang luar biasa, namun pengelolaannya kurang optimal. Airnya jernih, tapi fasilitas dan lingkungan sekitar perlu perawatan."
Rizal,5,
wiwik sulistyawati,4,"Lokasi tidak terlalu jauh dari jalan raya Wonogiri -Solo,Telaganya tidak terlalu luas,pemandangan bagus,akses jalan bagus,mudah dijangkau baik kendaraan roda 2 maupun roda 4,mudah dicari lewat google map..Sayangnya tidak didukung sarana …"
aldicisboy -merintis,5,
