nama,rating,isi_review
Endang K,4,Senang bermain di sini nandi bareng komunitas senam lansia
aldian rendy pratama,5,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Avril Evelynda,5,"kesini waktu weekday, jadi sepi bangettt
tempat nya luas poll
tpi mungkin maintenance kamar mandinya bisa lebih di tingkatkan (beberapa …"
Reni Cahyawati,5,"Menyenangkan berenang bersama keluarga...tempatnya teduh, taman bagus, kolam recomended bersih...food court banyak"
Dani Nurelansyah,4,Oke buat liburan keluarga sambil bawa anak buat maen aer.....
Silvy Mariyati,5,"air jernih, tempat bilas memadai, tempat duduk banyak dan bersih, harga makanan di kantin standard.
overall bersih recommended buat bawa klrga"
Malaika Ali,5,Makanannya enak tempatnya nyaman bisa..karena hujan g bisa renang
Aisyah Farida triani,5,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
aris setyawan,5,"Tempatnya nyaman,banyak spot2 foto,recommend untuk bawa anak di tempat ini,banyak pilihan wahana kolam renangnya.trimakasih."
Saptari Wahyuningsih,5,"Lumayan rame saat hari libur, makanannya enak dan harga terjangkau"
maseko official,4,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Hasna Cahya Naufal,5,"parkiran luas, kolam renang mantab, makanan minuman oke, harga oke"
gibran al khalifi,4,"Tempat bagus,rame poll"
Iin Puji Astuti,4,"Makanan enak, cuma d gaseboo gak ada meja dan kurang gedee dikit"
wiwiet widyastuty,5,Bagus. Ndak nyesel kesini. Udara sejuk segar. Semua bersih tertata. Kolam nya asik aman bersi buat anak2 ada juga unt dewasa. Toilet bersih.
Muhamad Yusuf,4,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Teguh Wiweko Priyoaji,5,"Lokasi mudah dijangkau pakai kendaraan besar sekalipun
Tempatnya ga begitu luas
Ada resto dan kolam renang anak atau dewasa …"
XI-F1_07_Anneke Sukma I S,5,"First time datang langsung kagum karena emang sebagus itu, tempatnya bersih dan nyamann, cocok untuk acara keluargaa, yang orang tua kumpul yang anak” renangg wkwk, suasana sejuk karena dekat alam hijauu, banyak gazebo pulakk…. Intinya …"
Maya wulandari,5,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Ambar Sinung,4,Tempatnya asri
Hartoyo,2,"Terimakasih atas kunjungan dan review nya kakak, kiranya bisa berkenan untuk memberikan masukan untuk kami berbenah apabila ada yang kurang memuaskan dari produk maupun layanan kami🙏🙏🙏 …"
sutiknyo pranoto,5,Keren... Jadi pingin dolan lagi
suprihatin s,5,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Heny Najwa,5,bagus tempat nyaman
Candra Simarmata,5,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
Merlika Nur Oktafiaa,4,"Terimakasih atas kunjungan dan review nya kakak, kami tunggu kunjungan nya kembali 🙏🙏🙏 …"
