nama,rating,isi_review
Dwi Prasetyo,5,"Sayang banyak tumbuhan airnya, padahal ikannya banyak"
Hendi DS,3,
Muhammad Krisna Yoga Pratama,5,
gemisar Cuplis,4,
Rosalinda Christa Sabella,5,
Guru hidroponik indonesia,4,
アカリー,5,Tempat melepas penat setelah mudik..
Wiwin Winarsih,4,Nyobain spot mancing
Pak Oyo,5,
Sajakrerindu,5,
Risma Dewi,5,"Tempat yang cocok untuk nongkrong, jogging, foto-foto, sangat family friendly. Ada kolam renang, lapangan voli  dan taman kecil yang cantik."
Satimin Satimin2329,5,
rokhis noor rohim,4,
Khoirur Rijal,5,"Bagus, cocok untuk berwisata, ada kolam renangnya"
Riyanto Kartowihardjo,3,
Laurensius Jolo Manuk,5,
Brajamusti Kalacakra,5,
Damayanti Budiarto,5,Pengen balik lagi untuk liburan
ali setiawan,5,Saat musim hujan airnya bisa penuh...tapi di musim kemarau airnya surut....cocok untuk rekreasi keluarga.
Aji Basir,5,
HERU DWI WAHYUNI,5,
Iqbal Rowo,3,
ReynaldiBS,5,tempat asyik buat makan lotis
triyono bmt,5,
Ahmad Maulana Nur Evendi,5,
Oki Pamungkas,5,
indrowongjowo,5,Pertemuan tak terencana
Zhul Fichar,5,
Deki Wibowo,5,
Sri Rahmadi,5,
addinata wijaya,4,"Tempatnya cukup bagus msh bnyk hutan jati dan nuansa hijau yg masih melekat didaerah tsb, suhu udara jg msh asri nggak terlalu panas walopun tengah siang dan klo pagi masih terasa dingin dan segar udaranya krn msh hijau...bs keliling telaga sambil santai2...airnya jg cukup bersih ada jg warung2 sekedar utk ngopi mknn kecil"
seftrin ahwalina,5,
Ryan Csgp,4,Tempat bersantai  bersama
fifi fitro,5,
Wahyu Tanoto,5,
Ari Setyawan,5,
Catur Prasetyo Utomo (PrasetyoDesign),5,Rowo Telogo
AMIR SUPADI,5,Suasana syahdu di sore hari
Sindi Nur khotijah,2,"Jika untuk wisata kurang menarik, tetapi jika untuk menenangkan hati dan pikiran bersama rekan kerja dan teman cukup baik suasananya 🙏 …"
Arief mBelink,5,
yosa putra,5,
Haop Haop,3,
SugieMulyanie,5,
Sri Patmiyati,3,
Rhizky Sepdi,5,
Didik Setiawan,5,
Yuriko Mahendra,1,
Tiwi Quinta,4,Bagus
Handhang Wahid Puasa,5,
Dedik Purniawan,5,
N0L-BUSHIDO GRO,3,
Ardan Xf,5,
Dhani Pamungkas,5,
Didik Doeng,4,
beni suyatno,4,ademm suasananya
Ika Italia,5,"Cocok lah buat yg pengen cobain wisata outdoor gratis, ngadem sambil ngopi2."
Masoga Dwi Putra,5,
karmin winarta,5,"rawa itu penuh dengan rumput liar sekarang
kini Telaga Rowo banyak ditumbuhi rumput liar
sekarang rawa itu dipenuhi rumput liar"
Andi Setia (Andi),5,
dwi prast,3,
erna wati,5,
BHIMA WAHYU (BhimaWahyu),5,Sering klo lewat sini buat istrht
Uyik Suyanto,5,Lumayan bagus... Airnya tertutup tumbuhan air
Sigit Sugiri,5,
Maychel Caroly nurva,4,
she3 Uye,4,
Hana Pertiwi,4,
Maz Tarto,5,
agus sukrisno,4,Taman rekreasi yang menyenangkan
Haritsah Efendi,4,Lihat ikan menari airnya jernih di sela ganggang
Fajeriani Lyra,5,
Andhika Wahyu Ababil,5,
Mrs Snow,5,
Rohmat Jayadi,4,
Tak Berhenti Berjuang,4,Semoga segera dilakukan renovasi dan pembersihan sampah di telaga..
Taufik Wahyudin,5,
Dipa Dipo,5,
Wonogiri Jawatengah,2,
Alfinnissa 09,5,
enzianata prahestitava,5,
enny ayu,5,"Gayeng, Menyenangkan, Pemandangannya Indah."
Tyo Prast,5,
RATNO NOE,5,cocok untuk wisata dan kegiatan outbound / acara komunitas
Den Bagas,5,
KAWULO ALIT,5,Asri
Herry tri prasetya,5,Tempat yang indah
Dwi Susilowati,5,
Mafia Suket,5,Naik
ning wa,4,
Alfi Pangestiawan,5,"Sejuk, indah, tenang, menyenangkan. Tempatnya tidak jauh dari Tirtomoyo atau Baturetno, sekitar 15 menit perjalanan. Di seberang telaga ada warung lotis dan jajanan yang menyediakan cemilan untuk menemani Anda menikmati telaga."
Bambang Sejati,5,Tempat rekreasi yang indah.
mass Eppen,4,
"Eyang Roffi suka sekali, fery nice. Roffi good.",1,"Tolong kpd bpk2 pjbt setempat, sampah2 di perairan Rowo bisa dibersihkan dengan cara kerja bakti atau apapun, sayang itu tempat kelahiranku. Trims kasih atas atensinya. 😢😢👍👍👏👏 …"
Lilik Mutia,5,
Dedy Sugeng,3,
Tepuk edi Prayitno,5,Uenak sebenarnya tidak berbohong
Cholid azis Saputra,5,
Fery Nugros,5,"Wisata alam, ditambah ada kolam renang dan hiburan musik"
Guruh Tri Muladi,5,"Sejuk banget suasananya..
Menepi di pinggir telaga..
Apalagi pas tahun baru gini, cukup santai untuk merecharge energi sebelum …"
Sibang Hore,4,
Dwi Nurhayati,5,
Lavv liet,5,
Aprin Novi Kristanti,5,
Ria Novikasari,5,Silirrr
Aroel Syahputra,5,
Yanto Yanto,5,Tempat yny indah. Buat nyantai
Balqish Augustina,5,
Vian Krismonika,4,
Nova Anugrah,5,"Sangat sejuk dan asri , sayangnya sedikit tidak terawat..."
Ghe Haa,5,
Roy Agil,5,
Jolo Dhong,5,
Rizqi Ameliatiana,3,"Kurang perawatan kebersihan, fasilitas dll"
Mardiandyah Saputra,4,
Rohmad Hadisiswanto,5,
Aulia Latif,4,kesegaran alami dr hijaunya daun serta riaknya air telaga serta kuliner yg lezat bikin pengunjung ingin mengulang lagi datang ke telaga rowo....ayoooooo dilarasi rek.... pokoke marem....
Pak Sasono,2,
SOHA,3,
rizqi brajamusti,5,"Tempat wisata yang strategis yg didukung dengan berbagai kulinernya,udaranya yang sejuk,warga yg ramah cocok untuk wisata keluarga,yg akan kemping jg ada vew nya juga asik pasti penasaran ayo ke telaga rowo........."
momodolp,5,
Safitri Prima,5,
Ridwan Nicuyr,3,Gak ada nmr tlpon nya ya
Ari Wibowo,5,
Yuli Dwi Hananto,4,
gaming D,4,
L Wiyono,1,
abiyan,4,
MAMAN MARIMAN,4,
Nana Cahya,5,
AsliBintang,3,Telaga berlokasi dipinggir jalan jadi mudah dijangkau...bisa memancing juga nih. Warung makan juga ada disekitar lokasi..
ARDY MARVELL,4,
Ridho Annafi,3,
Juragan Pentol96,5,
Dian Elektronic,3,"tempat yang bisa menjadi lokasi wisata masyarakat sekitarnya, semoga semakin baik pengelolaannya baik untuk manfaat dunia dan manfaat akhirat ☝️"
Amin Pranata,5,"Ramai., santai buat nongkrong buat sama pasangan"
Dyan Sunu Prakosa,5,
Dewi Kurnia Wati,5,Bagus
Alfin Refsi,5,
Deka Kristsada,5,Tempat rekreasi keluarga dengan view telaga..
AZIZ JALU PRASETYO,5,
Arkan FEDO,5,
Prasetya Official,5,Tempatnya nyaman namun sayang kurang perawatan saja
Hardiansah 09,1,Kondisi tidak terawat.
Amba Dara mulyani,5,"Tempat yang tepat buat ngadem,
Dipinggir jalan besar... banyak yang berdagang..."
Baturetno Berdikari,5,"Tempat nya nyaman dan sejuk,,"
Sugie Yanto,5,Sahdu bagus
Alvian Nur Romadhoni,5,
fredi ari nugraha,5,
Teguh Prayitno,3,
