nama,rating,isi_review
Wahyu Putri,5,
Zia Tari,5,Tempat nya indah dan bnyak spot untuk foto bersama keluarga dan orang tercinta🥰 …
SOFI ARIYANTI,4,
Hadi Yanto,5,
Achmad Rifa'i,4,
Doni Nur Rohmad (Rohmad),5,Jangan lupa liburan ya teman-teman 😂 …
NOVA YULIANTO,5,
Rahayu Ningtyas,5,"Bekas pabrik gula era kolonial Belanda ini disulap menjadi destinasi wisata yang indah yang perlu anda kunjungi jika berkunjung ke Solo. Setiap sudutnya menjadikan foto nan cantik. Jika malam, cahaya lampu-lampu menambah suasana hangat dan …"
Wawan,4,Tempat foto²
Media Belajar,5,
Hasimy Md,5,Tempatnya sudah ditutup dan digantikan oleh Rasamadu Heritage. Saat itu tahun 2022 saya kira pertama kali saya berkunjung. Saya akan memberikannya 8/10. …
Eillen,3,"Kubiknya bagus sekali, tapi hanya itu saja."
Andreas Wibisono,5,
Budi Yanto,5,"Pabrik gula yg di sulap menjadi tempat rekreasi dgn spot foto yg bagus,,"
Devi Lugita,5,
Azarine Firyaal,4,"Bekas pabrik gula jaman Belanda, edukasi tempo doeloe."
Joseph Abida Hendrotriputro,4,
End Joris,4,Bagus lokasinya hanya saja tiket harus beli dobel buat masuk kesini
iNews Tuban id,5,
nety agustin,5,
juita panoma,5,
Heru Santoso,1,
Nevlin Collection,5,
Budi Prayitno,5,Tempat nya keren selalu ada yg baru jadi ngak bosen berasa kayak di luar negri
Yetty Pratitis,4,Bagus buat liburan para emak2
Nurul Aini,5,Tempat ini sekarang berganti nama menjadi Rasamadu Heritage
Kanza Rafa,5,
HERU MURTADHO,4,Bagus tapi di musiumnya panas bgt
Eka G,5,"View bagus ,bersih dan tertata dengan baik ,spot foto bagus,petugas komunikatif,tempat yang di rekomendasikan untuk tujuan wisata , ...di jaga dan di pertahankan ya"
Wilis Hanggarjati,5,
Anike Sulistiowati,5,Ganti nama. Rasamadu heritage. Masih renovasi. Overall bagus
Okky Andreansyah,5,
Damn Diablo,5,
Yeyen Saputro,3,Panas gak ada es kopi
Atika Nur Asmara,4,Bagus
Inisial R,4,
marcel,4,
Resti Murni asih,5,Besok tiket berapa.? Kak
Sunny Krishna,5,
Sam g.dragon,5,"Recomended tpi klo bisa datang pagi atau sore,klo siang panass e poll"
Abrur Alaina,3,
Nurul Nutriana,5,"The heritage palace sudah berubah nama menjadi Rasamadu heritage, tempat wisata menarik solo yang bisa di kunjungi jika kalian berlibur di solo!😍 banyak spot foto menarik & tempatnya bersih. …"
Wahsinggih,4,
Dana Nola,5,
Desan 777,5,
Leonard Gunawan,5,
Sugi Haryanto (Owner Usaha Barokah),5,Nyaman
Khafifudin Hidayatulloh,5,Lumayan bagus. Kesini boleh bawa kamera
Prima Utama Rinaldi,5,
Deka Aryang,5,Lumayan
Syarif Asad,5,"Rasa Madu, bangunan peninggalan Belanda 1920 sebagai pusat pengolahan tebu"
Jaka Susila,5,Bagus
Linta Maulana16,5,"Tempatnya nyaman, orangnya ramah-ramah, rekomendasi bgt. Pulang dari the heritage makin relax🤍 …"
Trisiska Putri,4,Oke tapi experience nya agak kurang. Untuk tiketnya yg terbilang lumayan
Rini Pudyastuti,5,Suka bgt dengan cubic nya. Bagus...
NURWA Khoiruddin,5,"Alternatif wisata di tengah kota
Bisa lihat lebih dekat mobil klasik"
boshe anton,5,
Lilik Faiqotul Himmah,5,
Agung Santoso,5,Tempat yang bagus
tri hendrik septiaji,5,Tempat yang bagus untuk membawa keluarga Anda ke sini. Ini memiliki bangunan monumental dan bersejarah.  Itu juga bagus untuk dilihat.
adhis MSK,5,Keren
febriyansyah lukmana,5,"Lokasi cukup strategis
Spot foto lumayan banyak dan bagus
Tiketnya cukup terjangkau juga, tidak murah, tidak mahal …"
43_F_Nur Purwasih S Bako,5,
Budi Haryono,5,Tempat bagus buat wisata keluarga nyaman dan bersih
Nurcahyanti (Tjoe Lan),5,
Maesaroh Nayla,5,Oke
Fahmi Darmawan,5,
Fery Rohandriawan,5,
Dhebie Zach,5,
syaiful anwar,5,
Prasetyo Ari Wibowo,5,"Spot foto bagus dan instagramable , kunjungan sore disarankan karena sedikit tanpa mengantre"
Ihsan Pratama,5,banyak spot foto
Reni Lestari,1,
Indo Cypher (CS),3,
Bey Aptiko Istiqlal,5,"Tempatnya bagus, antik, trus ada semacam showroom mobil mobil sama museum 3D. Keinget pas ke sini disuruh fotoin bule manca negara yang ga bisa bahasa Inggris atau Indo. Alhasil komunikasinya pake bahasa isyarat😁 …"
dicky indrawan,4,
Gian Dra,5,
Chilvia Faragus,5,
Muhamad Yusril Ihza Mahendra,4,Bagus buat yang suka bersantai
Tri Andini,5,
Yamto Suprapto,5,Sangat cocok untuk rekreasi keluarga parkir an luas
Ferennrnrn,5,"Dulu namanya Harritage Palace, sekarang sudah berubah jadi rasamadu. dulu bekas pabrik gula, selain bangunan utamanya juga ada museum mobil. untuk area parkiran luas, tiket juga dibedakan antara yang area out door atau mau nambah museum …"
Andi Setiawan,1,"Terlalu mahal. 100k air minum saja tidak dapat,"
Ngudi Rent Car,5,Tempat yang bagus buat wisata
sony indramawan,4,Yang worthed cuma cubic. Yg lain B aja. Spot fotonya dikit.
Mojako Mojako,5,"Bagus , tiket museum juga murah, pas untuk anak sekolah klg"
Aryasatya Channel,4,"Salah satu tempat wisata yang unik di daerah Solo
Ada cubic room
Ada museum angkutan
Dan patung lainnya
Tempat instagramable buat foto foto
Tiket terjangkau dan bisa beli online jadi lumayan praktis"
honey lunafiqa,4,
Dudy H,5,
abdul zani,5,
agus Timonoro,5,
Dhany Wardianto,5,Tempat bersejarah yang dilestarikan
Rheni Rin,5,
Cindy Arista,5,
JOJor Or,5,"funny place eh udah 2X kesini luamayam seru untuk ajak keluarga berlibur bersama di solo

dulu kesini waktu masih sepi sekarang kesini udah luamayam rame dan ada yg box kaca itu tapi menurut saya terlalai rame di boxnya itu sehingga kurang nyaman tapi menurut saya pegawainya bisa menghandle dengan baik sehingga foto foto yg di dapatkan juga bagus"
mas tumadi,5,Viewnya lumayan megah
Sari E,5,Cukup menghibur
Robert Sumendap,5,Pekerja harian dengan berbagai kesibukkannya.
SuperSub 10,5,
suratno suratno,5,
Adhiwinarto Setiawan,5,
Adriana Winarto,4,Tiket masuk mahal
KOPIKO STUDIO,4,"Bangunan kuno dijadikan wisata,museum kendaraan kuno,foto bareng burung hantu,ruangan cermin infiniti(cubic)"
Ega Agulia Saputri,1,masuk cubicnya lama nunggu dua jam😏 …
Zaki Fairuz,5,Tempatnya bagus sekarang sudah tidak panas lagi
Ropik Hidayat,1,Tiket mahal dengan wahana hanya foto sepetak tok
Opiknya Luna Afiqa,4,"Area nya kurang luas, muter dikit selesai sudah dan cukup skali saja"
Heri Sugianto,5,Bagus
Istigh Faroh,5,
Luthfiyatul Ulya,5,
Tjut Meviani Theresia,3,Tidak apa-apa...
Dwi Hajayanti,3,"Dari luar apalagi dari foto menarik, setelah sampe? Kurang sesuai dengan ekspektasi. Dengan harga 35rb tapi masih harus nambah beli lagi jika harus ke museum dan cubic. …"
Eqoes Kusmana,5,Sekarang berganti nama menjadi Rasamadu Heritage. Bekas pabrik gula tahun 1920. Bangunan bergaya Eropa ala-ala kastil
syamsul hoods,5,
Rindhi Novico,5,
Aris Pambudi (SALAKIA CELLCOM),5,
Amanda novi,5,
Loren,4,
Iche lin xin,5,
d Pras,3,
Rendy Flair,5,
WASSITI Bunda Tyo Fafa,5,"Lokasi sangat strategis, jalan tidak terlalu macet, suasana sangat nyaman, kita disuguhi spot Poto yang sangat indah, dengan dibantu staf atau seperti tour guide gitu. Yang suka Poto2 beliau yang membantu kita berpose estetik. Pengalaman yang berkesan pokoknya, semoga renovasi segera selesai agar semakin menjadi daya tarik wisatawan."
Bustab Basukarno,5,Bagus
Imam Ma'arif,5,Seru banget wahananya!
Yashinta Arizona,5,
Satria Putra,5,"Tempat nya bersih, nyaman, wangi, dan semua fasilitas terawat"
lukman hakim,5,
LINDA MURTIHASTUTI,3,Tempatnya lumayan panas..kurang pohon dan penghijauan.
Apindania Foni Andari,4,
Andrijan Mindjaja,4,"Sdah ada penambahan tapi juga ada pengurangan. Vintage2 nya tolong ditambahi, mngkin alat2 transportasi"
Aska Ayu,4,Lebih baik pesan tiket online dari website kalau mau masuk ke Cubic karena bisa pilih jam. Waktu dibatasi hanya 15 menit. …
Sandhika,5,"bagus bngett, akan lebih enak kalo dibuat supaya agak adem gitu"
Ade Hermawan Afandi,4,
annn__,4,
Sun_ Day,5,
ERMIMURNIASIH ASIH,5,Bagus tempatnya..spot fotonya...terutama yg 3 dimensi
Ka Sih,5,Bagus sekali
Joko Saputra,5,
Martini Martini10,5,
Widya Kurniati Novitaningrum,5,"Tempatnya bersih, harga weekend dgn weekday berbeda. Kmren kesini pas weekend utk paket outdoor aja 35rb klo tmbah yg cubic jadi 50rb"
Riyanto,5,"Tempat wisata yang bagus, parkiran luas, menyuguhkan tempat berfoto 3 D yang menarik dan menakjubkan."
Riyan Fahmi,5,"Sebelum Tutup Permanen, sempat kan mampir pas di Solo"
rame. ram,5,
Yudi Firmansyah,5,
Danang Budi Pratama,4,
fuji medina95,5,Kereen siih tempatnya
A-Three Grup Frozen Food,5,Rubic nya bagus
Anang Bagus,5,Tempat yang indah dan berasa dibawa masuk ke zaman dulu
Dian Eko widodo,4,"Tempat wisata bagus, tapi kedepan perlu d perbanyak tempat yg di lihat. Harga tiket 30 untuk masuk cuma lihat outdoor termasuk mahal, tiket 50 rb bisa masuk ke cubic dan museum transportasi lumayan bagus."
wita sari,3,
Maria Meistika,5,setelah ganti nama adabtambahan cubic yg bikin agak berbeda
Irawan Triwibowo,4,
Yoga Pratama Mulya,5,
Sun Sunarso,4,"Dekat jalan raya,
Parkir memadai,
Nuansa Eropa / pabrik gula tinggalan Belanda,
Banyak Spot foto."
Krisna Putra,5,
Eka Fitri rejeki,5,
Samsul Hadi,5,
Arrum st,5,
Setyawan Suryanto,4,Tempat yang bagus untuk berfoto. Buat status di media sosial.
Natasya Khairun Nisa,5,
Elya Kurniawati,5,"Serasa di Eropa.

Gambar 3D benar2 nampak riil…

Keren banget"
Fizpratama55,4,
mr. big,5,tanggal 4 Januari 2025 kesini. tidak antri beli tiketnya.
rahayu ningsih,4,Asyik nanget sih.....
Anis Eka Permatasari,5,Bagus… nuansa luar negeri
Indah Fajarwati,5,
Natalia Suci,5,
Tri Hardianto,5,
Opay Purnawan,5,Wajib dikunjungi oleh wisatawan yang pertama kali ke Solo spot foto di sini sangat indah dan bagus kopinya juga enak bawalah keluarga Anda ke sini
akiong chua,5,
arief Yap Min Lu,5,"Heritage, nyaman, kurang banyak penjual makanannya"
yuni mur,5,Bangunan yang .....
Jonnatan Purwoko,4,
Sinta Novitaria,3,
RidiiK Basuardi,3,Pabrik gula tua
yeni krismawati,5,
Tri Agustina Wati,4,
vidya kurniasari,5,Bagus bgt tmptnya...bersih jga...ada tmpt belanja bgus bajunya bagus2 bahannya
Agus Wiyono,4,
RoseLyn,4,Mau beli tiket yang paket indor dan cubic bisa tapi harus nunggu jam 4 karena kita kejar waktu akhirnya beli yang indor aja 35 harga weekend isinya cuma bangunan tua tapi tiketnya mahal …
Andro Munthe,5,
Regina Dhamayanti,5,
OMAR ABDULLAH RAFI,5,
Reyna Wowor,5,"Banyak spot fotonya, yg cubic bagus👍🏻 harga tiket terusan outdoor, museum, cubic = 60k …"
Sidiq Fhatoni,5,Joss
Sambang P.,4,"Ya oke aja, tiket harusnya bisa lebih murah"
Prima Sakti,5,
nur triana yuananti,5,"Area parkir luas namun terbatas yaa, terdapat tiket terusan dan non terusan. Untuk cubic dimulai jam 13.30 masing2 sesi 15 menit. Outdornya estetik karena emang ini bangunan jaman dulu bekas pabrik gula lalu tembako difungsikan buat wisata. …"
J Rolan N,4,
Endah Rahayu,4,
