nama,rating,isi_review
iqbal maulana ibrahim,5,Karya seni yang luar biasa
Chintya Astri Permatasari,5,
Samaya Winduwasa,5,
Vinata Martadewi,5,
Rahma Amorita,3,"Sudah booking tiket tp pas dateng ada pemadaman listrik trs diminta menghubungi admin, namun admin tidak responsif dan tidak aktif, kurang ramah. Semoga kedepannya disediakan genset dan memperbaiki pelayanan, terima kasih."
Deal Baby,4,"Bagus2 koleksinya, cuma kurang banyak aja hehe"
Zwageri Adnan,5,Baru ini galeri seni
Neng Chizky,4,
Elfira Sheva,3,"koleksinya bagus bagus sebenernya tapi sorry to say yg bagus cuman koleksinya aja. Kesini di hari minggu (11/5) waktu long weekend dan crowded banget, gatau kalo weekend biasa kayak gimana. Sistem reservasi dan penitipan barangnya kacau, …"
Nabilla safira,5,"Dateng pas long weekend bener bener rame sekali, overall untuk pameran nya bagus"
Nisfu Farida,5,"Museum pribadi yg sangat bagus sekali, dan dibagi tiap sisinya, jd tidak terlalu penuh, 1 sesi hanya 1 jam, pengunjung akan dipimpin oleh guide untuk diberikan penjelasan terkait rangkaian karya seninya, setelah itu akan diberi waktu bebas …"
Fatimah Dwi Septian,4,Museum yang unik dan menarik! Saya melakukan reservasi di website museum untuk tiket masuk 1 orang 25rb dan diberikan waktu ±1 jam untuk eksplore museum. Koleksi yang dipamerkan sangat beragam dan memberikan wawasan yang luas tentang …
Seftri NL,4,
Ade Okta Aulia,5,
Aqnaa Saffero Az,4,Museumnya ngga terlalu besar tapi koleksinya cukup menarik.
Widiya Wijayanti,5,"best museum. 1 jam di sini ga berasa
kalau ke sini pas weekday mungkin lebih longgar yaa"
Ari,5,Baguss
Hunter's Family,5,
yanu eko,5,
Riki Nursandes,5,"Koleksinya menarik, pengunjung diberi waktu satu jam untuk menjelajahi museum. Meski tidak terlalu besar, tetapi rasanya satu jam tidak cukup untuk bisa menikmati semua koleksi seni di sini. …"
abdi m r,2,museum privat yang sekarang harus bayar ... yang menarik dan ditunggu dari museum ini adalah pameran tentatifnya.. cara merangkai cerita dari berbagai karya seni dan memberinya tema benar-benar segar ... walau kadang overwritten...  koleksi …
Elfebri Pasca Wardani,5,Koleksinya bagus-bagus. Banyak spot foto jugaa. Instagramable banget. Alhamdulillah pas trip pagi gak begitu banyak orang. Waktunya benar-benar dimaksimalkan buat menikmati koleksi dan foto-foto
Sonia Amira,5,
Shirley Laurentia,5,
Sonny Hermawan,5,Inspiratif
skibidi sigma,1,"satpam e elek, gakjuelas blas"
Shofiyah Arrosyidah,3,"Tidak menyarankan ke museum pas lagi weekend atau long weekend. Bener-bener crowded. Gak bisa menikmati pameran lukisan dengan leluasa. Tiap kali mau ngeliat lukisan banyak banget orang-orang yg mau foto, jadi kayak malah mengganggu yg mau …"
Krishna Surya,5,Tempat menikmati koleksi karya seni
Hendro Kusumo,5,"Salah satu museum di Kota Sola yang estetik banget.
Cukup dengan tiket 25.000,kalian sudah bisa menikmati karya seni yang unik.
Untuk pembelian tiket enaknya lewat OTA ya,tapi beli dilokasi juga bisa. …"
Rizki Amir,5,
ADDIB HASYIM,5,
Maia Sofa,5,
jilan namira,5,"CANTIK SEKALIIIIII , semoga ada lagi kapan kapan di kota lainn"
Samantha T Siagian,4,"luas dan sangat bagus koleksinya
ada 2 lantai full ac
wajib reservasi beli tiket melalui website sebelumnya dan jam kunjungan dibatasi …"
Asri Luwarsie,5,"Awalmnya liat tumurun dr traveloka, lalu penasaran dan langsung pesen. Kesini pas weekday. Aku ambil yang sesi pagi, 1 sesi 10-20an org mungkin kali yaa, durasi waktu 1 jam. Sebelum masuk dijelaskan tentang peraturan masuk museum. Kurator …"
Flowry Adni Jannatia,5,"Salah satu museum ciamik dengan periode yang terbatas, jadi harus masuk list kalo ke Solo ya!

Oiya tiketnya kemarin aku pesen langsung di Traveloka, 25k/orang dengan memilih jadwal yg tersedia. Hari H kita tinggal menuju TKP, di loket tunjukkin barcode, ikuti peraturan disana, daaan selamat menikmati!🙌🏻"
Kindergarten Teacher,3,Koleksi museum dan pameran bagus. Guidenya menjelaskan terlalu terburu-buru. Kamar mandi di parkiran gak layak untuk museum sebagus ini.
AZZAHRA ARDYA KAMARATIH,5,
hudie aries,5,
fie fianichaa,3,"Tempatnya gak begitu besar, koleksinya cukup menarik tapi sayang TOILET nya 🙏🙏 mending nahan pipis dah 😭 …"
