nama,rating,isi_review
Zuan Styawan88 Zuan,5,Tempat yang bagus untuk pemandian atau renang. Selalu awasi anak2 dimanapun kita berlibur.
chandra Hermawan,1,
Fadil Penyok,5,"Air nya bersih , segar"
ruth dewi utami,5,"Seru, pengalaman baru."
Ariyadi St,5,
May Roviantika,4,
Arin Karunia Rizki,5,
Rita Rhoy Kana,5,"Sensasi mandi di air AQUA, seger banget.

Plus, bisa snorkeling ala ala bersama ikan2. Bisa request foto dalam air juga. …"
prabu hutama,5,mantap...
Syamil Atayya,5,"Tempatnya keren, cocok untuk liburan keluarga, ikannya besar-besar dan sehat, airnya jernih, serta pelayanannya the best"
dewi pelita,5,seru
Mariya Sulastri,5,
Ayu Ningsih,5,
Dias Ryan,5,
Niki Anane,5,"Pertama kali ke umbul ponggok namun sayang sekali hujan cukup deras dan ramai karena long weekend. Mata airnya segar sekali, meskipun hujan saya betah berlama-lama berendam dan berenang. Semakin mendekat ke mata air, airnya semakin dingin …"
Alhimna Rusydana,5,
Sulis 3030,5,Bagus
Hannung Khasanah,5,Airnya jernih dan segar. Cocok untuk mendinginkan badan saat cuaca panas
Ngaji Kyai Nusantara,5,
Zumala Laily,4,B aja sih
Ariani Narwastujati,5,"Tempat hiburan air yang memadai dan menarik untuk keluarga di tingkat daerah, bukan kawasan ekslusif wisata. Terobosan wisata berbasis masyarakat. Bisa dikembangkan di tempat-tempat lain sesuai potensi yg dimiliki."
Ade Ashardian,5,
Eru Lio,5,"Airnya segar,cuma dalem bgt kolamnya,yg gak bisa berenang wajib pake pelampung dan hati"" ya"
Taufik Hidayat,5,Lumayan
Anto Fortune,5,
AGUNG RAGIL,5,
Tresno Tresandi,5,Mantap bengkelnya
Papa Hands,5,Seru
Ceppy Purnama,3,"Murah, tapi beberapa stafnya tidak ramah."
Muh Afif,5,
ian 207,5,
Diki Arisandi,5,Keren airnya jernih banget
Agung Marey,4,Cocok bersama keluarga menikmati suasana alam Umbul Ponggok
Dimas Sayyaf,5,Seru
bang reza,5,
akhmad ismail,5,
Imron Dramawan,5,Joss...
Gabriella Berlian,4,"Akses lokasinya gampang banget, tepat parkirnya luas. Umbulnya bersih, kamar mandinya juga bersih banget."
Reni Ibrahim,4,
Rahmad Ramadan Khairawan,5,Renang
Wajito Wajito,4,
Dian Ratih,5,
Ahmad Sholihun,5,
Ade Tri Widodo,5,
Rajimim 84,1,
A Setiawan,5,"Airnya seger, area luas, meskipun ramai tapi masih banyak spacenya"
Ardian azzghan,5,
Noor Rachmadhan,5,
Aceng S,4,
Diah Setianingsih,3,Tidak ada tempat parkir khusus untuk pengunjung :(
Patrick,4,
Andrias Bambang KW,5,
Prasetya Hutama,4,"Baru tau ditempat ini, kolam renang ketika mau bilas harus bayar lagi..."
Rifqi Ulinnuha El-Chusyairi,5,"Tempat bersih, rapi dan tertata."
Abdul Kadir,5,
Suranto ranto,5,"Home stay sangat recommended lokasi di antara dua gunung dg pemandangan lima gunung,udara sejuk,jauh dari kebisingan harga ramah di kantong"
Abeliya Munica,5,"Airnya jernih polll seger, rugi kesana kalau nggak berenang...makannya enak enak😗 …"
Tamar Panji,5,
Pras,5,
Raflie lee,5,Mim pk muhamaddiyah kartasura
Mifaf Anjali,5,"Sangat cocok untuk belajar berenang, mata air jernih , bagi yg bisa renang bisa sambil liat keindahan dasar umbul dan ikan² yg berenang di samping kita."
Reza Negara,5,Air nya tetap jernih dan terang ketika hujan.
Lisna Widjayakusuma,5,
Agus megever Agus custom575757,5,Tempat yang nyaman
Hendra Kurniawan,5,Sensasi berenang di kolam yang luas sekaligus mata air. Disarankan membawa snorkel atau kacamata renang supaya bisa menikmati indahnya kolam
Teguh 19C,5,
Hidayat Electrify,5,Tempat pemandian degan mata air alami plus bisa berfoto
Yanto Fat,1,"Parkir mahal fasilitas bayar semua masuk juga mahal, dulu rame banget sekarang sepi karena mahal"
Ahmad Fatoni,5,
Mudapati Agung,5,
Waluyo Tri Harjono,5,
ROKHILA ROSYIDAH,5,
Ganda Child,5,
Wilis Yulianto,5,
daryell Hermawan,5,
Sri Puji Astuti,5,
Ponco Heru,1,
Gemilang Kartika,5,
Eza Sapilono,5,"Bagus, tapi kalau untuk yang blm bisa renang harus lebih hati2 karena tempatnya dalem"
Adi putra Dwi pantara,5,
Arif Yuli,5,
Bobby Joe Adams,5,
Aba Malna El azka,5,
Maulana Syarif Hidayatullah,5,"Airnya Jernih, Adem, Ikan KOInya banyak, kedalaman kolam 2-3 meter. Yang sangat disayangkan photo under water terlalu mahal. Jadi ga banyak orang yang mau. Hanya menggandalkan kamera HP jg sudah cukup."
Joko Setianto,5,
Erix Menosa,5,
Barli Hari,5,seru tempat nya
angggit 16,5,
Yuliani Nugraheni,5,
M RIFKI AL GHIFARI,4,"Terima kasih review nya kak, lain waktu bisa berkunjung kembali ke Umbul Ponggok ya"
Rony,4,Kesini untuk pertama kalinya setelah bertahun - tahun melewati masa viral. Cukup ramai tapi di waktu weekend. Ada jasa foto juga 100 ribu untuk beberapa orang. Kedalaman kolam mulai dari 150 cm sampai ±3 meter di bagian tengah. Untuk yang belum bisa renang bisa sewa pelampung.
Wahyu Nugroho,5,Nyuss..sweger....
Cushy Bitey,5,Fasilitas Terlengkap✨🤍 …
Totok eko haryono,3,
vita cahya,5,
suwandi Abu azreena,5,"Umbul yang dulu saat saya kecil tidak diminati, sekarang ramai dikunjungi"
Beloved,5,Bagus
COROMART,5,Seruuuu
Burung Gaming,5,
Mauricio Vejarano Barrera,5,
ahmad roy,5,
Kristia Endah,5,
Samuel Adhi Nugroho,5,Nice pemandian
ersi official,5,
Achmad Fauzi,5,"Kali ke 2 ksini dan msh bagus meskipun dibeberapa spot sdh kurang, tp msh recomended"
ella nurlaila,5,
adi kusuma,5,Seger ndaa
darmanto pranaja,5,
Novianna Pramesti,4,banyak tempat duduk yang sudah tidak terisi tapi kotor sekali. sepertinya memang tidak ada yang membersihkan 🤢 …
rachmat azhim,5,
Ary G Sudrajat,5,
