nama,rating,isi_review
Nabil Fathoni,5,
Urip Yuliawan,5,
Sri Suharso,4,
Bangkit Eva kurniawan,5,
Bhe Jheee,5,
Dian Arifianto,5,
Aji Bayu Prasetyo,5,
Mas Fitroh,5,
Retta Makhfiroh,5,
Bambang Witarso,5,
Ilham Hendrawan,5,
IKBAR GAMING,5,
Manyun Chabby,5,
Arif Irawan,1,
khosim spmeng,4,
Ryan Surya,5,Tempat yang asri tidak menyulitkan pencari ketengan bisa dikunjungi setiap saat&apalgi kalau weekend selalu ramai orang berolahraga apalagi disudut tempat terdapat penjual2 makanan tradisonal.
Anhan Mekarsari,5,"Minggu pagi banyak wisata kuliner yang murah meriah, cocok buat nyari sarapan"
Rohmad S86,5,
Wisnusm Data,5,
subtrates diraja,5,"Tempatnya masih asri, bersih dan rapi. foto diambil disebelah sisi barat waduk. Mohon jaga terus kebersihan sekitar"
IWAN JAYA SOLO,5,Momen yang bagus
Daffa Wahyu,5,
Ra Diman,5,"Bagus
Bagus
Bagus"
Dela Noviasari,5,
Feri Feri,5,Menyesap
Gustap 354,5,Lihat sedikit pun Anda 🌷🌷 …
Ipung,3,
Ageng Setio,5,
Wawan Channel,3,Sejuk
FEN DAF,3,Kalau sore tidak hujan agak rame
Pijernet Plangsalam,5,
maulana padang8,5,
Ahmad Sam,5,
Febri,5,Ademmm lan ngademm
yoga gerclek99,4,
Asyifa Syifa,5,
Nur Fadli,4,
Riski Surya Pratama,5,
Dedy Kenyung,4,Kenangan
Ihsanudin,5,
Lilik Setiawan,4,
Val Sensei,5,
bambang hariyanto,5,
Fika Nur Kotimah,5,
Fredia Dermawan,5,Baik
Nanang Andriyanto (Nanang Avino),5,Tempat nya Asri
agus sudarsono,5,Sarapan nasi tumpang
aziz abdul,5,
Dwi Listianto,5,Tempat yg asik buat nyantai di sore hari dan bisa buat joging juga pagi2. Seger udaranya krna kanan kiri hijau semua. Kalo mau jajan juga ada warung di pinggiran
p anik sanika zarin,5,Pengen makan pecel krokott.. Pecel gendar.. Bersepeda.. Mampir ya.. Harga murah lah... Bisa imbah imbuhh.. Sambel pecelè.. 😋 …
Arif Udin,4,
kabar bandianto,2,
Khabibun nadlir Diana,4,
muhammad nur rohman,5,Tempat yang bagus
Heri Purnomo,5,Sangat indah ....
Muhammad Hasannudin,5,"Tempat ini nyaman untuk menikmati suasana pagi ,sambil makan pecel racikan seorang nenek penjual pecel gendar di sudut waduk kembangan,dengan harga murah dan nikmat,sementara untuk minuman bisa membeli di warung mie ayam/ bakso …"
