nama,rating,isi_review
Dwi Agus Saputro,5,
Andi Prasetyo,5,Bisa untuk tempat wisata keluarga dengan budget ekonomis
AFAN LATHOFY,5,tidak siap💯 …
Jagoelektronik,5,
Khrist Joe,3,
Daffa Muhammad Dzaky,5,
Muhammad Syahrul Mubarok III,5,
Muhammad Faiz,5,👍👍👍 …
HILDAN RAMADHAN,1,
Fatikah Suryaningrum,5,"Bisa buat healing sama temen, bawa makanan dari rumah dan foto aestetic di sini, wkwk. Low budget bisa di contoh"
Efendi Pradana,5,cocok untuk santai d sore hari
SU NARNI,4,
Ramutu Rider,5,
Budi SAntoso,5,"Cakep poll ,tempat nyantai di waduk mulur pemandangan indah dan ada warung"" kopii juga lengkap wes,"
Arrass Suryapitu,5,
Ariz billah,5,
Mila Novita Sari,5,"pernah diajak mancing kesini, kalo sore indah banget pemandangannya, sejuk"
Endro Gunawan,5,"Wahana Waduk Buatan dan nyaman buat melepaskan penat stlh sepekan bekerja. Dan yg biat hobby mancing,jgn lupa bawa joran."
Irfan Mpro,5,"View , waduk mulur di pagi hari ..🔝 …"
adam prabantara,5,
Kohwi Trail KH24 Racing Team,5,Menyarankan
Muhamad Arsyada,5,"joging pagi kesini, udara segar.."
Dwirangers,5,"Pesona waduk yang indah, tempat yang nyaman untuk sekedar bersantai di sore hari, lokasi terawat dengan rapi,"
Supri Yadi,5,Tempat ya enak buat nongkrong di pagi hari dan sore hari ☀☀☀
Warni Wirni,4,
ruscahyono,5,Bersih di banding Waduk . . . . .
Pratama,5,"Tempat yang bagus buat sekedar nyantai, joging,mancing dll
Nb: jangan lupa buang sampah pada tempatnya ‼️‼️"
sari wita,5,Tempatnya teduh
Andi Water,5,
Inka neutry,5,Kesini buat beli ikan nila fresh dr pedagangnya harga murah dr pd dipasar beli 4kg 130rb tp ukuran jumbo” krn yg sedang lg kosong
Dwi pramono,5,"ditahun 80'an s/d 2000'an sempat digunakan utk bercocok tanam, seperti sawah dan ladang.
setelah itu dinormalisasi menjadi waduk seperti sebelumnya. …"
Sugiyarto Icuk,5,
sinar ersandi,5,Jos lah
Isnaini Zizah,4,"Wisata rakyar, masuk gratis, akses gampang dan sejukk, banyak penjual jajanan, cuma sayangnya agak kurang terawat karena banyak sampah bertebaran"
Mas Setyo Utomo Lik Yo,4,
amir random video,5,Kebersihan terjaga
Arya Liar,3,
prita ananda,5,
Rio Eka prasetyo,5,
Dyah Wulan Handayani,5,Sunset❤️‍🩹 bagus bgt tanpa edit …
Mbak Toetoet,5,Musim kemarau kering waduknya. Kalau pagi sunrise canti di sini. Pas purnama juga cantik. Tapi anginnya gede
Eko Takbiro 234,5,Siip
Maryadi,5,Healing merakyat
