nama,rating,isi_review
Abu Akhyar,5,Bagus.
Tami Rahmawati,5,
Ngatmi Ngatmi,4,
Dini Faridah,5,Kalau sorre sepi banget
rendy permana,5,Wisata yang nyaman
sri handayani,5,
lianda permata,5,
Bintang Kejora,5,
Lucki Aryanto,5,kolam renang ada 3 pilihan sesuai kedalaman. Yg paling atas kolamnya makin ke utara makin dalam..hati² ya..
iam Cancan Cathouse (kopekuso),5,
Suryaa Yuhuu,5,Tempat bersih dan rapi
Aris Styono,4,"Suka sekali berenang disini airnya bersih kebetulan dan pas sepi. Dari jaman sd sampai hampir kepala 3 masih jadi salah satu temoat wisata yang ngangenin, semoga suatu saat bisa kesini lagi. Dan semoga bisa kembali ramai  seperti jaman dulu"
The Jack,1,"Hari Kamis kesini jalan lumutan,bayar 2 kali , petugasnya buang sampah sembarang an"
andi tristianto,5,"Tempat wisata yang dekat dengan Wonogiri kota, kurang lebih 15 km dari Kota Wonogiri. Secara administrasi masuk Wilayah Kabupaten Sukoharjo
Fasilitas: …"
Halliza,4,"Air kolamnya segar sekali, enak.
Sayangnya akses jalannya luar biasa, butuh perjuangan 😌 …"
Muhammad Izzudin,1,
Cita Dwi Lestari,5,"Tiket masuk area Batu Seribu 5 ribu, tiket masuk kolam renang 5 ribu dan parkir 2 ribu.
Paket komplit untuk refreshing. Bisa melihat binatang, bermain di playground …"
Mohsin Thohari,3,
yoularmi Sularmi,5,
wahyudi,5,
galih risdiyanto,5,
Dhiego,3,Bagus dan murah
Hery Anto,5,
Nia Kurniawati,5,
سيف الله عالمون السولوي,5,"Hari biasa syahdu, bg yg krg suka keramaian"
Nur Diana Wati,5,"Wisata alam murah
Dateng kesini kepagian, loket belum ada yg jaga.
Cuma bayar parkir aja 🤣🤣 …"
Dika Diba,5,
DTW AULY,5,
Ikhsan Saifuddin,5,
Khomar Udin,4,
Andri Mesi,5,Lele nya sekarang sudah besar besar
Yaan` Menolak Sadar,1,KOTOR
sumardi mardi,5,"Udara di pagi hari sangat segar, pemandangan indah sekali"
yulita puspitasari,5,
Feibe lydia,3,
Anto Aza,5,Murah meriah
Nasrun Kcleek,4,
Wijayan Teria,5,
Sebutir Debu,4,Wisata alam kolam renang.. sumber air gunung yg dingin nyes..
Rika Musrika,4,"Airnya jernih karena langsung dari mata air, cocok untuk anak-anak"
Titik Nuryati,5,"Sejuk, cuma kurang terawat"
Angga Prasetyo,5,
Annisa Siswanto,1,
Iki' Mukarrom,1,Cuma cocok buat orang yang pengen renang
Agus Taufik,4,
puji Astin santoso,5,
Suhendra,4,
VENUS,4,
Setyani Yani,2,
yanswa prasetya,4,Tempat wisata yang asri
Onny lordfish,5,"Kolam renangnya bagus dan airnya jernih alami tanpa kaporit, jadi enak buat menyelam dan berenang, mantap 👍👍 …"
Pri Ningsih,5,
Yudi Saputra,5,
Bujang Prasetianto Cah nDeso,5,Pemandangan bagus
Dewi Agustina Wati,4,"Bersih dan nyamann
Cuman agak jauh dari sukoharjo kota"
Rere nagari,5,
Titik via,2,
Alip Furahman,5,"Kolam renangnya enak,nyaman, dan aman buat anak2."
Mr D,5,"Tiket masuk 5rb
Tiket kolam 5rb
Tiket parkir motor 2rb

Murah,bagus,keren tapi minus di toilet bawah,pintunya udah rusak.Selebihnya mantab"
Cantika Nova,5,
Abadi Nugroho,5,Oke
Puji Pranoto Pranoto,5,Tempatnya lumayan untuk tour family
Habib Bulloh,5,segar asri
Call Center,3,
sukoharjo awesome,5,
purple rain heart,5,
Quily Iem,5,"Main kesini hari minggu tetep sepi gaes, tiket masuk juga murah cuma 10rb (loket masuk kawasan wisata 5rb, renang 5rb) + parkir motor 2rb aja. …"
Isyfa Maulana,3,
Try Wahyudi,4,
eko Nugroho,5,
Anisa,5,"Tempatnya enak buat liburan, cuss agendakan"
Sri Purwanti,4,
Agus ari Handoko,5,Tempat berlatih
Noris Roby Setiyawan,5,"Objek Wisata Alam Batu Seribu menjadi salah satu destinasi yang wajib anda kunjungi. Pasalnya objek wisata ini menawarkan panorama alam yang sangat luar biasa indah dan lingkungan yang sangat sejuk. Selain itu, juga tersedia beraneka macam …"
Fatimah FajarS,5,
Afrizha Dava Ardana,5,"Tempat nyaman sejuk,kolam renang juga tidak hanya satu,ada 3 kolam yang menyesuaikan kedalamannya,airnya juga bersih dan langsung dari sumber yang pasti no kaporit,nyaman sekali,cocok digunakan bermain dengan rekan rekan"
Puspita Sari,1,
Adithiya Galih,5,"Airnya murni dari gunung, dan memiliki 3 kolam renang"
setyo krido Wantoro,5,"Alami, kolam renangnya cukup lumayan, segarnya suasana pegunungan"
Galih Tri Nugroho,5,
Uki Cawang,5,Jual beli part vespa
Januri Jangkung,5,
Darno Daoplang,4,
Reka Billy,5,
Hari Kurniawan,4,
Sinta Harlinda,5,"Tempat nya bagus, hati"" Jalannya sampingan dengan jurang. Kolamnya ada 3 macam. Banyak kera di sekitaran kolam. Klo takut beli dan makannya deket penjual aja nanti dibantu ngusir wkwk"
wuri eko,3,"Tempat kurang terawat. Masuk ganti wahana harus bayar lagi.. ke. Kolam bayar, Playground bayar lagi secara terpisah."
suseno anwar,3,Cocok untuk yg nyari sepi. Soalnya sepi banget. Kolam anak kecil. Nggak ada kolam tertutup buat cewek.
AMIR SUPADI,5,Sejuk
Bayu Luki,5,
Dhimas Angka,5,
Sa_fa Nur putri,5,
Dio Orlando Goeltom,5,
فلسطين الحب,5,
Danny Ayuda,5,
Tyaz Ayu,5,"Masuknya cuma 5k
Renang 5k
Kalo kesana selain hari Minggu sebaiknya bawa makanan dari luar"
Didik Prasetyo,5,
Kang Sigit,4,
ellen putri,5,
Masykur Fitriawan,4,"Tempat wisata didaerah pinggiran kab sukoharjo, jalan menuju lokasi baik, tempat wisata tidak terlalu ramai, wisata renang, tempat yg memiliki sejarah cerita rakyat"
Sis Wadi,2,"Tempat kurang terawat, petugas hanya narik tetribusi aja,"
Muhamfad_1,5,
Maharani Hastina,4,Ini tempat klo mau buat berenang
Novi Dwi Utami,4,
