nama,rating,isi_review
yuni anti,3,
Ara Biya,5,Latihan manasik haji
Wijaya kusuma,5,
Yuliana Freksopel,5,
Yuliana Fteksopel,5,
Wiji Ningsih,4,"tempatnya sangat bagus, edukatif."
Dedi Sasmita,5,
LUKMAN SURISTO,5,
Mujizat Merapi,4,Edukasi
ebsoeb,5,
basuki sp,4,
Vianti Harta,5,
SiFa,5,Datang satu rombongan berjumlah 40 orang untuk tujuan rihlah sekaligus simulasi manasik haji.Disediakan pemandu tapi harus reservasi terlebih dahulu.Sebelumnya kami reservasi dulu sehingga dapat fasilitas pemandu dan dapat menggunakan ruang …
Anggelisa Fitrianingrum,4,
chandra HW,5,Bagus buat edukasi anak & dewasa.
Royan Firdaus,5,
Pram Trijoko,5,"Tempat luas
View indah
Nyaman
Makanan enak dan pasti murah
Karaokean juga ada 3 sound ( aula bisa, limasan juga tersedia dan di bangunan 2 lantai juga ada)
Pokoe mantap !!!!"
marsam sumarsam,5,Menyenangkan dan menarik untuk dikunjungi krn bisa mendapatkan informasi dan wawasan terkait dengan ibadah haji dan umrah.
Regina Winata,5,
Sutimin Sutimin,1,
Bagus Dwi Santoso,5,
Khalida Iswatunnisa,5,"tempatnya luas, tempat edukatif yang representatif. Sukses terus"
Agus Dwi Prasetyo,5,
Bastyan Bayu,4,"Tempat luas, hnya agak sepi"
Riyadi Pedrosa,5,
Andri Zuliyanto,5,
Mas Iski,5,
Muhammad Al khudri,4,Bismillah mau kesana
zuLfa Naimatuzzahro,5,
Pksutarno tarno,5,
Adhyatmika,5,
nur rohman,4,Bagus tp kurang komplit
Titin Yuliyani,5,
Supriyadi Yos Setiobudhi,5,
Gita A.P.E,5,Bener2 Wisata Religi yg bikin rindu sama Mekah & Madinah
Moh Tono,5,
Wulan Dari,5,mantap
Ocky Riadi,5,
Bowo Ardianto,5,"Destinasi wisata yang menghadirkan nuansa ""Mekkah dan Madinah"" dalam suatu tempat yang cukup luas. Berusaha mendekatkan nuansa Saudi Arabia di Boyolali khususnya. Ya, disini terdapat replika landmark yang digunakan untuk beribadah haji …"
Yanuar A.N,1,
Felicia Maheswara,5,
Dan,5,
Yati Ferlin,5,
Imelda Shop,5,
Kori Koriahumar,5,
Agus Triyono,5,
sarie,5,masyaallah.. nbly🙌🏻✨ …
nashiri amaludin,1,
Joko Kendil,4,
Cucuk Nur Rosyidi,5,
dewo bonjer,5,"Ditempat ini Saya punya kios untuk berjualan kebutuhan para Pengunjung. Seperti Minuman dingin, Fanta,Sprite, Air mineral, Gula Aren. Untuk Melayani Penduduk sekitarnya saya juga menyediakan Gas Elpiji 3kg. Aqua galon, beras."
