nama,rating,isi_review
Nurhayati Nurhayati,4,"Tempat untuk menunggu anak-anak yang berenang kurang luas,"
Arief alfianto Bin basri,5,"tiket masuk cuma 5rb, water boom 10 rb. tapi kalo mau renang atau keceh aja, udah tersedia kolam renang yang cukup luas. tempat sejuk dan banyak jajanan tradisional. plencing kangkungnya recomend banget😁 …"
aditya fajar,5,
Erlyna Dwwi,5,
Putra Hittokiry,3,"Untuk tempat sebenarnya nyaman bagus dan asri, tpi untuk waterbomnya terkesan kotor kolam berlumut, Tempat tunggu nya kurang nyaman dan sedikit
Tiket masuk 5000 per orang …"
Pandu Dwi,4,"Tempat nya luas tapi untuk kolam waterbom air nya kurang bersih, menu makanan rasanya lumayan enak. Hanya pilihan jajanan kurang varian"
Imoenk Sragentina,4,"Tempat lumayan bagus, cukup aman buat anak-anak.
Kekurangan pada toilet dan kamar mandi sedikit bgt.
Toilet dan kamar mandi sangat sangat kurang."
tiang gesang,5,Tempatnya asri.bagus buat keluarga..harganya terjangkau...
Iema Cantik,4,
audreycandra Ayu,3,"untuk tempatnya bgs, tetapi bagian pelayanannya gak banget, disinisin sama pelayannya, tukang parkir juga ga bantu saat ngeluarin kendaraan padahal posisi padat kendaraan dan sangat panas, tukang parkirnya malah duduk² doang"
Nuh Fajar Rahman,5,"Suasana sejuk tidak panas, luas parkirannya"
haristarday,4,"Wisata alam yg bagus. Fasilitas ditingkatkan, pas kesini pas air kamar mandi mati. Tp sigap diperbaiki."
Fanix Syn,4,
Zanu04,1,"MINES BINTANG SATU UNTUK PELAYANAN RESTONYA.
pesen nila bakar dari jam 4 sore makanan baru datang sehabis maghrib, udah komplain 3x bilangnya pesenan lagi di buatin, alesanya pergantian pegawai di bagian …"
Kiwi Just fun,5,Ikan hiu makan tomat
SMA muds New,2,MBS Mas Mansyur Ngawi tempat belajar yang menyenangkan
Djoko Christanto,4,"Tempat'nya nyaman
Sayang air kolam renang'nya kurang bersih
Pelayanan resto sangat lama"
Mosa Mosi,4,"Wisata dengan menyajikan sinkronisasi alam dan modern, cocok untuk wisata daerah setempat. Hanya perlu peningkatan kwalitas air, agar semakin jernih."
Arika Christina,5,
SM ᴄɴʟ,5,
Yulia Sari,3,
Dwi Sujini,4,"Kita datang pas hari libur waisak, pengunjung nya membludak. Ga jd renang deh..."
wong ndeso,4,"Tempat kurang ramah anak dan lansia..
Tempat makan kurang banyak pilihan"
Estina Solo,4,"wisata deket dengan museum sangiran, saya sarankan saja kalau kesini jangan pas hari libur spt saya hari ini.
kebetulan hari ini saya dtg jam 8 pagi. jadi masih sepi..tapi setelah agak siang …"
Tars ono,4,
Lia Liaa,5,
Novianto Angga,4,
Tony Soken,4,
Arif Sport,5,Hiburan murah meriah merakyat
Arminto 2021,5,
chandar chan,5,"Murah bgt tiket di weekend cuma 5000
Kalo mao terusan ke waterboom nambah 10000, tapi saya gak rekomendasi. 10rb cuma buat perosotan sama air tumpah doang. …"
Rica Ampera,4,"Tempatnya nyaman buat santai,anak2ku pada suka
Makan, masakannya juga enak harga standar,tidak terlalu mahal
Ada terapi ikannya juga …"
anisa cathy,5,"Sangat recomended untuk mengadakan acara seperti arisan keluarga/trah dgn tempat yg luas, nyaman, makanan enak, harga affordable, bisa sekaligus bermain air
Sewa dan booking mudah …"
AGitha Randu,5,
lisyani agustina lisya,4,"Tempatnya luas, bagus juga, hanya sj kurang nyaman klo ksna wkt liburan, krn emang serame ituh"
Mas Priyanto,5,
Titik Prasetijani,5,
Panji Pamegatsari,5,"Destinasi wisata yang cocok untuk keluarga, area cukup luas, dikelola cukup menarik, harga tiket masuk terjangkau."
sla met,4,
Warna Wigati,5,"Nyaman,
Wisata baru di sragen"
Candra Icha,3,"Untuk tempat sebenarnya lumayan, cuma untuk pesan makanannnya yang lama.. masak pesan makan dan minum datangnya bersamaan? Harusnya kan minumnya dulu baru makanannya yang datang, jadi kan walaupun menunggu tidak terlalu membosankan. Tolong dong SOP nya lebih di perhatikan lagi!!"
tri bowo,5,"Kolam nyambut banyak 2 tempat
Yg atas waterboom
Yg bawah ada beberapa kedalaman …"
Eka Mutiara,1,"PARKIRAN PENGELOLA KURANG PROFESIONAL, SUDAH MENUNGGU 1 JAM TAPI BELUM DIBANTU"
Heny Pratiwi,3,"Tempat parkir kurang nyaman, masak mau keluar harus dorong sendiri mobil yang didepan, panas lagi. Tolong ke depannya pengaturan tempat parkirnya ditata lebih baik lagi."
Muji Pak'e Rayyan,5,
agus umar,4,cocok buat santai bareng keluarga
Dhini Anan Dhita,5,"Htm murah, makanan standart, banyak tempat buat ngademnya. Skg jg uda ada waterboom selain tempat pemandian nya."
store ISLAMI,4,Sangat recomended karena cuma 5rb
Arse 24,5,"Seru,, banyak wahana water boom, macing, terapi ikan, dll"
Fariq Saputra,5,
Diki Andikiawan,4,
Maryani,3,Tempatnya bagus..tapi lebih diperhatikan lagi kebersihannya..kolam yg bawah bau mungkin tercemar air selokan
harry rudianto,5,"Asik main air sore disini, meski gerimis teteup seru. Tiket masuk muraah meriah"
Hafid Parabola,5,"Bagus tempatnya,pengen kesana lagi"
Muhammad Hasan,5,
Muhammad Amir,5,
Sanusi ibnu sukardi,5,Terimakasih Kakak
Karnadi Achmad,5,Joss
elok neini,5,"Nyaman,murah,enak untuk santai brsama keluarga..jajanan ny juga murah2 enaak2"
Depi Mahera,5,Terimakasih kakak
dewi mutiara,5,
Winda Dwi Rahmawati,5,
Ambyar Chan,5,Murah dan bagus
Suroto Win,5,
رَشِيْدَة,5,
Ahmad Restu,5,
Nuning Sulastri,5,Lumyan
